# B5 Gamma Dynamic Simulation Results
# Strategy schedule: schedules/schedule_b5_gamma_adaptive_clever.txt
# Gamma schedule: schedules/gamma_schedule_volatile.txt
# Hash rate range: 0.15 - 0.3 (15% - 30%) in 0.01 increments
InitialGamma, Miner0_ProfitFraction, Miner0_HashRate, Miner1_HashRate, Miner0_BlockFraction
0.95, 0.16378, 0.15, 0.85, 0.162777
0.95, 0.157375, 0.15, 0.85, 0.158052
0.95, 0.155422, 0.15, 0.85, 0.159849
0.95, 0.159396, 0.15, 0.85, 0.162171
0.95, 0.157043, 0.15, 0.85, 0.157856
0.95, 0.162175, 0.15, 0.85, 0.161481
0.95, 0.155762, 0.15, 0.85, 0.154674
0.95, 0.164648, 0.15, 0.85, 0.163496
0.95, 0.15987, 0.15, 0.85, 0.163577
0.95, 0.163865, 0.15, 0.85, 0.161644
0.95, 0.159809, 0.15, 0.85, 0.16191
0.95, 0.158154, 0.15, 0.85, 0.161574
0.95, 0.164718, 0.15, 0.85, 0.162685
0.95, 0.163007, 0.15, 0.85, 0.161422
0.95, 0.160238, 0.15, 0.85, 0.159096
0.95, 0.165913, 0.15, 0.85, 0.162821
0.95, 0.155486, 0.15, 0.85, 0.157406
0.95, 0.161336, 0.15, 0.85, 0.159119
0.95, 0.161332, 0.15, 0.85, 0.160194
0.95, 0.155302, 0.15, 0.85, 0.155094
0.95, 0.161865, 0.15, 0.85, 0.162841
0.95, 0.158453, 0.15, 0.85, 0.160291
0.95, 0.159591, 0.15, 0.85, 0.156614
0.95, 0.157897, 0.15, 0.85, 0.160171
0.95, 0.158629, 0.15, 0.85, 0.160803
0.95, 0.168065, 0.16, 0.84, 0.16855
0.95, 0.174704, 0.16, 0.84, 0.173285
0.95, 0.173552, 0.16, 0.84, 0.175032
0.95, 0.169659, 0.16, 0.84, 0.171466
0.95, 0.175144, 0.16, 0.84, 0.173328
0.95, 0.16503, 0.16, 0.84, 0.165827
0.95, 0.172282, 0.16, 0.84, 0.167981
0.95, 0.175223, 0.16, 0.84, 0.172993
0.95, 0.168305, 0.16, 0.84, 0.167641
0.95, 0.177896, 0.16, 0.84, 0.177307
0.95, 0.172157, 0.16, 0.84, 0.172241
0.95, 0.16803, 0.16, 0.84, 0.168777
0.95, 0.165318, 0.16, 0.84, 0.169698
0.95, 0.176285, 0.16, 0.84, 0.177843
0.95, 0.173123, 0.16, 0.84, 0.172447
0.95, 0.165874, 0.16, 0.84, 0.169611
0.95, 0.170156, 0.16, 0.84, 0.176498
0.95, 0.171067, 0.16, 0.84, 0.171044
0.95, 0.167195, 0.16, 0.84, 0.169945
0.95, 0.172275, 0.16, 0.84, 0.170752
0.95, 0.1692, 0.16, 0.84, 0.171788
0.95, 0.176288, 0.16, 0.84, 0.17114
0.95, 0.164928, 0.16, 0.84, 0.164617
0.95, 0.172804, 0.16, 0.84, 0.17514
0.95, 0.172839, 0.16, 0.84, 0.173978
0.95, 0.177497, 0.17, 0.83, 0.179657
0.95, 0.182777, 0.17, 0.83, 0.186171
0.95, 0.181314, 0.17, 0.83, 0.18368
0.95, 0.183716, 0.17, 0.83, 0.18971
0.95, 0.18335, 0.17, 0.83, 0.186951
0.95, 0.193262, 0.17, 0.83, 0.188762
0.95, 0.180584, 0.17, 0.83, 0.184435
0.95, 0.175217, 0.17, 0.83, 0.177017
0.95, 0.180477, 0.17, 0.83, 0.181102
0.95, 0.177804, 0.17, 0.83, 0.181291
0.95, 0.181328, 0.17, 0.83, 0.189478
0.95, 0.181659, 0.17, 0.83, 0.185755
0.95, 0.186009, 0.17, 0.83, 0.186626
0.95, 0.176915, 0.17, 0.83, 0.18162
0.95, 0.188258, 0.17, 0.83, 0.185984
0.95, 0.176933, 0.17, 0.83, 0.182732
0.95, 0.18213, 0.17, 0.83, 0.182895
0.95, 0.17923, 0.17, 0.83, 0.182883
0.95, 0.179489, 0.17, 0.83, 0.179122
0.95, 0.182565, 0.17, 0.83, 0.183173
0.95, 0.186465, 0.17, 0.83, 0.188348
0.95, 0.183078, 0.17, 0.83, 0.184028
0.95, 0.179099, 0.17, 0.83, 0.184694
0.95, 0.183919, 0.17, 0.83, 0.182713
0.95, 0.189615, 0.17, 0.83, 0.189214
0.95, 0.198621, 0.18, 0.82, 0.198966
0.95, 0.18905, 0.18, 0.82, 0.192888
0.95, 0.194807, 0.18, 0.82, 0.193373
0.95, 0.195425, 0.18, 0.82, 0.192853
0.95, 0.185601, 0.18, 0.82, 0.194039
0.95, 0.197374, 0.18, 0.82, 0.198814
0.95, 0.198288, 0.18, 0.82, 0.198578
0.95, 0.19892, 0.18, 0.82, 0.198824
0.95, 0.194169, 0.18, 0.82, 0.198023
0.95, 0.19987, 0.18, 0.82, 0.201001
0.95, 0.189652, 0.18, 0.82, 0.190872
0.95, 0.187601, 0.18, 0.82, 0.195172
0.95, 0.201415, 0.18, 0.82, 0.200209
0.95, 0.193706, 0.18, 0.82, 0.192552
0.95, 0.192471, 0.18, 0.82, 0.193317
0.95, 0.197361, 0.18, 0.82, 0.198166
0.95, 0.18799, 0.18, 0.82, 0.190933
0.95, 0.202204, 0.18, 0.82, 0.203749
0.95, 0.194743, 0.18, 0.82, 0.198314
0.95, 0.196116, 0.18, 0.82, 0.195931
0.95, 0.204564, 0.18, 0.82, 0.201678
0.95, 0.195629, 0.18, 0.82, 0.19482
0.95, 0.189548, 0.18, 0.82, 0.189851
0.95, 0.189774, 0.18, 0.82, 0.193068
0.95, 0.191638, 0.18, 0.82, 0.191855
0.95, 0.200346, 0.19, 0.81, 0.204213
0.95, 0.214072, 0.19, 0.81, 0.219279
0.95, 0.203407, 0.19, 0.81, 0.204859
0.95, 0.210345, 0.19, 0.81, 0.208702
0.95, 0.197461, 0.19, 0.81, 0.201906
0.95, 0.209201, 0.19, 0.81, 0.21142
0.95, 0.20202, 0.19, 0.81, 0.208316
0.95, 0.198806, 0.19, 0.81, 0.206757
0.95, 0.210237, 0.19, 0.81, 0.209285
0.95, 0.197074, 0.19, 0.81, 0.202782
0.95, 0.207699, 0.19, 0.81, 0.211846
0.95, 0.208872, 0.19, 0.81, 0.208556
