# B5 Gamma Dynamic Simulation Results
# Strategy schedule: schedules/schedule_b5_gamma_adaptive_fork.txt
# Gamma schedule: schedules/gamma_schedule_volatile.txt
# Hash rate range: 0.15 - 0.3 (15% - 30%) in 0.01 increments
InitialGamma, Miner0_ProfitFraction, Miner0_HashRate, Miner1_HashRate, Miner0_BlockFraction
0.95, 0.162706, 0.15, 0.85, 0.161612
0.95, 0.149784, 0.15, 0.85, 0.156604
0.95, 0.156383, 0.15, 0.85, 0.15799
0.95, 0.156674, 0.15, 0.85, 0.15791
0.95, 0.154968, 0.15, 0.85, 0.155806
0.95, 0.158784, 0.15, 0.85, 0.156536
0.95, 0.15948, 0.15, 0.85, 0.158424
0.95, 0.151833, 0.15, 0.85, 0.153322
0.95, 0.156242, 0.15, 0.85, 0.158893
0.95, 0.159162, 0.15, 0.85, 0.157335
0.95, 0.153504, 0.15, 0.85, 0.156011
0.95, 0.157365, 0.15, 0.85, 0.154533
0.95, 0.162892, 0.15, 0.85, 0.167464
0.95, 0.156309, 0.15, 0.85, 0.158777
0.95, 0.149161, 0.15, 0.85, 0.152026
0.95, 0.159862, 0.15, 0.85, 0.165411
0.95, 0.155697, 0.15, 0.85, 0.156672
0.95, 0.160612, 0.15, 0.85, 0.16123
0.95, 0.157632, 0.15, 0.85, 0.15565
0.95, 0.155155, 0.15, 0.85, 0.1551
0.95, 0.161554, 0.15, 0.85, 0.161347
0.95, 0.156413, 0.15, 0.85, 0.159152
0.95, 0.151511, 0.15, 0.85, 0.155296
0.95, 0.166528, 0.15, 0.85, 0.165361
0.95, 0.163042, 0.15, 0.85, 0.160797
0.95, 0.169323, 0.16, 0.84, 0.169208
0.95, 0.172958, 0.16, 0.84, 0.17556
0.95, 0.167589, 0.16, 0.84, 0.171962
0.95, 0.163329, 0.16, 0.84, 0.167053
0.95, 0.164021, 0.16, 0.84, 0.170008
0.95, 0.170768, 0.16, 0.84, 0.169681
0.95, 0.172542, 0.16, 0.84, 0.16963
0.95, 0.172234, 0.16, 0.84, 0.171923
0.95, 0.173638, 0.16, 0.84, 0.170198
0.95, 0.176017, 0.16, 0.84, 0.176727
0.95, 0.16708, 0.16, 0.84, 0.168017
0.95, 0.164616, 0.16, 0.84, 0.168203
0.95, 0.169216, 0.16, 0.84, 0.168891
0.95, 0.167393, 0.16, 0.84, 0.171558
0.95, 0.164848, 0.16, 0.84, 0.166864
0.95, 0.167515, 0.16, 0.84, 0.170396
0.95, 0.163385, 0.16, 0.84, 0.162673
0.95, 0.178947, 0.16, 0.84, 0.179393
0.95, 0.172995, 0.16, 0.84, 0.171789
0.95, 0.174098, 0.16, 0.84, 0.173911
0.95, 0.173984, 0.16, 0.84, 0.173756
0.95, 0.169768, 0.16, 0.84, 0.172782
0.95, 0.170434, 0.16, 0.84, 0.174449
0.95, 0.17327, 0.16, 0.84, 0.171648
0.95, 0.174894, 0.16, 0.84, 0.177692
0.95, 0.189011, 0.17, 0.83, 0.18778
0.95, 0.180817, 0.17, 0.83, 0.18604
0.95, 0.184893, 0.17, 0.83, 0.18511
0.95, 0.182061, 0.17, 0.83, 0.181974
0.95, 0.185395, 0.17, 0.83, 0.183815
0.95, 0.185546, 0.17, 0.83, 0.184544
0.95, 0.175979, 0.17, 0.83, 0.180573
0.95, 0.179483, 0.17, 0.83, 0.18175
0.95, 0.180789, 0.17, 0.83, 0.179802
0.95, 0.186112, 0.17, 0.83, 0.186118
0.95, 0.183194, 0.17, 0.83, 0.184608
0.95, 0.188867, 0.17, 0.83, 0.186186
0.95, 0.186267, 0.17, 0.83, 0.183238
0.95, 0.189206, 0.17, 0.83, 0.18801
0.95, 0.1889, 0.17, 0.83, 0.185913
0.95, 0.185645, 0.17, 0.83, 0.186964
0.95, 0.180449, 0.17, 0.83, 0.185804
0.95, 0.188135, 0.17, 0.83, 0.184728
0.95, 0.187183, 0.17, 0.83, 0.185205
0.95, 0.188452, 0.17, 0.83, 0.18777
0.95, 0.177442, 0.17, 0.83, 0.179404
0.95, 0.189474, 0.17, 0.83, 0.187522
0.95, 0.184319, 0.17, 0.83, 0.185068
0.95, 0.178897, 0.17, 0.83, 0.180734
0.95, 0.181508, 0.17, 0.83, 0.187292
0.95, 0.191967, 0.18, 0.82, 0.197238
0.95, 0.196192, 0.18, 0.82, 0.194778
0.95, 0.201836, 0.18, 0.82, 0.199977
0.95, 0.195779, 0.18, 0.82, 0.1978
0.95, 0.199232, 0.18, 0.82, 0.198227
0.95, 0.196082, 0.18, 0.82, 0.19636
0.95, 0.184451, 0.18, 0.82, 0.193009
0.95, 0.197464, 0.18, 0.82, 0.19423
0.95, 0.204706, 0.18, 0.82, 0.204551
0.95, 0.194867, 0.18, 0.82, 0.197672
0.95, 0.192203, 0.18, 0.82, 0.196009
0.95, 0.19908, 0.18, 0.82, 0.199177
0.95, 0.197248, 0.18, 0.82, 0.20359
0.95, 0.198575, 0.18, 0.82, 0.203113
0.95, 0.192691, 0.18, 0.82, 0.198437
0.95, 0.192795, 0.18, 0.82, 0.195336
0.95, 0.19673, 0.18, 0.82, 0.198956
0.95, 0.193863, 0.18, 0.82, 0.197063
0.95, 0.188417, 0.18, 0.82, 0.18793
0.95, 0.18734, 0.18, 0.82, 0.19081
0.95, 0.192441, 0.18, 0.82, 0.196268
0.95, 0.193806, 0.18, 0.82, 0.195014
0.95, 0.189681, 0.18, 0.82, 0.194525
0.95, 0.201131, 0.18, 0.82, 0.202141
0.95, 0.199367, 0.18, 0.82, 0.198998
0.95, 0.213882, 0.19, 0.81, 0.217757
0.95, 0.201838, 0.19, 0.81, 0.204141
0.95, 0.21519, 0.19, 0.81, 0.210426
0.95, 0.204402, 0.19, 0.81, 0.208962
