# B5 Gamma Dynamic Simulation Results
# Strategy schedule: schedules/schedule_b5_gamma_adaptive_gap.txt
# Gamma schedule: schedules/gamma_schedule_volatile.txt
# Hash rate range: 0.15 - 0.3 (15% - 30%) in 0.01 increments
InitialGamma, Miner0_ProfitFraction, Miner0_HashRate, Miner1_HashRate, Miner0_BlockFraction
0.95, 0.160531, 0.15, 0.85, 0.15953
0.95, 0.162253, 0.15, 0.85, 0.158947
0.95, 0.161061, 0.15, 0.85, 0.15785
0.95, 0.154925, 0.15, 0.85, 0.155944
0.95, 0.154047, 0.15, 0.85, 0.156807
0.95, 0.160896, 0.15, 0.85, 0.159968
0.95, 0.155988, 0.15, 0.85, 0.154369
0.95, 0.155617, 0.15, 0.85, 0.158902
0.95, 0.160195, 0.15, 0.85, 0.159802
0.95, 0.159393, 0.15, 0.85, 0.161228
0.95, 0.160569, 0.15, 0.85, 0.160351
0.95, 0.158499, 0.15, 0.85, 0.162213
0.95, 0.158148, 0.15, 0.85, 0.155462
0.95, 0.160573, 0.15, 0.85, 0.159166
0.95, 0.164598, 0.15, 0.85, 0.164823
0.95, 0.154766, 0.15, 0.85, 0.155296
0.95, 0.15629, 0.15, 0.85, 0.159821
0.95, 0.162564, 0.15, 0.85, 0.164126
0.95, 0.155201, 0.15, 0.85, 0.1576
0.95, 0.148965, 0.15, 0.85, 0.153267
0.95, 0.160779, 0.15, 0.85, 0.162934
0.95, 0.161645, 0.15, 0.85, 0.156841
0.95, 0.153491, 0.15, 0.85, 0.158492
0.95, 0.148549, 0.15, 0.85, 0.154102
0.95, 0.157183, 0.15, 0.85, 0.158744
0.95, 0.17103, 0.16, 0.84, 0.175803
0.95, 0.166324, 0.16, 0.84, 0.167743
0.95, 0.172575, 0.16, 0.84, 0.172439
0.95, 0.170525, 0.16, 0.84, 0.173791
0.95, 0.17422, 0.16, 0.84, 0.172373
0.95, 0.171313, 0.16, 0.84, 0.168942
0.95, 0.168879, 0.16, 0.84, 0.16938
0.95, 0.168336, 0.16, 0.84, 0.171596
0.95, 0.17423, 0.16, 0.84, 0.173903
0.95, 0.17659, 0.16, 0.84, 0.178871
0.95, 0.167313, 0.16, 0.84, 0.167462
0.95, 0.162923, 0.16, 0.84, 0.168307
0.95, 0.182616, 0.16, 0.84, 0.18283
0.95, 0.172514, 0.16, 0.84, 0.169217
0.95, 0.171083, 0.16, 0.84, 0.17296
0.95, 0.174173, 0.16, 0.84, 0.176006
0.95, 0.16064, 0.16, 0.84, 0.162696
0.95, 0.173977, 0.16, 0.84, 0.173094
0.95, 0.165473, 0.16, 0.84, 0.16429
