# B5 Gamma Dynamic Simulation Results
# Strategy schedule: schedules/schedule_b5_gamma_adaptive_lazy.txt
# Gamma schedule: schedules/gamma_schedule_volatile.txt
# Hash rate range: 0.15 - 0.3 (15% - 30%) in 0.01 increments
InitialGamma, Miner0_ProfitFraction, Miner0_HashRate, Miner1_HashRate, Miner0_BlockFraction
0.95, 0.160314, 0.15, 0.85, 0.15899
0.95, 0.155794, 0.15, 0.85, 0.15726
0.95, 0.156854, 0.15, 0.85, 0.15651
0.95, 0.15857, 0.15, 0.85, 0.160138
0.95, 0.155727, 0.15, 0.85, 0.159323
0.95, 0.159483, 0.15, 0.85, 0.159623
0.95, 0.161903, 0.15, 0.85, 0.160805
0.95, 0.162673, 0.15, 0.85, 0.157711
0.95, 0.16156, 0.15, 0.85, 0.161057
0.95, 0.155573, 0.15, 0.85, 0.156283
0.95, 0.15513, 0.15, 0.85, 0.157812
0.95, 0.154138, 0.15, 0.85, 0.154247
0.95, 0.157583, 0.15, 0.85, 0.157329
0.95, 0.157463, 0.15, 0.85, 0.162939
0.95, 0.163284, 0.15, 0.85, 0.158061
0.95, 0.157767, 0.15, 0.85, 0.158862
0.95, 0.158806, 0.15, 0.85, 0.156748
0.95, 0.154051, 0.15, 0.85, 0.157489
0.95, 0.161794, 0.15, 0.85, 0.160424
0.95, 0.158588, 0.15, 0.85, 0.161517
0.95, 0.161017, 0.15, 0.85, 0.160653
0.95, 0.156177, 0.15, 0.85, 0.160818
0.95, 0.156851, 0.15, 0.85, 0.157901
0.95, 0.158278, 0.15, 0.85, 0.157985
0.95, 0.154266, 0.15, 0.85, 0.158595
0.95, 0.170239, 0.16, 0.84, 0.174957
0.95, 0.166315, 0.16, 0.84, 0.169422
0.95, 0.172667, 0.16, 0.84, 0.170257
0.95, 0.173834, 0.16, 0.84, 0.174007
0.95, 0.168142, 0.16, 0.84, 0.171649
0.95, 0.167515, 0.16, 0.84, 0.168454
0.95, 0.168445, 0.16, 0.84, 0.169838
0.95, 0.165714, 0.16, 0.84, 0.163668
0.95, 0.174941, 0.16, 0.84, 0.179669
0.95, 0.17101, 0.16, 0.84, 0.175589
0.95, 0.164522, 0.16, 0.84, 0.16712
0.95, 0.169156, 0.16, 0.84, 0.171097
0.95, 0.17407, 0.16, 0.84, 0.176856
0.95, 0.171701, 0.16, 0.84, 0.173638
0.95, 0.172643, 0.16, 0.84, 0.172599
0.95, 0.170564, 0.16, 0.84, 0.173746
0.95, 0.173013, 0.16, 0.84, 0.169439
0.95, 0.181071, 0.16, 0.84, 0.178233
0.95, 0.17039, 0.16, 0.84, 0.170563
0.95, 0.17889, 0.16, 0.84, 0.177009
0.95, 0.168731, 0.16, 0.84, 0.169974
0.95, 0.172564, 0.16, 0.84, 0.172808
0.95, 0.170871, 0.16, 0.84, 0.17304
0.95, 0.17601, 0.16, 0.84, 0.177393
0.95, 0.170984, 0.16, 0.84, 0.171105
0.95, 0.191735, 0.17, 0.83, 0.192008
0.95, 0.185343, 0.17, 0.83, 0.185098
0.95, 0.185959, 0.17, 0.83, 0.186906
0.95, 0.179068, 0.17, 0.83, 0.182577
0.95, 0.177793, 0.17, 0.83, 0.180716
0.95, 0.184805, 0.17, 0.83, 0.184745
0.95, 0.181884, 0.17, 0.83, 0.180136
0.95, 0.185509, 0.17, 0.83, 0.186659
0.95, 0.188957, 0.17, 0.83, 0.190138
0.95, 0.177071, 0.17, 0.83, 0.177932
0.95, 0.187245, 0.17, 0.83, 0.18285
0.95, 0.186392, 0.17, 0.83, 0.185121
0.95, 0.184004, 0.17, 0.83, 0.182428
0.95, 0.185367, 0.17, 0.83, 0.189741
0.95, 0.188938, 0.17, 0.83, 0.189265
0.95, 0.182623, 0.17, 0.83, 0.181982
0.95, 0.182206, 0.17, 0.83, 0.186197
0.95, 0.185856, 0.17, 0.83, 0.188018
0.95, 0.178313, 0.17, 0.83, 0.181416
0.95, 0.180403, 0.17, 0.83, 0.184156
0.95, 0.186755, 0.17, 0.83, 0.187207
0.95, 0.189694, 0.17, 0.83, 0.192323
0.95, 0.18071, 0.17, 0.83, 0.183382
0.95, 0.181753, 0.17, 0.83, 0.186328
0.95, 0.186393, 0.17, 0.83, 0.188034
0.95, 0.195213, 0.18, 0.82, 0.196541
0.95, 0.193555, 0.18, 0.82, 0.196077
0.95, 0.199468, 0.18, 0.82, 0.198018
0.95, 0.199798, 0.18, 0.82, 0.195041
0.95, 0.201535, 0.18, 0.82, 0.200513
0.95, 0.191129, 0.18, 0.82, 0.193941
0.95, 0.203112, 0.18, 0.82, 0.203324
0.95, 0.199347, 0.18, 0.82, 0.204092
0.95, 0.196176, 0.18, 0.82, 0.196155
0.95, 0.19141, 0.18, 0.82, 0.198078
0.95, 0.19671, 0.18, 0.82, 0.196454
0.95, 0.200029, 0.18, 0.82, 0.197694
0.95, 0.195811, 0.18, 0.82, 0.195426
0.95, 0.195703, 0.18, 0.82, 0.197223
0.95, 0.189084, 0.18, 0.82, 0.191291
0.95, 0.188556, 0.18, 0.82, 0.192453
0.95, 0.199241, 0.18, 0.82, 0.195931
0.95, 0.194624, 0.18, 0.82, 0.19889
0.95, 0.194781, 0.18, 0.82, 0.19374
0.95, 0.189157, 0.18, 0.82, 0.195361
0.95, 0.200613, 0.18, 0.82, 0.198461
0.95, 0.187362, 0.18, 0.82, 0.195042
0.95, 0.194247, 0.18, 0.82, 0.194238
0.95, 0.192724, 0.18, 0.82, 0.195603
0.95, 0.197578, 0.18, 0.82, 0.200582
0.95, 0.216606, 0.19, 0.81, 0.214478
0.95, 0.208233, 0.19, 0.81, 0.211859
0.95, 0.218395, 0.19, 0.81, 0.215635
0.95, 0.207865, 0.19, 0.81, 0.210978
0.95, 0.206154, 0.19, 0.81, 0.208031
0.95, 0.200914, 0.19, 0.81, 0.204629
0.95, 0.209945, 0.19, 0.81, 0.209539
0.95, 0.214165, 0.19, 0.81, 0.210793
0.95, 0.20026, 0.19, 0.81, 0.207044
0.95, 0.211196, 0.19, 0.81, 0.213184
0.95, 0.211364, 0.19, 0.81, 0.212806
0.95, 0.209912, 0.19, 0.81, 0.208618
0.95, 0.20561, 0.19, 0.81, 0.204912
0.95, 0.211429, 0.19, 0.81, 0.208384
0.95, 0.207416, 0.19, 0.81, 0.204616
0.95, 0.216007, 0.19, 0.81, 0.216282
0.95, 0.200718, 0.19, 0.81, 0.207062
0.95, 0.213128, 0.19, 0.81, 0.211647
0.95, 0.216593, 0.19, 0.81, 0.213855
0.95, 0.203496, 0.19, 0.81, 0.208794
0.95, 0.207674, 0.19, 0.81, 0.208887
0.95, 0.203001, 0.19, 0.81, 0.205583
0.95, 0.204618, 0.19, 0.81, 0.206582
0.95, 0.215521, 0.19, 0.81, 0.21764
0.95, 0.200804, 0.19, 0.81, 0.205391
0.95, 0.220914, 0.2, 0.8, 0.223774
0.95, 0.218221, 0.2, 0.8, 0.220557
0.95, 0.215924, 0.2, 0.8, 0.218034
0.95, 0.223788, 0.2, 0.8, 0.223197
0.95, 0.218822, 0.2, 0.8, 0.222709
0.95, 0.220236, 0.2, 0.8, 0.22157
0.95, 0.218616, 0.2, 0.8, 0.221586
0.95, 0.223026, 0.2, 0.8, 0.227688
0.95, 0.22355, 0.2, 0.8, 0.219329
0.95, 0.223416, 0.2, 0.8, 0.22561
0.95, 0.220319, 0.2, 0.8, 0.224332
0.95, 0.220351, 0.2, 0.8, 0.222268
0.95, 0.220631, 0.2, 0.8, 0.224757
0.95, 0.223658, 0.2, 0.8, 0.225876
0.95, 0.221305, 0.2, 0.8, 0.222806
0.95, 0.223104, 0.2, 0.8, 0.225904
0.95, 0.222333, 0.2, 0.8, 0.220478
0.95, 0.222827, 0.2, 0.8, 0.222314
0.95, 0.2186, 0.2, 0.8, 0.223337
0.95, 0.223186, 0.2, 0.8, 0.224207
0.95, 0.22427, 0.2, 0.8, 0.226249
0.95, 0.213452, 0.2, 0.8, 0.21607
0.95, 0.211594, 0.2, 0.8, 0.216326
0.95, 0.220668, 0.2, 0.8, 0.219126
0.95, 0.222756, 0.2, 0.8, 0.220888
0.95, 0.240093, 0.21, 0.79, 0.242848
0.95, 0.227401, 0.21, 0.79, 0.229575
0.95, 0.230614, 0.21, 0.79, 0.236253
0.95, 0.237054, 0.21, 0.79, 0.239976
0.95, 0.243976, 0.21, 0.79, 0.244215
0.95, 0.225917, 0.21, 0.79, 0.231182
0.95, 0.237267, 0.21, 0.79, 0.234708
0.95, 0.232223, 0.21, 0.79, 0.234585
0.95, 0.230473, 0.21, 0.79, 0.230214
0.95, 0.237242, 0.21, 0.79, 0.235544
0.95, 0.236018, 0.21, 0.79, 0.235993
0.95, 0.238416, 0.21, 0.79, 0.242669
0.95, 0.235959, 0.21, 0.79, 0.233096
0.95, 0.244891, 0.21, 0.79, 0.241518
0.95, 0.230225, 0.21, 0.79, 0.235594
0.95, 0.233695, 0.21, 0.79, 0.240557
0.95, 0.232602, 0.21, 0.79, 0.237799
0.95, 0.227107, 0.21, 0.79, 0.234176
0.95, 0.237301, 0.21, 0.79, 0.23315
0.95, 0.231402, 0.21, 0.79, 0.235877
0.95, 0.232667, 0.21, 0.79, 0.235966
0.95, 0.229455, 0.21, 0.79, 0.233486
0.95, 0.229904, 0.21, 0.79, 0.231406
0.95, 0.232728, 0.21, 0.79, 0.240628
0.95, 0.237366, 0.21, 0.79, 0.244
0.95, 0.246962, 0.22, 0.78, 0.250364
0.95, 0.247195, 0.22, 0.78, 0.248513
0.95, 0.253595, 0.22, 0.78, 0.252815
0.95, 0.246629, 0.22, 0.78, 0.248814
0.95, 0.246679, 0.22, 0.78, 0.255475
0.95, 0.241565, 0.22, 0.78, 0.247403
0.95, 0.248896, 0.22, 0.78, 0.251313
0.95, 0.247626, 0.22, 0.78, 0.246674
0.95, 0.252218, 0.22, 0.78, 0.248185
0.95, 0.251404, 0.22, 0.78, 0.250662
0.95, 0.247036, 0.22, 0.78, 0.243743
0.95, 0.246488, 0.22, 0.78, 0.249573
0.95, 0.242466, 0.22, 0.78, 0.240635
0.95, 0.247079, 0.22, 0.78, 0.252206
0.95, 0.250702, 0.22, 0.78, 0.249087
0.95, 0.251043, 0.22, 0.78, 0.253276
0.95, 0.252062, 0.22, 0.78, 0.25161
0.95, 0.25273, 0.22, 0.78, 0.255097
0.95, 0.24499, 0.22, 0.78, 0.248907
0.95, 0.247442, 0.22, 0.78, 0.249392
0.95, 0.247837, 0.22, 0.78, 0.247266
0.95, 0.244246, 0.22, 0.78, 0.243229
0.95, 0.251793, 0.22, 0.78, 0.250195
0.95, 0.246683, 0.22, 0.78, 0.242908
0.95, 0.246405, 0.22, 0.78, 0.246758
0.95, 0.260658, 0.23, 0.77, 0.259215
0.95, 0.263415, 0.23, 0.77, 0.265273
0.95, 0.266439, 0.23, 0.77, 0.266389
0.95, 0.261652, 0.23, 0.77, 0.263091
0.95, 0.261797, 0.23, 0.77, 0.259883
0.95, 0.254509, 0.23, 0.77, 0.256915
0.95, 0.254345, 0.23, 0.77, 0.260157
0.95, 0.250643, 0.23, 0.77, 0.255705
0.95, 0.261172, 0.23, 0.77, 0.263749
0.95, 0.262343, 0.23, 0.77, 0.2672
0.95, 0.257304, 0.23, 0.77, 0.263926
0.95, 0.257074, 0.23, 0.77, 0.260453
0.95, 0.254376, 0.23, 0.77, 0.260569
0.95, 0.249691, 0.23, 0.77, 0.25622
0.95, 0.248015, 0.23, 0.77, 0.257718
0.95, 0.261301, 0.23, 0.77, 0.264056
0.95, 0.266124, 0.23, 0.77, 0.264533
0.95, 0.25596, 0.23, 0.77, 0.26041
0.95, 0.247932, 0.23, 0.77, 0.253924
0.95, 0.259683, 0.23, 0.77, 0.26628
0.95, 0.256863, 0.23, 0.77, 0.264034
0.95, 0.260318, 0.23, 0.77, 0.263233
0.95, 0.264083, 0.23, 0.77, 0.268971
0.95, 0.259909, 0.23, 0.77, 0.263145
0.95, 0.262817, 0.23, 0.77, 0.267447
0.95, 0.271621, 0.24, 0.76, 0.274182
0.95, 0.28412, 0.24, 0.76, 0.281814
0.95, 0.27656, 0.24, 0.76, 0.281182
0.95, 0.28152, 0.24, 0.76, 0.281796
0.95, 0.277774, 0.24, 0.76, 0.280007
