# B5 Gamma Dynamic Simulation Results
# Strategy schedule: schedules/schedule_b5_gamma_adaptive_lead_fork.txt
# Gamma schedule: schedules/gamma_schedule_volatile.txt
# Hash rate range: 0.15 - 0.3 (15% - 30%) in 0.01 increments
InitialGamma, Miner0_ProfitFraction, Miner0_HashRate, Miner1_HashRate, Miner0_BlockFraction
0.95, 0.152608, 0.15, 0.85, 0.15269
0.95, 0.161065, 0.15, 0.85, 0.159625
0.95, 0.164367, 0.15, 0.85, 0.164614
0.95, 0.164984, 0.15, 0.85, 0.163649
0.95, 0.165351, 0.15, 0.85, 0.167729
0.95, 0.164158, 0.15, 0.85, 0.164882
0.95, 0.162263, 0.15, 0.85, 0.162024
0.95, 0.164151, 0.15, 0.85, 0.166893
0.95, 0.162758, 0.15, 0.85, 0.163022
0.95, 0.152415, 0.15, 0.85, 0.156312
0.95, 0.165349, 0.15, 0.85, 0.164614
0.95, 0.159125, 0.15, 0.85, 0.160565
0.95, 0.15836, 0.15, 0.85, 0.158841
0.95, 0.162916, 0.15, 0.85, 0.160519
0.95, 0.158862, 0.15, 0.85, 0.157835
0.95, 0.152874, 0.15, 0.85, 0.157707
0.95, 0.159268, 0.15, 0.85, 0.159366
0.95, 0.159564, 0.15, 0.85, 0.157927
0.95, 0.155623, 0.15, 0.85, 0.153168
0.95, 0.151921, 0.15, 0.85, 0.152052
0.95, 0.165433, 0.15, 0.85, 0.164425
0.95, 0.160078, 0.15, 0.85, 0.159122
0.95, 0.162525, 0.15, 0.85, 0.162337
0.95, 0.166081, 0.15, 0.85, 0.163921
0.95, 0.158784, 0.15, 0.85, 0.158931
0.95, 0.178308, 0.16, 0.84, 0.175337
0.95, 0.165404, 0.16, 0.84, 0.167597
0.95, 0.169238, 0.16, 0.84, 0.17144
0.95, 0.175787, 0.16, 0.84, 0.179801
0.95, 0.174094, 0.16, 0.84, 0.172402
0.95, 0.162573, 0.16, 0.84, 0.165567
0.95, 0.16699, 0.16, 0.84, 0.169725
0.95, 0.168159, 0.16, 0.84, 0.166333
0.95, 0.172535, 0.16, 0.84, 0.174951
0.95, 0.166614, 0.16, 0.84, 0.172
0.95, 0.172786, 0.16, 0.84, 0.17176
0.95, 0.16986, 0.16, 0.84, 0.170682
0.95, 0.173027, 0.16, 0.84, 0.173935
0.95, 0.17462, 0.16, 0.84, 0.17602
0.95, 0.166305, 0.16, 0.84, 0.167736
0.95, 0.170089, 0.16, 0.84, 0.171478
0.95, 0.167654, 0.16, 0.84, 0.168791
0.95, 0.167192, 0.16, 0.84, 0.170505
0.95, 0.162952, 0.16, 0.84, 0.169158
0.95, 0.165765, 0.16, 0.84, 0.173025
0.95, 0.164422, 0.16, 0.84, 0.164582
0.95, 0.165641, 0.16, 0.84, 0.170661
0.95, 0.168597, 0.16, 0.84, 0.169116
0.95, 0.158608, 0.16, 0.84, 0.166136
0.95, 0.176041, 0.16, 0.84, 0.172688
0.95, 0.186086, 0.17, 0.83, 0.183449
