# B5 Gamma Dynamic Simulation Results
# Strategy schedule: schedules/schedule_b5_gamma_adaptive_petty.txt
# Gamma schedule: schedules/gamma_schedule_volatile.txt
# Hash rate range: 0.15 - 0.3 (15% - 30%) in 0.01 increments
InitialGamma, Miner0_ProfitFraction, Miner0_HashRate, Miner1_HashRate, Miner0_BlockFraction
0.95, 0.161572, 0.15, 0.85, 0.16396
0.95, 0.163976, 0.15, 0.85, 0.162952
0.95, 0.161618, 0.15, 0.85, 0.159177
0.95, 0.159609, 0.15, 0.85, 0.160002
0.95, 0.155914, 0.15, 0.85, 0.155017
0.95, 0.158144, 0.15, 0.85, 0.153889
0.95, 0.158622, 0.15, 0.85, 0.160259
0.95, 0.161653, 0.15, 0.85, 0.158068
0.95, 0.160489, 0.15, 0.85, 0.158889
0.95, 0.161613, 0.15, 0.85, 0.15863
0.95, 0.154122, 0.15, 0.85, 0.156101
0.95, 0.158556, 0.15, 0.85, 0.159343
0.95, 0.151613, 0.15, 0.85, 0.160731
0.95, 0.155344, 0.15, 0.85, 0.154648
0.95, 0.156983, 0.15, 0.85, 0.159095
0.95, 0.157314, 0.15, 0.85, 0.157476
0.95, 0.159727, 0.15, 0.85, 0.160158
0.95, 0.155537, 0.15, 0.85, 0.159716
0.95, 0.163616, 0.15, 0.85, 0.16603
0.95, 0.159125, 0.15, 0.85, 0.164082
0.95, 0.161534, 0.15, 0.85, 0.162906
0.95, 0.161207, 0.15, 0.85, 0.160572
0.95, 0.155766, 0.15, 0.85, 0.15653
0.95, 0.15417, 0.15, 0.85, 0.155109
0.95, 0.156415, 0.15, 0.85, 0.158685
0.95, 0.175369, 0.16, 0.84, 0.175112
0.95, 0.16869, 0.16, 0.84, 0.171101
0.95, 0.169086, 0.16, 0.84, 0.16913
0.95, 0.175819, 0.16, 0.84, 0.174127
0.95, 0.168293, 0.16, 0.84, 0.169468
0.95, 0.167, 0.16, 0.84, 0.170921
0.95, 0.16927, 0.16, 0.84, 0.168269
0.95, 0.172243, 0.16, 0.84, 0.173965
0.95, 0.182158, 0.16, 0.84, 0.178876
0.95, 0.174034, 0.16, 0.84, 0.1729
0.95, 0.171527, 0.16, 0.84, 0.170995
0.95, 0.168049, 0.16, 0.84, 0.170405
0.95, 0.168104, 0.16, 0.84, 0.170931
0.95, 0.170249, 0.16, 0.84, 0.16762
0.95, 0.174043, 0.16, 0.84, 0.172467
0.95, 0.1698, 0.16, 0.84, 0.172378
0.95, 0.173996, 0.16, 0.84, 0.174649
0.95, 0.173715, 0.16, 0.84, 0.174407
0.95, 0.169794, 0.16, 0.84, 0.172923
0.95, 0.162216, 0.16, 0.84, 0.169936
0.95, 0.169004, 0.16, 0.84, 0.171522
0.95, 0.173545, 0.16, 0.84, 0.170872
0.95, 0.171442, 0.16, 0.84, 0.170087
0.95, 0.163802, 0.16, 0.84, 0.166934
0.95, 0.17183, 0.16, 0.84, 0.171828
0.95, 0.18294, 0.17, 0.83, 0.185411
0.95, 0.178883, 0.17, 0.83, 0.186145
0.95, 0.181687, 0.17, 0.83, 0.184734
0.95, 0.190206, 0.17, 0.83, 0.188699
0.95, 0.190915, 0.17, 0.83, 0.186725
0.95, 0.178831, 0.17, 0.83, 0.1835
0.95, 0.185002, 0.17, 0.83, 0.183915
0.95, 0.189664, 0.17, 0.83, 0.186913
0.95, 0.176031, 0.17, 0.83, 0.18151
0.95, 0.181558, 0.17, 0.83, 0.187653
0.95, 0.186956, 0.17, 0.83, 0.189401
0.95, 0.18791, 0.17, 0.83, 0.186101
0.95, 0.184522, 0.17, 0.83, 0.185147
0.95, 0.183884, 0.17, 0.83, 0.183698
0.95, 0.180693, 0.17, 0.83, 0.185189
0.95, 0.186419, 0.17, 0.83, 0.188052
0.95, 0.187252, 0.17, 0.83, 0.181315
0.95, 0.179478, 0.17, 0.83, 0.179213
0.95, 0.178467, 0.17, 0.83, 0.185346
0.95, 0.186804, 0.17, 0.83, 0.187113
0.95, 0.182973, 0.17, 0.83, 0.183944
0.95, 0.188861, 0.17, 0.83, 0.183965
0.95, 0.184059, 0.17, 0.83, 0.186956
0.95, 0.183344, 0.17, 0.83, 0.186301
0.95, 0.186455, 0.17, 0.83, 0.188086
0.95, 0.193947, 0.18, 0.82, 0.196952
0.95, 0.197899, 0.18, 0.82, 0.196866
0.95, 0.201814, 0.18, 0.82, 0.202965
0.95, 0.198908, 0.18, 0.82, 0.200444
0.95, 0.199093, 0.18, 0.82, 0.203636
0.95, 0.198826, 0.18, 0.82, 0.197689
0.95, 0.182573, 0.18, 0.82, 0.187972
0.95, 0.194288, 0.18, 0.82, 0.198361
0.95, 0.200521, 0.18, 0.82, 0.195865
0.95, 0.198933, 0.18, 0.82, 0.19727
0.95, 0.187155, 0.18, 0.82, 0.192303
0.95, 0.19134, 0.18, 0.82, 0.195653
0.95, 0.198768, 0.18, 0.82, 0.19427
0.95, 0.194959, 0.18, 0.82, 0.194323
0.95, 0.183869, 0.18, 0.82, 0.189928
0.95, 0.192896, 0.18, 0.82, 0.197834
0.95, 0.192904, 0.18, 0.82, 0.193791
0.95, 0.195427, 0.18, 0.82, 0.200058
0.95, 0.192246, 0.18, 0.82, 0.196243
0.95, 0.197047, 0.18, 0.82, 0.197719
0.95, 0.190395, 0.18, 0.82, 0.194788
0.95, 0.199782, 0.18, 0.82, 0.197591
0.95, 0.199075, 0.18, 0.82, 0.19409
0.95, 0.197219, 0.18, 0.82, 0.193977
0.95, 0.189338, 0.18, 0.82, 0.189682
0.95, 0.216096, 0.19, 0.81, 0.216455
0.95, 0.209586, 0.19, 0.81, 0.209734
0.95, 0.207691, 0.19, 0.81, 0.209825
0.95, 0.205955, 0.19, 0.81, 0.211303
0.95, 0.207749, 0.19, 0.81, 0.209286
0.95, 0.215429, 0.19, 0.81, 0.216073
0.95, 0.207299, 0.19, 0.81, 0.206646
0.95, 0.211965, 0.19, 0.81, 0.213463
0.95, 0.209117, 0.19, 0.81, 0.210721
0.95, 0.212296, 0.19, 0.81, 0.210068
0.95, 0.207019, 0.19, 0.81, 0.208975
0.95, 0.207298, 0.19, 0.81, 0.205227
0.95, 0.207852, 0.19, 0.81, 0.209824
0.95, 0.205032, 0.19, 0.81, 0.21086
0.95, 0.196549, 0.19, 0.81, 0.198954
0.95, 0.209906, 0.19, 0.81, 0.210609
0.95, 0.20588, 0.19, 0.81, 0.206151
0.95, 0.201373, 0.19, 0.81, 0.209162
0.95, 0.210387, 0.19, 0.81, 0.211407
0.95, 0.201776, 0.19, 0.81, 0.205791
0.95, 0.204839, 0.19, 0.81, 0.209407
0.95, 0.20744, 0.19, 0.81, 0.20271
0.95, 0.218347, 0.19, 0.81, 0.212028
0.95, 0.214099, 0.19, 0.81, 0.214069
0.95, 0.210277, 0.19, 0.81, 0.211744
0.95, 0.22983, 0.2, 0.8, 0.225316
0.95, 0.220405, 0.2, 0.8, 0.223464
0.95, 0.220963, 0.2, 0.8, 0.222919
0.95, 0.217244, 0.2, 0.8, 0.22044
0.95, 0.226083, 0.2, 0.8, 0.221709
0.95, 0.216387, 0.2, 0.8, 0.217764
0.95, 0.218286, 0.2, 0.8, 0.223326
0.95, 0.223137, 0.2, 0.8, 0.221806
0.95, 0.220755, 0.2, 0.8, 0.226275
0.95, 0.224759, 0.2, 0.8, 0.223196
0.95, 0.222508, 0.2, 0.8, 0.221987
0.95, 0.226717, 0.2, 0.8, 0.219744
0.95, 0.223079, 0.2, 0.8, 0.226349
0.95, 0.218846, 0.2, 0.8, 0.223166
0.95, 0.221509, 0.2, 0.8, 0.224754
0.95, 0.2168, 0.2, 0.8, 0.216886
0.95, 0.225596, 0.2, 0.8, 0.227109
0.95, 0.224649, 0.2, 0.8, 0.226871
0.95, 0.223844, 0.2, 0.8, 0.222005
0.95, 0.217317, 0.2, 0.8, 0.22104
0.95, 0.217247, 0.2, 0.8, 0.218523
0.95, 0.221961, 0.2, 0.8, 0.225037
0.95, 0.221468, 0.2, 0.8, 0.227389
0.95, 0.21589, 0.2, 0.8, 0.2224
0.95, 0.224112, 0.2, 0.8, 0.228001
0.95, 0.223837, 0.21, 0.79, 0.229395
0.95, 0.229669, 0.21, 0.79, 0.235249
0.95, 0.234217, 0.21, 0.79, 0.23476
0.95, 0.234561, 0.21, 0.79, 0.234724
0.95, 0.228876, 0.21, 0.79, 0.232133
0.95, 0.227234, 0.21, 0.79, 0.228629
0.95, 0.235, 0.21, 0.79, 0.235016
0.95, 0.237744, 0.21, 0.79, 0.238692
0.95, 0.233987, 0.21, 0.79, 0.236015
0.95, 0.22767, 0.21, 0.79, 0.232526
0.95, 0.238327, 0.21, 0.79, 0.236272
0.95, 0.240336, 0.21, 0.79, 0.238815
0.95, 0.239907, 0.21, 0.79, 0.238285
0.95, 0.230873, 0.21, 0.79, 0.233178
0.95, 0.235861, 0.21, 0.79, 0.237129
0.95, 0.226058, 0.21, 0.79, 0.227503
