# B5 Gamma Dynamic Simulation Results
# Strategy schedule: schedules/schedule_b5_gamma_adaptive_selfish.txt
# Gamma schedule: schedules/gamma_schedule_volatile.txt
# Hash rate range: 0.15 - 0.3 (15% - 30%) in 0.01 increments
InitialGamma, Miner0_ProfitFraction, Miner0_HashRate, Miner1_HashRate, Miner0_BlockFraction
0.95, 0.165569, 0.15, 0.85, 0.161936
0.95, 0.160434, 0.15, 0.85, 0.163101
0.95, 0.159887, 0.15, 0.85, 0.162158
0.95, 0.164811, 0.15, 0.85, 0.163063
0.95, 0.157283, 0.15, 0.85, 0.160202
0.95, 0.160711, 0.15, 0.85, 0.163328
0.95, 0.153195, 0.15, 0.85, 0.155739
0.95, 0.165663, 0.15, 0.85, 0.164855
0.95, 0.163138, 0.15, 0.85, 0.162511
0.95, 0.159223, 0.15, 0.85, 0.162061
0.95, 0.152717, 0.15, 0.85, 0.155402
0.95, 0.153126, 0.15, 0.85, 0.155594
0.95, 0.151774, 0.15, 0.85, 0.155397
0.95, 0.162083, 0.15, 0.85, 0.161844
0.95, 0.161611, 0.15, 0.85, 0.160023
0.95, 0.152468, 0.15, 0.85, 0.154089
0.95, 0.158517, 0.15, 0.85, 0.160138
0.95, 0.166414, 0.15, 0.85, 0.16277
0.95, 0.157435, 0.15, 0.85, 0.158416
0.95, 0.164983, 0.15, 0.85, 0.164265
0.95, 0.154424, 0.15, 0.85, 0.157976
0.95, 0.161599, 0.15, 0.85, 0.161861
0.95, 0.156462, 0.15, 0.85, 0.159645
0.95, 0.155588, 0.15, 0.85, 0.157259
0.95, 0.157854, 0.15, 0.85, 0.159456
0.95, 0.179354, 0.16, 0.84, 0.175137
0.95, 0.16507, 0.16, 0.84, 0.170492
0.95, 0.175313, 0.16, 0.84, 0.172211
0.95, 0.169718, 0.16, 0.84, 0.166959
0.95, 0.171894, 0.16, 0.84, 0.173528
0.95, 0.172905, 0.16, 0.84, 0.167998
0.95, 0.165617, 0.16, 0.84, 0.170931
0.95, 0.169516, 0.16, 0.84, 0.169507
0.95, 0.177801, 0.16, 0.84, 0.178505
0.95, 0.173625, 0.16, 0.84, 0.172085
0.95, 0.170996, 0.16, 0.84, 0.171599
0.95, 0.177755, 0.16, 0.84, 0.17568
0.95, 0.171088, 0.16, 0.84, 0.173077
0.95, 0.173355, 0.16, 0.84, 0.176612
0.95, 0.173618, 0.16, 0.84, 0.173576
0.95, 0.171517, 0.16, 0.84, 0.175241
0.95, 0.170466, 0.16, 0.84, 0.170572
0.95, 0.170882, 0.16, 0.84, 0.167519
0.95, 0.176096, 0.16, 0.84, 0.177368
0.95, 0.181573, 0.16, 0.84, 0.176849
0.95, 0.169737, 0.16, 0.84, 0.168919
0.95, 0.169962, 0.16, 0.84, 0.169896
0.95, 0.170442, 0.16, 0.84, 0.1694
0.95, 0.172551, 0.16, 0.84, 0.172911
0.95, 0.170715, 0.16, 0.84, 0.171313
0.95, 0.181959, 0.17, 0.83, 0.183953
0.95, 0.175389, 0.17, 0.83, 0.181881
0.95, 0.182915, 0.17, 0.83, 0.179516
0.95, 0.178524, 0.17, 0.83, 0.18145
0.95, 0.181909, 0.17, 0.83, 0.181771
0.95, 0.182754, 0.17, 0.83, 0.187192
0.95, 0.181361, 0.17, 0.83, 0.17996
0.95, 0.178515, 0.17, 0.83, 0.179438
0.95, 0.190586, 0.17, 0.83, 0.190798
0.95, 0.188175, 0.17, 0.83, 0.190811
0.95, 0.172053, 0.17, 0.83, 0.173522
0.95, 0.175225, 0.17, 0.83, 0.17944
0.95, 0.178968, 0.17, 0.83, 0.185162
0.95, 0.183438, 0.17, 0.83, 0.185379
0.95, 0.187614, 0.17, 0.83, 0.184662
0.95, 0.171324, 0.17, 0.83, 0.180257
0.95, 0.180078, 0.17, 0.83, 0.184144
0.95, 0.18105, 0.17, 0.83, 0.184864
0.95, 0.184177, 0.17, 0.83, 0.18391
0.95, 0.188532, 0.17, 0.83, 0.189823
0.95, 0.184587, 0.17, 0.83, 0.18963
0.95, 0.183967, 0.17, 0.83, 0.184713
0.95, 0.18555, 0.17, 0.83, 0.186491
0.95, 0.176294, 0.17, 0.83, 0.179154
