# B5 Gamma Dynamic Simulation Results
# Strategy schedule: schedules/schedule_b5_gamma_adaptive_selfish.txt
# Gamma schedule: schedules/gamma_schedule_extreme.txt
# Hash rate range: 0.15 - 0.3 (15% - 30%) in 0.01 increments
InitialGamma, Miner0_ProfitFraction, Miner0_HashRate, Miner1_HashRate, Miner0_BlockFraction
1, 0.156769, 0.15, 0.85, 0.159863
1, 0.157094, 0.15, 0.85, 0.154173
1, 0.153003, 0.15, 0.85, 0.15422
1, 0.160358, 0.15, 0.85, 0.162377
1, 0.158016, 0.15, 0.85, 0.158675
1, 0.157022, 0.15, 0.85, 0.159377
1, 0.158097, 0.15, 0.85, 0.155974
1, 0.158513, 0.15, 0.85, 0.15974
1, 0.158238, 0.15, 0.85, 0.159014
1, 0.15394, 0.15, 0.85, 0.157662
1, 0.159186, 0.15, 0.85, 0.161815
1, 0.154241, 0.15, 0.85, 0.155514
1, 0.159267, 0.15, 0.85, 0.159388
1, 0.161198, 0.15, 0.85, 0.16118
1, 0.155386, 0.15, 0.85, 0.161714
1, 0.160909, 0.15, 0.85, 0.157386
1, 0.161117, 0.15, 0.85, 0.159125
1, 0.158829, 0.15, 0.85, 0.164032
1, 0.15532, 0.15, 0.85, 0.159083
1, 0.157153, 0.15, 0.85, 0.157261
1, 0.151134, 0.15, 0.85, 0.15519
1, 0.152559, 0.15, 0.85, 0.155582
1, 0.153617, 0.15, 0.85, 0.156768
1, 0.154845, 0.15, 0.85, 0.158237
1, 0.166298, 0.15, 0.85, 0.163492
1, 0.170736, 0.16, 0.84, 0.170463
1, 0.166894, 0.16, 0.84, 0.171233
1, 0.172781, 0.16, 0.84, 0.173886
1, 0.16063, 0.16, 0.84, 0.165384
1, 0.176051, 0.16, 0.84, 0.180057
1, 0.164702, 0.16, 0.84, 0.162483
1, 0.165429, 0.16, 0.84, 0.166034
1, 0.165436, 0.16, 0.84, 0.166734
1, 0.166244, 0.16, 0.84, 0.164995
1, 0.166842, 0.16, 0.84, 0.16781
1, 0.167882, 0.16, 0.84, 0.168714
1, 0.167334, 0.16, 0.84, 0.168263
1, 0.172402, 0.16, 0.84, 0.17319
1, 0.174923, 0.16, 0.84, 0.167336
1, 0.169292, 0.16, 0.84, 0.170491
1, 0.168093, 0.16, 0.84, 0.16699
