# B5 Gamma Dynamic Simulation Results
# Strategy schedule: schedules/schedule_b5_gamma_adaptive_selfish.txt
# Gamma schedule: schedules/gamma_schedule_rapid.txt
# Hash rate range: 0.15 - 0.3 (15% - 30%) in 0.01 increments
InitialGamma, Miner0_ProfitFraction, Miner0_HashRate, Miner1_HashRate, Miner0_BlockFraction
0.95, 0.155966, 0.15, 0.85, 0.158428
0.95, 0.161124, 0.15, 0.85, 0.157582
0.95, 0.155251, 0.15, 0.85, 0.15662
0.95, 0.152452, 0.15, 0.85, 0.155752
0.95, 0.16471, 0.15, 0.85, 0.162613
0.95, 0.154179, 0.15, 0.85, 0.154439
0.95, 0.15563, 0.15, 0.85, 0.158299
0.95, 0.155203, 0.15, 0.85, 0.155514
0.95, 0.15426, 0.15, 0.85, 0.158586
0.95, 0.163459, 0.15, 0.85, 0.160885
0.95, 0.157087, 0.15, 0.85, 0.157453
0.95, 0.152144, 0.15, 0.85, 0.1559
0.95, 0.155387, 0.15, 0.85, 0.158202
0.95, 0.154244, 0.15, 0.85, 0.156255
0.95, 0.157482, 0.15, 0.85, 0.159955
0.95, 0.158794, 0.15, 0.85, 0.159598
0.95, 0.156597, 0.15, 0.85, 0.155252
0.95, 0.15709, 0.15, 0.85, 0.15603
0.95, 0.156576, 0.15, 0.85, 0.159356
0.95, 0.162413, 0.15, 0.85, 0.164625
0.95, 0.149569, 0.15, 0.85, 0.154511
0.95, 0.155835, 0.15, 0.85, 0.158618
0.95, 0.155298, 0.15, 0.85, 0.153502
0.95, 0.157952, 0.15, 0.85, 0.157853
0.95, 0.160427, 0.15, 0.85, 0.159918
0.95, 0.16807, 0.16, 0.84, 0.169294
0.95, 0.164969, 0.16, 0.84, 0.166563
0.95, 0.175403, 0.16, 0.84, 0.171972
0.95, 0.168461, 0.16, 0.84, 0.171446
0.95, 0.170148, 0.16, 0.84, 0.170102
0.95, 0.169218, 0.16, 0.84, 0.17135
0.95, 0.167744, 0.16, 0.84, 0.169262
0.95, 0.180857, 0.16, 0.84, 0.179667
0.95, 0.168994, 0.16, 0.84, 0.170512
0.95, 0.173479, 0.16, 0.84, 0.172305
0.95, 0.173515, 0.16, 0.84, 0.172147
0.95, 0.169657, 0.16, 0.84, 0.171306
0.95, 0.162016, 0.16, 0.84, 0.161324
0.95, 0.168919, 0.16, 0.84, 0.166866
0.95, 0.17267, 0.16, 0.84, 0.170385
0.95, 0.168349, 0.16, 0.84, 0.171009
0.95, 0.169557, 0.16, 0.84, 0.169431
0.95, 0.168113, 0.16, 0.84, 0.172107
0.95, 0.172955, 0.16, 0.84, 0.174439
0.95, 0.168592, 0.16, 0.84, 0.171032
0.95, 0.167707, 0.16, 0.84, 0.172461
0.95, 0.171233, 0.16, 0.84, 0.170242
0.95, 0.171606, 0.16, 0.84, 0.175119
0.95, 0.169031, 0.16, 0.84, 0.172615
0.95, 0.174809, 0.16, 0.84, 0.175934
0.95, 0.181891, 0.17, 0.83, 0.177081
0.95, 0.185377, 0.17, 0.83, 0.184318
0.95, 0.192268, 0.17, 0.83, 0.188051
0.95, 0.184344, 0.17, 0.83, 0.183188
0.95, 0.181427, 0.17, 0.83, 0.181286
0.95, 0.191627, 0.17, 0.83, 0.191795
0.95, 0.182424, 0.17, 0.83, 0.185954
0.95, 0.187892, 0.17, 0.83, 0.184809
0.95, 0.17762, 0.17, 0.83, 0.180085
0.95, 0.1814, 0.17, 0.83, 0.185958
0.95, 0.184185, 0.17, 0.83, 0.187083
0.95, 0.174054, 0.17, 0.83, 0.181202
0.95, 0.1839, 0.17, 0.83, 0.182216
0.95, 0.182101, 0.17, 0.83, 0.181135
0.95, 0.180513, 0.17, 0.83, 0.186398
0.95, 0.18137, 0.17, 0.83, 0.179443
0.95, 0.183439, 0.17, 0.83, 0.185496
0.95, 0.189668, 0.17, 0.83, 0.186063
0.95, 0.181711, 0.17, 0.83, 0.184433
0.95, 0.180331, 0.17, 0.83, 0.183188
0.95, 0.194358, 0.17, 0.83, 0.191172
0.95, 0.181252, 0.17, 0.83, 0.182952
0.95, 0.183791, 0.17, 0.83, 0.182681
0.95, 0.180442, 0.17, 0.83, 0.184221
0.95, 0.180981, 0.17, 0.83, 0.186656
0.95, 0.193311, 0.18, 0.82, 0.197964
0.95, 0.194358, 0.18, 0.82, 0.195494
0.95, 0.189995, 0.18, 0.82, 0.190079
0.95, 0.197853, 0.18, 0.82, 0.200209
0.95, 0.190818, 0.18, 0.82, 0.194195
0.95, 0.19326, 0.18, 0.82, 0.194154
0.95, 0.190108, 0.18, 0.82, 0.198581
0.95, 0.192333, 0.18, 0.82, 0.196536
0.95, 0.192474, 0.18, 0.82, 0.197356
0.95, 0.195913, 0.18, 0.82, 0.200359
0.95, 0.20465, 0.18, 0.82, 0.205384
0.95, 0.187892, 0.18, 0.82, 0.191184
0.95, 0.190805, 0.18, 0.82, 0.19447
0.95, 0.199615, 0.18, 0.82, 0.19724
0.95, 0.199414, 0.18, 0.82, 0.198043
0.95, 0.198648, 0.18, 0.82, 0.200517
0.95, 0.199386, 0.18, 0.82, 0.200605
0.95, 0.189376, 0.18, 0.82, 0.193902
0.95, 0.199812, 0.18, 0.82, 0.198502
0.95, 0.191235, 0.18, 0.82, 0.193274
0.95, 0.195591, 0.18, 0.82, 0.197757
0.95, 0.201616, 0.18, 0.82, 0.199166
0.95, 0.192556, 0.18, 0.82, 0.194997
0.95, 0.191299, 0.18, 0.82, 0.193434
0.95, 0.193533, 0.18, 0.82, 0.193951
0.95, 0.211341, 0.19, 0.81, 0.208909
0.95, 0.205617, 0.19, 0.81, 0.210332
0.95, 0.205768, 0.19, 0.81, 0.205872
0.95, 0.202257, 0.19, 0.81, 0.208469
0.95, 0.197827, 0.19, 0.81, 0.203309
0.95, 0.210716, 0.19, 0.81, 0.210018
0.95, 0.20784, 0.19, 0.81, 0.210002
0.95, 0.208565, 0.19, 0.81, 0.207042
0.95, 0.206379, 0.19, 0.81, 0.204977
0.95, 0.208983, 0.19, 0.81, 0.215435
0.95, 0.205323, 0.19, 0.81, 0.211864
0.95, 0.202384, 0.19, 0.81, 0.202643
0.95, 0.209379, 0.19, 0.81, 0.214909
0.95, 0.209581, 0.19, 0.81, 0.206973
0.95, 0.212541, 0.19, 0.81, 0.208537
0.95, 0.208173, 0.19, 0.81, 0.21278
0.95, 0.21041, 0.19, 0.81, 0.210973
0.95, 0.21359, 0.19, 0.81, 0.215151
0.95, 0.216785, 0.19, 0.81, 0.2182
0.95, 0.207721, 0.19, 0.81, 0.208942
0.95, 0.212514, 0.19, 0.81, 0.214131
0.95, 0.208387, 0.19, 0.81, 0.213146
0.95, 0.202739, 0.19, 0.81, 0.205364
0.95, 0.211204, 0.19, 0.81, 0.207317
0.95, 0.204645, 0.19, 0.81, 0.207999
0.95, 0.226053, 0.2, 0.8, 0.224178
0.95, 0.218205, 0.2, 0.8, 0.220746
0.95, 0.22355, 0.2, 0.8, 0.223409
0.95, 0.213558, 0.2, 0.8, 0.21773
0.95, 0.226718, 0.2, 0.8, 0.224669
0.95, 0.214086, 0.2, 0.8, 0.218986
0.95, 0.219338, 0.2, 0.8, 0.222209
0.95, 0.223399, 0.2, 0.8, 0.220116
0.95, 0.22798, 0.2, 0.8, 0.230778
0.95, 0.218, 0.2, 0.8, 0.222034
0.95, 0.222232, 0.2, 0.8, 0.22234
0.95, 0.224153, 0.2, 0.8, 0.227192
0.95, 0.211891, 0.2, 0.8, 0.21675
0.95, 0.222386, 0.2, 0.8, 0.223422
0.95, 0.220148, 0.2, 0.8, 0.225653
0.95, 0.223163, 0.2, 0.8, 0.223677
0.95, 0.224726, 0.2, 0.8, 0.226179
0.95, 0.230774, 0.2, 0.8, 0.234393
0.95, 0.216418, 0.2, 0.8, 0.221561
0.95, 0.215936, 0.2, 0.8, 0.220377
0.95, 0.222987, 0.2, 0.8, 0.223983
0.95, 0.225054, 0.2, 0.8, 0.225882
0.95, 0.217905, 0.2, 0.8, 0.222887
0.95, 0.235352, 0.2, 0.8, 0.233314
0.95, 0.22017, 0.2, 0.8, 0.223232
0.95, 0.235823, 0.21, 0.79, 0.236476
0.95, 0.233068, 0.21, 0.79, 0.234466
0.95, 0.23214, 0.21, 0.79, 0.234633
0.95, 0.237235, 0.21, 0.79, 0.238551
0.95, 0.229982, 0.21, 0.79, 0.233744
0.95, 0.238688, 0.21, 0.79, 0.237189
0.95, 0.229283, 0.21, 0.79, 0.231808
0.95, 0.231538, 0.21, 0.79, 0.237255
0.95, 0.228249, 0.21, 0.79, 0.231227
0.95, 0.23192, 0.21, 0.79, 0.235441
0.95, 0.238864, 0.21, 0.79, 0.237403
0.95, 0.235359, 0.21, 0.79, 0.241162
0.95, 0.230229, 0.21, 0.79, 0.235889
0.95, 0.237165, 0.21, 0.79, 0.23677
0.95, 0.230601, 0.21, 0.79, 0.235104
0.95, 0.230364, 0.21, 0.79, 0.232814
0.95, 0.230464, 0.21, 0.79, 0.233618
0.95, 0.245941, 0.21, 0.79, 0.242912
0.95, 0.234623, 0.21, 0.79, 0.238361
0.95, 0.231858, 0.21, 0.79, 0.230992
0.95, 0.244631, 0.21, 0.79, 0.244653
0.95, 0.234186, 0.21, 0.79, 0.236714
0.95, 0.239281, 0.21, 0.79, 0.237217
0.95, 0.231455, 0.21, 0.79, 0.237184
0.95, 0.23185, 0.21, 0.79, 0.235841
0.95, 0.241982, 0.22, 0.78, 0.243339
0.95, 0.234811, 0.22, 0.78, 0.239691
0.95, 0.242904, 0.22, 0.78, 0.246994
0.95, 0.245961, 0.22, 0.78, 0.248329
0.95, 0.248444, 0.22, 0.78, 0.249162
0.95, 0.238509, 0.22, 0.78, 0.242028
0.95, 0.244659, 0.22, 0.78, 0.245006
0.95, 0.248493, 0.22, 0.78, 0.250602
0.95, 0.251707, 0.22, 0.78, 0.249955
0.95, 0.241068, 0.22, 0.78, 0.245796
0.95, 0.24665, 0.22, 0.78, 0.252252
0.95, 0.246904, 0.22, 0.78, 0.251602
0.95, 0.244945, 0.22, 0.78, 0.248801
0.95, 0.245285, 0.22, 0.78, 0.247464
0.95, 0.247037, 0.22, 0.78, 0.244223
0.95, 0.245696, 0.22, 0.78, 0.248152
0.95, 0.244333, 0.22, 0.78, 0.249808
0.95, 0.249585, 0.22, 0.78, 0.250358
0.95, 0.250051, 0.22, 0.78, 0.25049
0.95, 0.253553, 0.22, 0.78, 0.254317
0.95, 0.240445, 0.22, 0.78, 0.243034
0.95, 0.244879, 0.22, 0.78, 0.248397
0.95, 0.249757, 0.22, 0.78, 0.245835
0.95, 0.244412, 0.22, 0.78, 0.244479
0.95, 0.250714, 0.22, 0.78, 0.254233
0.95, 0.265152, 0.23, 0.77, 0.26745
0.95, 0.256642, 0.23, 0.77, 0.263467
0.95, 0.266229, 0.23, 0.77, 0.267462
0.95, 0.263485, 0.23, 0.77, 0.269156
0.95, 0.253839, 0.23, 0.77, 0.262572
0.95, 0.256689, 0.23, 0.77, 0.263219
0.95, 0.25671, 0.23, 0.77, 0.264826
0.95, 0.254245, 0.23, 0.77, 0.259784
0.95, 0.263752, 0.23, 0.77, 0.265104
0.95, 0.260773, 0.23, 0.77, 0.26266
0.95, 0.257336, 0.23, 0.77, 0.264409
0.95, 0.26134, 0.23, 0.77, 0.265634
0.95, 0.262082, 0.23, 0.77, 0.264399
0.95, 0.265441, 0.23, 0.77, 0.263271
0.95, 0.26336, 0.23, 0.77, 0.268223
0.95, 0.269455, 0.23, 0.77, 0.268934
0.95, 0.256566, 0.23, 0.77, 0.261811
0.95, 0.256152, 0.23, 0.77, 0.267096
0.95, 0.264252, 0.23, 0.77, 0.265793
0.95, 0.26716, 0.23, 0.77, 0.269798
0.95, 0.253152, 0.23, 0.77, 0.261759
0.95, 0.26422, 0.23, 0.77, 0.275142
0.95, 0.255465, 0.23, 0.77, 0.261831
0.95, 0.264493, 0.23, 0.77, 0.265019
0.95, 0.267233, 0.23, 0.77, 0.269072
0.95, 0.268916, 0.24, 0.76, 0.273703
0.95, 0.279128, 0.24, 0.76, 0.282225
0.95, 0.271442, 0.24, 0.76, 0.274355
0.95, 0.267708, 0.24, 0.76, 0.275268
