# B5 Gamma Dynamic Simulation Results
# Strategy schedule: schedules/schedule_b5_gamma_adaptive_selfish.txt
# Gamma schedule: schedules/gamma_schedule_slow_drift.txt
# Hash rate range: 0.15 - 0.3 (15% - 30%) in 0.01 increments
InitialGamma, Miner0_ProfitFraction, Miner0_HashRate, Miner1_HashRate, Miner0_BlockFraction
0.95, 0.152668, 0.15, 0.85, 0.15029
0.95, 0.148709, 0.15, 0.85, 0.153241
0.95, 0.155234, 0.15, 0.85, 0.158745
0.95, 0.159448, 0.15, 0.85, 0.156524
0.95, 0.16186, 0.15, 0.85, 0.157928
0.95, 0.154937, 0.15, 0.85, 0.15749
0.95, 0.159461, 0.15, 0.85, 0.160224
0.95, 0.153084, 0.15, 0.85, 0.160075
0.95, 0.154389, 0.15, 0.85, 0.152065
0.95, 0.150912, 0.15, 0.85, 0.149691
0.95, 0.157388, 0.15, 0.85, 0.157835
0.95, 0.156105, 0.15, 0.85, 0.153947
0.95, 0.156347, 0.15, 0.85, 0.156427
0.95, 0.161226, 0.15, 0.85, 0.158846
0.95, 0.148958, 0.15, 0.85, 0.149629
0.95, 0.156763, 0.15, 0.85, 0.157579
0.95, 0.155131, 0.15, 0.85, 0.156478
0.95, 0.163227, 0.15, 0.85, 0.157494
0.95, 0.157282, 0.15, 0.85, 0.158932
0.95, 0.156757, 0.15, 0.85, 0.157083
0.95, 0.159101, 0.15, 0.85, 0.157369
0.95, 0.155877, 0.15, 0.85, 0.155668
0.95, 0.15368, 0.15, 0.85, 0.156374
0.95, 0.16068, 0.15, 0.85, 0.159876
0.95, 0.152572, 0.15, 0.85, 0.155427
0.95, 0.161365, 0.16, 0.84, 0.166373
0.95, 0.165561, 0.16, 0.84, 0.16923
0.95, 0.164982, 0.16, 0.84, 0.168712
0.95, 0.173087, 0.16, 0.84, 0.173444
0.95, 0.164489, 0.16, 0.84, 0.16698
0.95, 0.156132, 0.16, 0.84, 0.158809
0.95, 0.166534, 0.16, 0.84, 0.167204
0.95, 0.167114, 0.16, 0.84, 0.169065
0.95, 0.169176, 0.16, 0.84, 0.169582
0.95, 0.166368, 0.16, 0.84, 0.165045
0.95, 0.16917, 0.16, 0.84, 0.170133
0.95, 0.171056, 0.16, 0.84, 0.173319
0.95, 0.173009, 0.16, 0.84, 0.172085
0.95, 0.165869, 0.16, 0.84, 0.168596
0.95, 0.162749, 0.16, 0.84, 0.166495
0.95, 0.166224, 0.16, 0.84, 0.168691
0.95, 0.16999, 0.16, 0.84, 0.169878
0.95, 0.161, 0.16, 0.84, 0.164357
0.95, 0.168653, 0.16, 0.84, 0.165489
0.95, 0.175846, 0.16, 0.84, 0.179012
0.95, 0.16573, 0.16, 0.84, 0.166864
0.95, 0.161149, 0.16, 0.84, 0.169404
0.95, 0.166846, 0.16, 0.84, 0.169413
0.95, 0.159983, 0.16, 0.84, 0.162403
0.95, 0.162525, 0.16, 0.84, 0.16463
0.95, 0.181148, 0.17, 0.83, 0.182838
0.95, 0.179187, 0.17, 0.83, 0.1813
0.95, 0.178742, 0.17, 0.83, 0.17582
0.95, 0.181147, 0.17, 0.83, 0.1829
0.95, 0.172296, 0.17, 0.83, 0.174657
0.95, 0.17795, 0.17, 0.83, 0.179792
0.95, 0.193746, 0.17, 0.83, 0.193317
0.95, 0.184038, 0.17, 0.83, 0.181476
0.95, 0.180004, 0.17, 0.83, 0.176967
0.95, 0.18138, 0.17, 0.83, 0.184482
0.95, 0.179898, 0.17, 0.83, 0.182448
0.95, 0.179332, 0.17, 0.83, 0.185062
0.95, 0.179919, 0.17, 0.83, 0.179981
0.95, 0.177278, 0.17, 0.83, 0.179105
0.95, 0.172989, 0.17, 0.83, 0.17703
0.95, 0.184396, 0.17, 0.83, 0.187424
0.95, 0.181045, 0.17, 0.83, 0.185474
0.95, 0.180717, 0.17, 0.83, 0.182284
0.95, 0.179991, 0.17, 0.83, 0.181917
0.95, 0.177568, 0.17, 0.83, 0.182695
0.95, 0.175683, 0.17, 0.83, 0.179145
0.95, 0.175763, 0.17, 0.83, 0.182816
0.95, 0.17225, 0.17, 0.83, 0.175468
0.95, 0.180905, 0.17, 0.83, 0.178066
0.95, 0.185488, 0.17, 0.83, 0.187846
0.95, 0.191624, 0.18, 0.82, 0.192617
0.95, 0.192371, 0.18, 0.82, 0.195033
0.95, 0.192413, 0.18, 0.82, 0.195142
0.95, 0.193218, 0.18, 0.82, 0.195027
0.95, 0.196628, 0.18, 0.82, 0.194002
0.95, 0.189589, 0.18, 0.82, 0.186965
0.95, 0.18759, 0.18, 0.82, 0.191051
0.95, 0.197593, 0.18, 0.82, 0.196126
0.95, 0.194892, 0.18, 0.82, 0.199536
0.95, 0.191968, 0.18, 0.82, 0.191223
0.95, 0.183663, 0.18, 0.82, 0.185202
0.95, 0.190413, 0.18, 0.82, 0.191514
0.95, 0.199188, 0.18, 0.82, 0.198094
0.95, 0.186615, 0.18, 0.82, 0.189313
0.95, 0.193414, 0.18, 0.82, 0.194672
0.95, 0.196344, 0.18, 0.82, 0.199742
0.95, 0.190538, 0.18, 0.82, 0.192042
0.95, 0.195432, 0.18, 0.82, 0.192992
0.95, 0.189076, 0.18, 0.82, 0.188548
0.95, 0.183325, 0.18, 0.82, 0.188014
0.95, 0.18728, 0.18, 0.82, 0.185714
0.95, 0.192264, 0.18, 0.82, 0.196673
0.95, 0.1883, 0.18, 0.82, 0.188917
0.95, 0.188433, 0.18, 0.82, 0.193118
0.95, 0.197454, 0.18, 0.82, 0.193511
0.95, 0.200395, 0.19, 0.81, 0.20307
0.95, 0.203085, 0.19, 0.81, 0.203598
0.95, 0.202816, 0.19, 0.81, 0.204774
0.95, 0.204189, 0.19, 0.81, 0.203454
0.95, 0.202946, 0.19, 0.81, 0.198287
0.95, 0.204098, 0.19, 0.81, 0.207283
0.95, 0.205867, 0.19, 0.81, 0.207014
0.95, 0.207446, 0.19, 0.81, 0.207028
0.95, 0.208781, 0.19, 0.81, 0.208603
0.95, 0.196293, 0.19, 0.81, 0.200405
0.95, 0.203817, 0.19, 0.81, 0.205277
0.95, 0.207667, 0.19, 0.81, 0.209504
0.95, 0.204069, 0.19, 0.81, 0.207546
0.95, 0.211615, 0.19, 0.81, 0.207397
