# B5 Gamma Dynamic Simulation Results
# Strategy schedule: schedules/schedule_b5_gamma_adaptive_stubborn.txt
# Gamma schedule: schedules/gamma_schedule_volatile.txt
# Hash rate range: 0.15 - 0.3 (15% - 30%) in 0.01 increments
InitialGamma, Miner0_ProfitFraction, Miner0_HashRate, Miner1_HashRate, Miner0_BlockFraction
0.95, 0.155797, 0.15, 0.85, 0.157338
0.95, 0.15578, 0.15, 0.85, 0.160293
0.95, 0.153591, 0.15, 0.85, 0.153301
0.95, 0.152317, 0.15, 0.85, 0.153102
0.95, 0.155321, 0.15, 0.85, 0.155686
0.95, 0.155738, 0.15, 0.85, 0.159128
0.95, 0.160997, 0.15, 0.85, 0.155568
0.95, 0.160375, 0.15, 0.85, 0.161547
0.95, 0.162706, 0.15, 0.85, 0.159096
0.95, 0.161529, 0.15, 0.85, 0.162488
0.95, 0.160028, 0.15, 0.85, 0.159586
0.95, 0.161228, 0.15, 0.85, 0.160077
0.95, 0.153565, 0.15, 0.85, 0.159545
0.95, 0.163888, 0.15, 0.85, 0.16503
0.95, 0.155852, 0.15, 0.85, 0.159351
0.95, 0.151588, 0.15, 0.85, 0.153352
0.95, 0.158454, 0.15, 0.85, 0.161526
0.95, 0.156531, 0.15, 0.85, 0.153946
0.95, 0.154075, 0.15, 0.85, 0.155871
0.95, 0.150903, 0.15, 0.85, 0.154813
0.95, 0.16237, 0.15, 0.85, 0.165512
0.95, 0.161013, 0.15, 0.85, 0.160919
0.95, 0.151988, 0.15, 0.85, 0.157164
0.95, 0.156181, 0.15, 0.85, 0.157386
0.95, 0.159445, 0.15, 0.85, 0.159806
0.95, 0.178395, 0.16, 0.84, 0.175901
0.95, 0.166277, 0.16, 0.84, 0.17159
0.95, 0.16467, 0.16, 0.84, 0.167946
0.95, 0.173009, 0.16, 0.84, 0.172122
0.95, 0.167876, 0.16, 0.84, 0.171703
0.95, 0.174565, 0.16, 0.84, 0.177961
0.95, 0.170722, 0.16, 0.84, 0.172854
0.95, 0.168793, 0.16, 0.84, 0.169222
0.95, 0.171297, 0.16, 0.84, 0.170515
0.95, 0.167423, 0.16, 0.84, 0.172968
0.95, 0.174354, 0.16, 0.84, 0.164004
0.95, 0.174606, 0.16, 0.84, 0.176504
0.95, 0.180696, 0.16, 0.84, 0.177849
0.95, 0.180318, 0.16, 0.84, 0.179166
0.95, 0.163636, 0.16, 0.84, 0.167334
0.95, 0.160014, 0.16, 0.84, 0.166951
0.95, 0.169949, 0.16, 0.84, 0.168609
0.95, 0.16494, 0.16, 0.84, 0.169088
0.95, 0.173966, 0.16, 0.84, 0.171981
0.95, 0.169345, 0.16, 0.84, 0.168865
0.95, 0.167112, 0.16, 0.84, 0.169005
