# B5 Gamma Dynamic Simulation Results
# Strategy schedule: schedules/schedule_b5_gamma_clever_petty.txt
# Gamma schedule: schedules/gamma_schedule_volatile.txt
# Hash rate range: 0.15 - 0.3 (15% - 30%) in 0.01 increments
InitialGamma, Miner0_ProfitFraction, Miner0_HashRate, Miner1_HashRate, Miner0_BlockFraction
0.95, 0.159945, 0.15, 0.85, 0.160229
0.95, 0.152191, 0.15, 0.85, 0.15736
0.95, 0.153153, 0.15, 0.85, 0.161207
0.95, 0.159126, 0.15, 0.85, 0.159235
0.95, 0.158573, 0.15, 0.85, 0.158811
0.95, 0.162495, 0.15, 0.85, 0.161596
0.95, 0.157152, 0.15, 0.85, 0.158974
0.95, 0.156036, 0.15, 0.85, 0.157433
0.95, 0.158823, 0.15, 0.85, 0.159964
0.95, 0.163913, 0.15, 0.85, 0.160506
0.95, 0.150534, 0.15, 0.85, 0.155805
0.95, 0.160603, 0.15, 0.85, 0.158142
0.95, 0.167501, 0.15, 0.85, 0.162591
0.95, 0.15668, 0.15, 0.85, 0.154714
0.95, 0.157143, 0.15, 0.85, 0.158281
0.95, 0.16034, 0.15, 0.85, 0.159434
0.95, 0.161582, 0.15, 0.85, 0.16204
0.95, 0.157594, 0.15, 0.85, 0.161031
0.95, 0.154521, 0.15, 0.85, 0.158951
0.95, 0.162471, 0.15, 0.85, 0.164134
0.95, 0.153252, 0.15, 0.85, 0.154617
0.95, 0.151444, 0.15, 0.85, 0.15726
0.95, 0.158507, 0.15, 0.85, 0.158114
0.95, 0.149441, 0.15, 0.85, 0.15395
0.95, 0.153799, 0.15, 0.85, 0.155411
0.95, 0.168195, 0.16, 0.84, 0.169794
0.95, 0.171007, 0.16, 0.84, 0.172065
0.95, 0.166184, 0.16, 0.84, 0.169821
0.95, 0.172379, 0.16, 0.84, 0.170105
0.95, 0.174031, 0.16, 0.84, 0.175014
0.95, 0.17133, 0.16, 0.84, 0.177386
0.95, 0.176229, 0.16, 0.84, 0.17748
0.95, 0.166718, 0.16, 0.84, 0.170685
0.95, 0.171764, 0.16, 0.84, 0.176096
0.95, 0.171825, 0.16, 0.84, 0.172236
0.95, 0.160112, 0.16, 0.84, 0.165374
0.95, 0.166385, 0.16, 0.84, 0.166837
0.95, 0.167262, 0.16, 0.84, 0.167547
0.95, 0.164805, 0.16, 0.84, 0.164428
0.95, 0.171193, 0.16, 0.84, 0.169867
0.95, 0.162529, 0.16, 0.84, 0.166244
0.95, 0.166918, 0.16, 0.84, 0.168232
0.95, 0.170873, 0.16, 0.84, 0.171471
0.95, 0.17042, 0.16, 0.84, 0.16946
0.95, 0.171653, 0.16, 0.84, 0.170798
0.95, 0.168712, 0.16, 0.84, 0.1709
0.95, 0.172293, 0.16, 0.84, 0.171476
0.95, 0.171339, 0.16, 0.84, 0.169563
0.95, 0.171565, 0.16, 0.84, 0.175575
0.95, 0.165139, 0.16, 0.84, 0.169557
0.95, 0.183164, 0.17, 0.83, 0.185196
0.95, 0.175774, 0.17, 0.83, 0.179353
0.95, 0.189593, 0.17, 0.83, 0.189158
0.95, 0.179471, 0.17, 0.83, 0.184471
0.95, 0.188873, 0.17, 0.83, 0.187572
0.95, 0.183675, 0.17, 0.83, 0.184815
0.95, 0.181145, 0.17, 0.83, 0.180079
0.95, 0.184792, 0.17, 0.83, 0.190019
0.95, 0.183496, 0.17, 0.83, 0.184189
0.95, 0.176666, 0.17, 0.83, 0.180996
0.95, 0.180347, 0.17, 0.83, 0.184881
0.95, 0.183632, 0.17, 0.83, 0.184097
0.95, 0.177069, 0.17, 0.83, 0.180175
0.95, 0.187538, 0.17, 0.83, 0.189857
0.95, 0.179876, 0.17, 0.83, 0.180555
0.95, 0.175884, 0.17, 0.83, 0.178932
0.95, 0.184222, 0.17, 0.83, 0.1892
0.95, 0.181626, 0.17, 0.83, 0.183419
0.95, 0.17773, 0.17, 0.83, 0.182889
0.95, 0.180205, 0.17, 0.83, 0.181855
0.95, 0.188298, 0.17, 0.83, 0.186721
0.95, 0.186161, 0.17, 0.83, 0.185662
0.95, 0.185223, 0.17, 0.83, 0.183849
0.95, 0.184629, 0.17, 0.83, 0.182421
0.95, 0.179028, 0.17, 0.83, 0.181243
0.95, 0.200664, 0.18, 0.82, 0.198808
0.95, 0.199243, 0.18, 0.82, 0.195759
0.95, 0.208077, 0.18, 0.82, 0.203177
0.95, 0.193017, 0.18, 0.82, 0.192963
0.95, 0.195244, 0.18, 0.82, 0.197637
0.95, 0.19516, 0.18, 0.82, 0.199365
0.95, 0.193633, 0.18, 0.82, 0.199216
0.95, 0.202075, 0.18, 0.82, 0.196184
0.95, 0.191139, 0.18, 0.82, 0.197399
0.95, 0.194462, 0.18, 0.82, 0.199802
0.95, 0.188247, 0.18, 0.82, 0.194163
0.95, 0.188175, 0.18, 0.82, 0.190471
0.95, 0.191664, 0.18, 0.82, 0.194731
0.95, 0.194054, 0.18, 0.82, 0.198325
0.95, 0.195937, 0.18, 0.82, 0.195714
0.95, 0.197161, 0.18, 0.82, 0.200151
0.95, 0.196795, 0.18, 0.82, 0.194283
0.95, 0.198691, 0.18, 0.82, 0.197125
0.95, 0.193229, 0.18, 0.82, 0.195553
0.95, 0.201983, 0.18, 0.82, 0.200723
0.95, 0.195048, 0.18, 0.82, 0.19681
0.95, 0.198038, 0.18, 0.82, 0.198344
0.95, 0.191624, 0.18, 0.82, 0.196748
0.95, 0.204461, 0.18, 0.82, 0.201018
0.95, 0.189082, 0.18, 0.82, 0.193128
0.95, 0.196891, 0.19, 0.81, 0.20218
0.95, 0.205061, 0.19, 0.81, 0.2049
0.95, 0.214349, 0.19, 0.81, 0.214791
0.95, 0.206187, 0.19, 0.81, 0.209569
0.95, 0.205784, 0.19, 0.81, 0.207335
0.95, 0.210452, 0.19, 0.81, 0.212078
0.95, 0.213542, 0.19, 0.81, 0.209316
0.95, 0.208115, 0.19, 0.81, 0.208963
0.95, 0.206204, 0.19, 0.81, 0.207599
0.95, 0.21153, 0.19, 0.81, 0.213551
0.95, 0.206894, 0.19, 0.81, 0.208292
0.95, 0.210906, 0.19, 0.81, 0.211351
0.95, 0.211928, 0.19, 0.81, 0.21462
0.95, 0.211478, 0.19, 0.81, 0.209947
0.95, 0.199785, 0.19, 0.81, 0.206562
0.95, 0.217133, 0.19, 0.81, 0.218879
0.95, 0.210818, 0.19, 0.81, 0.211069
0.95, 0.20544, 0.19, 0.81, 0.209341
0.95, 0.211646, 0.19, 0.81, 0.214731
0.95, 0.205038, 0.19, 0.81, 0.207248
0.95, 0.206886, 0.19, 0.81, 0.210197
0.95, 0.213521, 0.19, 0.81, 0.208233
0.95, 0.206652, 0.19, 0.81, 0.209328
0.95, 0.204457, 0.19, 0.81, 0.206146
0.95, 0.201906, 0.19, 0.81, 0.203929
0.95, 0.22358, 0.2, 0.8, 0.224575
0.95, 0.221467, 0.2, 0.8, 0.221276
0.95, 0.22688, 0.2, 0.8, 0.222799
0.95, 0.219136, 0.2, 0.8, 0.223333
0.95, 0.220836, 0.2, 0.8, 0.220195
0.95, 0.230485, 0.2, 0.8, 0.22909
0.95, 0.229282, 0.2, 0.8, 0.225237
0.95, 0.223252, 0.2, 0.8, 0.222675
0.95, 0.223621, 0.2, 0.8, 0.228926
0.95, 0.220853, 0.2, 0.8, 0.218873
0.95, 0.22558, 0.2, 0.8, 0.228335
0.95, 0.216195, 0.2, 0.8, 0.219535
0.95, 0.227876, 0.2, 0.8, 0.224953
0.95, 0.230398, 0.2, 0.8, 0.225513
0.95, 0.219627, 0.2, 0.8, 0.217936
0.95, 0.224655, 0.2, 0.8, 0.225371
0.95, 0.222252, 0.2, 0.8, 0.220361
0.95, 0.220637, 0.2, 0.8, 0.223418
0.95, 0.220925, 0.2, 0.8, 0.222189
0.95, 0.215666, 0.2, 0.8, 0.220483
0.95, 0.217255, 0.2, 0.8, 0.215271
0.95, 0.219736, 0.2, 0.8, 0.223582
