# B5 Gamma Dynamic Simulation Results
# Strategy schedule: schedules/schedule_b5_gamma_fork_variants.txt
# Gamma schedule: schedules/gamma_schedule_volatile.txt
# Hash rate range: 0.15 - 0.3 (15% - 30%) in 0.01 increments
InitialGamma, Miner0_ProfitFraction, Miner0_HashRate, Miner1_HashRate, Miner0_BlockFraction
0.95, 0.160067, 0.15, 0.85, 0.159248
0.95, 0.1605, 0.15, 0.85, 0.159493
0.95, 0.15914, 0.15, 0.85, 0.16283
0.95, 0.157513, 0.15, 0.85, 0.155765
0.95, 0.147527, 0.15, 0.85, 0.153725
0.95, 0.156525, 0.15, 0.85, 0.158467
0.95, 0.162414, 0.15, 0.85, 0.159561
0.95, 0.160548, 0.15, 0.85, 0.160786
0.95, 0.15476, 0.15, 0.85, 0.156626
0.95, 0.161331, 0.15, 0.85, 0.158454
0.95, 0.161996, 0.15, 0.85, 0.160115
0.95, 0.167047, 0.15, 0.85, 0.163356
0.95, 0.156665, 0.15, 0.85, 0.1589
0.95, 0.160561, 0.15, 0.85, 0.160516
0.95, 0.149445, 0.15, 0.85, 0.154459
0.95, 0.152944, 0.15, 0.85, 0.154987
0.95, 0.15924, 0.15, 0.85, 0.156177
0.95, 0.150632, 0.15, 0.85, 0.152201
0.95, 0.155239, 0.15, 0.85, 0.159267
0.95, 0.155791, 0.15, 0.85, 0.159654
0.95, 0.167255, 0.15, 0.85, 0.162973
0.95, 0.16264, 0.15, 0.85, 0.162011
0.95, 0.16111, 0.15, 0.85, 0.164862
0.95, 0.152578, 0.15, 0.85, 0.163299
0.95, 0.158319, 0.15, 0.85, 0.156948
0.95, 0.179705, 0.16, 0.84, 0.173643
0.95, 0.164004, 0.16, 0.84, 0.16819
0.95, 0.175972, 0.16, 0.84, 0.176992
0.95, 0.171525, 0.16, 0.84, 0.171081
0.95, 0.160938, 0.16, 0.84, 0.169401
0.95, 0.179487, 0.16, 0.84, 0.181324
0.95, 0.174306, 0.16, 0.84, 0.175257
0.95, 0.165798, 0.16, 0.84, 0.167587
0.95, 0.171291, 0.16, 0.84, 0.170894
0.95, 0.166011, 0.16, 0.84, 0.167
0.95, 0.170875, 0.16, 0.84, 0.173157
0.95, 0.168697, 0.16, 0.84, 0.170426
0.95, 0.168629, 0.16, 0.84, 0.164763
0.95, 0.172698, 0.16, 0.84, 0.17383
0.95, 0.174905, 0.16, 0.84, 0.171375
0.95, 0.167215, 0.16, 0.84, 0.172219
0.95, 0.170736, 0.16, 0.84, 0.17
0.95, 0.180566, 0.16, 0.84, 0.179347
0.95, 0.174021, 0.16, 0.84, 0.174692
0.95, 0.165602, 0.16, 0.84, 0.167918
0.95, 0.17066, 0.16, 0.84, 0.172817
0.95, 0.167311, 0.16, 0.84, 0.165758
0.95, 0.165059, 0.16, 0.84, 0.16946
0.95, 0.168877, 0.16, 0.84, 0.169169
0.95, 0.167226, 0.16, 0.84, 0.167548
0.95, 0.180021, 0.17, 0.83, 0.183561
0.95, 0.177624, 0.17, 0.83, 0.178619
0.95, 0.186776, 0.17, 0.83, 0.18955
0.95, 0.180894, 0.17, 0.83, 0.181363
0.95, 0.183904, 0.17, 0.83, 0.183881
0.95, 0.174071, 0.17, 0.83, 0.179344
0.95, 0.185454, 0.17, 0.83, 0.187897
0.95, 0.185917, 0.17, 0.83, 0.185249
0.95, 0.18409, 0.17, 0.83, 0.185043
0.95, 0.183836, 0.17, 0.83, 0.182213
0.95, 0.191651, 0.17, 0.83, 0.188568
0.95, 0.182817, 0.17, 0.83, 0.184293
0.95, 0.189658, 0.17, 0.83, 0.186801
0.95, 0.176905, 0.17, 0.83, 0.184229
0.95, 0.176055, 0.17, 0.83, 0.180125
0.95, 0.180421, 0.17, 0.83, 0.177255
0.95, 0.186996, 0.17, 0.83, 0.185302
0.95, 0.183455, 0.17, 0.83, 0.186941
0.95, 0.183012, 0.17, 0.83, 0.182567
0.95, 0.186555, 0.17, 0.83, 0.184573
0.95, 0.183256, 0.17, 0.83, 0.185528
0.95, 0.19148, 0.17, 0.83, 0.189316
0.95, 0.186857, 0.17, 0.83, 0.187032
0.95, 0.180486, 0.17, 0.83, 0.18235
0.95, 0.181217, 0.17, 0.83, 0.18135
0.95, 0.193171, 0.18, 0.82, 0.196949
0.95, 0.199557, 0.18, 0.82, 0.202138
0.95, 0.19019, 0.18, 0.82, 0.199344
0.95, 0.19654, 0.18, 0.82, 0.19701
0.95, 0.189152, 0.18, 0.82, 0.194449
0.95, 0.197061, 0.18, 0.82, 0.198352
0.95, 0.198912, 0.18, 0.82, 0.19941
0.95, 0.199287, 0.18, 0.82, 0.202739
0.95, 0.204574, 0.18, 0.82, 0.205
0.95, 0.18872, 0.18, 0.82, 0.194924
