# B5 Gamma Dynamic Simulation Results
# Strategy schedule: schedules/schedule_b5_gamma_lead_trail.txt
# Gamma schedule: schedules/gamma_schedule_volatile.txt
# Hash rate range: 0.15 - 0.3 (15% - 30%) in 0.01 increments
InitialGamma, Miner0_ProfitFraction, Miner0_HashRate, Miner1_HashRate, Miner0_BlockFraction
0.95, 0.164099, 0.15, 0.85, 0.165446
0.95, 0.164839, 0.15, 0.85, 0.165203
0.95, 0.16357, 0.15, 0.85, 0.163004
0.95, 0.161246, 0.15, 0.85, 0.162103
0.95, 0.156391, 0.15, 0.85, 0.159491
0.95, 0.154819, 0.15, 0.85, 0.159355
0.95, 0.153425, 0.15, 0.85, 0.155846
0.95, 0.160804, 0.15, 0.85, 0.162727
0.95, 0.158682, 0.15, 0.85, 0.158022
0.95, 0.152405, 0.15, 0.85, 0.15423
0.95, 0.155039, 0.15, 0.85, 0.158694
0.95, 0.150291, 0.15, 0.85, 0.153694
0.95, 0.157048, 0.15, 0.85, 0.161815
0.95, 0.162786, 0.15, 0.85, 0.165875
0.95, 0.161037, 0.15, 0.85, 0.16042
0.95, 0.155413, 0.15, 0.85, 0.160753
0.95, 0.163186, 0.15, 0.85, 0.162699
0.95, 0.157627, 0.15, 0.85, 0.158909
0.95, 0.159513, 0.15, 0.85, 0.159365
0.95, 0.155619, 0.15, 0.85, 0.155197
0.95, 0.153052, 0.15, 0.85, 0.150842
0.95, 0.155729, 0.15, 0.85, 0.158499
0.95, 0.157968, 0.15, 0.85, 0.162745
0.95, 0.162958, 0.15, 0.85, 0.162401
0.95, 0.159184, 0.15, 0.85, 0.159015
0.95, 0.170116, 0.16, 0.84, 0.169426
0.95, 0.171243, 0.16, 0.84, 0.173208
0.95, 0.167599, 0.16, 0.84, 0.172141
0.95, 0.175663, 0.16, 0.84, 0.177225
0.95, 0.169459, 0.16, 0.84, 0.169074
0.95, 0.170458, 0.16, 0.84, 0.170675
0.95, 0.176676, 0.16, 0.84, 0.174464
0.95, 0.169997, 0.16, 0.84, 0.170626
0.95, 0.16337, 0.16, 0.84, 0.16881
0.95, 0.175137, 0.16, 0.84, 0.175639
0.95, 0.170877, 0.16, 0.84, 0.172733
0.95, 0.181387, 0.16, 0.84, 0.180539
0.95, 0.171432, 0.16, 0.84, 0.171384
0.95, 0.170509, 0.16, 0.84, 0.167009
0.95, 0.173162, 0.16, 0.84, 0.173963
0.95, 0.167299, 0.16, 0.84, 0.167263
0.95, 0.172693, 0.16, 0.84, 0.172206
0.95, 0.171289, 0.16, 0.84, 0.168566
0.95, 0.160766, 0.16, 0.84, 0.16849
0.95, 0.174459, 0.16, 0.84, 0.172872
0.95, 0.166204, 0.16, 0.84, 0.163805
0.95, 0.166579, 0.16, 0.84, 0.169888
0.95, 0.165938, 0.16, 0.84, 0.16969
0.95, 0.168108, 0.16, 0.84, 0.172507
0.95, 0.170094, 0.16, 0.84, 0.174916
0.95, 0.189436, 0.17, 0.83, 0.189314
0.95, 0.188327, 0.17, 0.83, 0.188714
0.95, 0.182327, 0.17, 0.83, 0.18378
0.95, 0.178814, 0.17, 0.83, 0.183769
0.95, 0.176883, 0.17, 0.83, 0.182724
0.95, 0.187801, 0.17, 0.83, 0.18768
0.95, 0.183136, 0.17, 0.83, 0.184611
0.95, 0.188928, 0.17, 0.83, 0.187969
0.95, 0.185968, 0.17, 0.83, 0.184221
0.95, 0.190407, 0.17, 0.83, 0.188554
0.95, 0.182775, 0.17, 0.83, 0.186565
0.95, 0.181756, 0.17, 0.83, 0.186484
0.95, 0.182787, 0.17, 0.83, 0.183228
0.95, 0.179466, 0.17, 0.83, 0.182769
0.95, 0.177967, 0.17, 0.83, 0.181897
0.95, 0.192236, 0.17, 0.83, 0.189888
0.95, 0.176901, 0.17, 0.83, 0.183226
0.95, 0.188004, 0.17, 0.83, 0.184542
0.95, 0.176931, 0.17, 0.83, 0.180591
0.95, 0.186696, 0.17, 0.83, 0.186993
0.95, 0.182066, 0.17, 0.83, 0.182923
0.95, 0.181226, 0.17, 0.83, 0.182623
0.95, 0.190885, 0.17, 0.83, 0.188251
0.95, 0.184454, 0.17, 0.83, 0.186449
0.95, 0.183895, 0.17, 0.83, 0.185291
0.95, 0.192608, 0.18, 0.82, 0.193471
0.95, 0.184848, 0.18, 0.82, 0.19546
0.95, 0.195047, 0.18, 0.82, 0.194114
0.95, 0.187942, 0.18, 0.82, 0.189152
0.95, 0.195562, 0.18, 0.82, 0.201459
0.95, 0.198524, 0.18, 0.82, 0.199633
0.95, 0.191775, 0.18, 0.82, 0.192396
0.95, 0.200735, 0.18, 0.82, 0.201605
0.95, 0.191382, 0.18, 0.82, 0.193103
0.95, 0.193213, 0.18, 0.82, 0.194781
0.95, 0.196349, 0.18, 0.82, 0.194902
0.95, 0.194621, 0.18, 0.82, 0.197035
0.95, 0.195901, 0.18, 0.82, 0.197208
0.95, 0.195675, 0.18, 0.82, 0.198855
0.95, 0.191084, 0.18, 0.82, 0.194658
0.95, 0.198087, 0.18, 0.82, 0.200881
0.95, 0.198194, 0.18, 0.82, 0.199635
0.95, 0.196724, 0.18, 0.82, 0.195969
0.95, 0.186794, 0.18, 0.82, 0.195586
0.95, 0.194043, 0.18, 0.82, 0.194617
0.95, 0.198596, 0.18, 0.82, 0.20301
0.95, 0.19597, 0.18, 0.82, 0.19767
0.95, 0.192355, 0.18, 0.82, 0.196447
0.95, 0.193384, 0.18, 0.82, 0.194045
0.95, 0.199738, 0.18, 0.82, 0.198996
0.95, 0.208563, 0.19, 0.81, 0.207718
0.95, 0.201101, 0.19, 0.81, 0.204633
0.95, 0.205806, 0.19, 0.81, 0.206876
0.95, 0.215162, 0.19, 0.81, 0.21374
0.95, 0.208668, 0.19, 0.81, 0.212588
0.95, 0.205452, 0.19, 0.81, 0.212854
0.95, 0.207104, 0.19, 0.81, 0.207437
0.95, 0.200932, 0.19, 0.81, 0.203879
0.95, 0.203792, 0.19, 0.81, 0.210797
0.95, 0.198675, 0.19, 0.81, 0.20264
0.95, 0.207465, 0.19, 0.81, 0.209833
0.95, 0.20677, 0.19, 0.81, 0.207916
0.95, 0.214549, 0.19, 0.81, 0.211638
0.95, 0.204772, 0.19, 0.81, 0.20944
0.95, 0.202585, 0.19, 0.81, 0.209508
0.95, 0.206342, 0.19, 0.81, 0.208295
0.95, 0.204283, 0.19, 0.81, 0.206558
