# B5 Gamma Dynamic Simulation Results
# Strategy schedule: schedules/schedule_b5_gamma_publish.txt
# Gamma schedule: schedules/gamma_schedule_volatile.txt
# Hash rate range: 0.15 - 0.3 (15% - 30%) in 0.01 increments
InitialGamma, Miner0_ProfitFraction, Miner0_HashRate, Miner1_HashRate, Miner0_BlockFraction
0.95, 0.165672, 0.15, 0.85, 0.161439
0.95, 0.163587, 0.15, 0.85, 0.163379
0.95, 0.156938, 0.15, 0.85, 0.1571
0.95, 0.155544, 0.15, 0.85, 0.158177
0.95, 0.156223, 0.15, 0.85, 0.159793
0.95, 0.158055, 0.15, 0.85, 0.160304
0.95, 0.161337, 0.15, 0.85, 0.157451
0.95, 0.155984, 0.15, 0.85, 0.159268
0.95, 0.151106, 0.15, 0.85, 0.154246
0.95, 0.158916, 0.15, 0.85, 0.158464
0.95, 0.161389, 0.15, 0.85, 0.15714
0.95, 0.153983, 0.15, 0.85, 0.154957
0.95, 0.153714, 0.15, 0.85, 0.155995
0.95, 0.159858, 0.15, 0.85, 0.157457
0.95, 0.154625, 0.15, 0.85, 0.156946
0.95, 0.159795, 0.15, 0.85, 0.159991
0.95, 0.162543, 0.15, 0.85, 0.160247
0.95, 0.160512, 0.15, 0.85, 0.16093
0.95, 0.159676, 0.15, 0.85, 0.159151
0.95, 0.160781, 0.15, 0.85, 0.160699
0.95, 0.154543, 0.15, 0.85, 0.154186
0.95, 0.162304, 0.15, 0.85, 0.161252
0.95, 0.149659, 0.15, 0.85, 0.153647
0.95, 0.158757, 0.15, 0.85, 0.164108
0.95, 0.157723, 0.15, 0.85, 0.158959
0.95, 0.171921, 0.16, 0.84, 0.172061
0.95, 0.169989, 0.16, 0.84, 0.172252
0.95, 0.175654, 0.16, 0.84, 0.173221
0.95, 0.170489, 0.16, 0.84, 0.169008
0.95, 0.168903, 0.16, 0.84, 0.169018
0.95, 0.175389, 0.16, 0.84, 0.175006
0.95, 0.169406, 0.16, 0.84, 0.168637
0.95, 0.164278, 0.16, 0.84, 0.166657
0.95, 0.169262, 0.16, 0.84, 0.170851
0.95, 0.169627, 0.16, 0.84, 0.169421
0.95, 0.172906, 0.16, 0.84, 0.173206
0.95, 0.168251, 0.16, 0.84, 0.171607
0.95, 0.167661, 0.16, 0.84, 0.172985
0.95, 0.167179, 0.16, 0.84, 0.173737
0.95, 0.170591, 0.16, 0.84, 0.167753
0.95, 0.173108, 0.16, 0.84, 0.168337
0.95, 0.167437, 0.16, 0.84, 0.172977
0.95, 0.178054, 0.16, 0.84, 0.17669
0.95, 0.170632, 0.16, 0.84, 0.170385
0.95, 0.174927, 0.16, 0.84, 0.177014
0.95, 0.169631, 0.16, 0.84, 0.17262
0.95, 0.172344, 0.16, 0.84, 0.175381
0.95, 0.167915, 0.16, 0.84, 0.167946
0.95, 0.1699, 0.16, 0.84, 0.171069
0.95, 0.165216, 0.16, 0.84, 0.165808
0.95, 0.191208, 0.17, 0.83, 0.188021
0.95, 0.187653, 0.17, 0.83, 0.190319
0.95, 0.191696, 0.17, 0.83, 0.191636
0.95, 0.183523, 0.17, 0.83, 0.186931
0.95, 0.170283, 0.17, 0.83, 0.177821
0.95, 0.187253, 0.17, 0.83, 0.187107
0.95, 0.182606, 0.17, 0.83, 0.183568
0.95, 0.179203, 0.17, 0.83, 0.182777
0.95, 0.181025, 0.17, 0.83, 0.18544
0.95, 0.182976, 0.17, 0.83, 0.184709
0.95, 0.177612, 0.17, 0.83, 0.182223
0.95, 0.17744, 0.17, 0.83, 0.182007
0.95, 0.185857, 0.17, 0.83, 0.183587
0.95, 0.180851, 0.17, 0.83, 0.184939
0.95, 0.189998, 0.17, 0.83, 0.188839
0.95, 0.179535, 0.17, 0.83, 0.184383
0.95, 0.177529, 0.17, 0.83, 0.17605
0.95, 0.184247, 0.17, 0.83, 0.186561
0.95, 0.183303, 0.17, 0.83, 0.180915
0.95, 0.182341, 0.17, 0.83, 0.18272
0.95, 0.18222, 0.17, 0.83, 0.181918
0.95, 0.18907, 0.17, 0.83, 0.18409
0.95, 0.184628, 0.17, 0.83, 0.182206
0.95, 0.177886, 0.17, 0.83, 0.177415
0.95, 0.177121, 0.17, 0.83, 0.180951
0.95, 0.198304, 0.18, 0.82, 0.199374
0.95, 0.19289, 0.18, 0.82, 0.193829
0.95, 0.196567, 0.18, 0.82, 0.195421
0.95, 0.194575, 0.18, 0.82, 0.200221
0.95, 0.19025, 0.18, 0.82, 0.193755
0.95, 0.188444, 0.18, 0.82, 0.192753
0.95, 0.200265, 0.18, 0.82, 0.195866
0.95, 0.196445, 0.18, 0.82, 0.196359
0.95, 0.19023, 0.18, 0.82, 0.192946
0.95, 0.195635, 0.18, 0.82, 0.197829
0.95, 0.198913, 0.18, 0.82, 0.201688
0.95, 0.199095, 0.18, 0.82, 0.198128
0.95, 0.19697, 0.18, 0.82, 0.199079
0.95, 0.190561, 0.18, 0.82, 0.195136
0.95, 0.193548, 0.18, 0.82, 0.192124
0.95, 0.196752, 0.18, 0.82, 0.200011
0.95, 0.193367, 0.18, 0.82, 0.197567
0.95, 0.200146, 0.18, 0.82, 0.198789
0.95, 0.197965, 0.18, 0.82, 0.199106
0.95, 0.19265, 0.18, 0.82, 0.195446
0.95, 0.200362, 0.18, 0.82, 0.198407
0.95, 0.191208, 0.18, 0.82, 0.191832
0.95, 0.201558, 0.18, 0.82, 0.197894
0.95, 0.197311, 0.18, 0.82, 0.1954
0.95, 0.19509, 0.18, 0.82, 0.20195
0.95, 0.204011, 0.19, 0.81, 0.207089
0.95, 0.198822, 0.19, 0.81, 0.203541
0.95, 0.207661, 0.19, 0.81, 0.208669
0.95, 0.213257, 0.19, 0.81, 0.211616
0.95, 0.207342, 0.19, 0.81, 0.210088
0.95, 0.204269, 0.19, 0.81, 0.208916
0.95, 0.204826, 0.19, 0.81, 0.20945
0.95, 0.210291, 0.19, 0.81, 0.212348
0.95, 0.208581, 0.19, 0.81, 0.210609
0.95, 0.215694, 0.19, 0.81, 0.213618
0.95, 0.20255, 0.19, 0.81, 0.208222
0.95, 0.208766, 0.19, 0.81, 0.208637
0.95, 0.210355, 0.19, 0.81, 0.209328
0.95, 0.211035, 0.19, 0.81, 0.210548
0.95, 0.207163, 0.19, 0.81, 0.209324
0.95, 0.201148, 0.19, 0.81, 0.203856
0.95, 0.207879, 0.19, 0.81, 0.21176
0.95, 0.211852, 0.19, 0.81, 0.212444
0.95, 0.213467, 0.19, 0.81, 0.214941
0.95, 0.218222, 0.19, 0.81, 0.219885
0.95, 0.209123, 0.19, 0.81, 0.214605
0.95, 0.209016, 0.19, 0.81, 0.211367
0.95, 0.201224, 0.19, 0.81, 0.209315
0.95, 0.203221, 0.19, 0.81, 0.207519
0.95, 0.20281, 0.19, 0.81, 0.206985
0.95, 0.221269, 0.2, 0.8, 0.222255
0.95, 0.218426, 0.2, 0.8, 0.221424
0.95, 0.224067, 0.2, 0.8, 0.223525
0.95, 0.227573, 0.2, 0.8, 0.225042
0.95, 0.218565, 0.2, 0.8, 0.222026
0.95, 0.213221, 0.2, 0.8, 0.218309
0.95, 0.205052, 0.2, 0.8, 0.21198
0.95, 0.216987, 0.2, 0.8, 0.225412
0.95, 0.211713, 0.2, 0.8, 0.21764
0.95, 0.226334, 0.2, 0.8, 0.22769
0.95, 0.217586, 0.2, 0.8, 0.221549
0.95, 0.212115, 0.2, 0.8, 0.218937
0.95, 0.220664, 0.2, 0.8, 0.224556
0.95, 0.219632, 0.2, 0.8, 0.222426
0.95, 0.224561, 0.2, 0.8, 0.226557
0.95, 0.217336, 0.2, 0.8, 0.219035
0.95, 0.223566, 0.2, 0.8, 0.225856
0.95, 0.207118, 0.2, 0.8, 0.214444
0.95, 0.224434, 0.2, 0.8, 0.226976
0.95, 0.212848, 0.2, 0.8, 0.220157
0.95, 0.208894, 0.2, 0.8, 0.213401
0.95, 0.222748, 0.2, 0.8, 0.22619
0.95, 0.215908, 0.2, 0.8, 0.219231
0.95, 0.220847, 0.2, 0.8, 0.220207
0.95, 0.2198, 0.2, 0.8, 0.22148
0.95, 0.231998, 0.21, 0.79, 0.239203
0.95, 0.243108, 0.21, 0.79, 0.2431
0.95, 0.236569, 0.21, 0.79, 0.236555
0.95, 0.236603, 0.21, 0.79, 0.239415
0.95, 0.229843, 0.21, 0.79, 0.227759
0.95, 0.235197, 0.21, 0.79, 0.236326
0.95, 0.234067, 0.21, 0.79, 0.236419
0.95, 0.234777, 0.21, 0.79, 0.240166
0.95, 0.232511, 0.21, 0.79, 0.237334
0.95, 0.23383, 0.21, 0.79, 0.232836
0.95, 0.236956, 0.21, 0.79, 0.239176
0.95, 0.237974, 0.21, 0.79, 0.237376
0.95, 0.23983, 0.21, 0.79, 0.244379
0.95, 0.229142, 0.21, 0.79, 0.236647
0.95, 0.233143, 0.21, 0.79, 0.234639
