# B5 Gamma Dynamic Simulation Results
# Strategy schedule: schedules/schedule_b5_gamma_rational.txt
# Gamma schedule: schedules/gamma_schedule_volatile.txt
# Hash rate range: 0.15 - 0.3 (15% - 30%) in 0.01 increments
InitialGamma, Miner0_ProfitFraction, Miner0_HashRate, Miner1_HashRate, Miner0_BlockFraction
0.95, 0.157114, 0.15, 0.85, 0.161322
0.95, 0.158816, 0.15, 0.85, 0.161613
0.95, 0.156208, 0.15, 0.85, 0.159548
0.95, 0.162554, 0.15, 0.85, 0.164992
0.95, 0.154752, 0.15, 0.85, 0.159282
0.95, 0.162431, 0.15, 0.85, 0.15937
0.95, 0.156219, 0.15, 0.85, 0.160725
0.95, 0.161672, 0.15, 0.85, 0.162305
0.95, 0.157778, 0.15, 0.85, 0.157042
0.95, 0.151299, 0.15, 0.85, 0.154763
0.95, 0.158655, 0.15, 0.85, 0.155832
0.95, 0.156767, 0.15, 0.85, 0.156785
0.95, 0.154524, 0.15, 0.85, 0.152068
0.95, 0.154973, 0.15, 0.85, 0.158809
0.95, 0.160083, 0.15, 0.85, 0.159327
0.95, 0.164046, 0.15, 0.85, 0.163118
0.95, 0.149755, 0.15, 0.85, 0.15016
0.95, 0.154851, 0.15, 0.85, 0.158744
0.95, 0.15513, 0.15, 0.85, 0.156133
0.95, 0.162245, 0.15, 0.85, 0.165342
0.95, 0.156429, 0.15, 0.85, 0.159096
0.95, 0.154429, 0.15, 0.85, 0.158539
0.95, 0.156677, 0.15, 0.85, 0.154003
0.95, 0.154417, 0.15, 0.85, 0.158931
0.95, 0.151881, 0.15, 0.85, 0.154124
0.95, 0.179834, 0.16, 0.84, 0.173819
0.95, 0.177822, 0.16, 0.84, 0.178795
0.95, 0.166009, 0.16, 0.84, 0.168199
0.95, 0.167465, 0.16, 0.84, 0.167653
0.95, 0.162804, 0.16, 0.84, 0.166542
0.95, 0.178856, 0.16, 0.84, 0.174521
0.95, 0.170723, 0.16, 0.84, 0.17101
0.95, 0.175309, 0.16, 0.84, 0.175206
0.95, 0.179206, 0.16, 0.84, 0.175055
0.95, 0.164384, 0.16, 0.84, 0.167984
0.95, 0.178229, 0.16, 0.84, 0.174781
0.95, 0.172963, 0.16, 0.84, 0.174511
0.95, 0.171033, 0.16, 0.84, 0.176419
0.95, 0.175012, 0.16, 0.84, 0.172327
0.95, 0.169901, 0.16, 0.84, 0.167976
0.95, 0.168709, 0.16, 0.84, 0.171889
0.95, 0.169743, 0.16, 0.84, 0.171822
0.95, 0.161887, 0.16, 0.84, 0.169366
0.95, 0.16245, 0.16, 0.84, 0.165272
0.95, 0.167465, 0.16, 0.84, 0.170612
0.95, 0.164431, 0.16, 0.84, 0.170046
0.95, 0.170237, 0.16, 0.84, 0.17324
0.95, 0.168701, 0.16, 0.84, 0.16922
0.95, 0.168685, 0.16, 0.84, 0.171618
0.95, 0.175821, 0.16, 0.84, 0.174522
0.95, 0.183758, 0.17, 0.83, 0.179798
0.95, 0.17837, 0.17, 0.83, 0.182225
0.95, 0.186188, 0.17, 0.83, 0.187223
0.95, 0.180756, 0.17, 0.83, 0.182832
0.95, 0.180209, 0.17, 0.83, 0.180613
0.95, 0.186362, 0.17, 0.83, 0.187485
0.95, 0.187564, 0.17, 0.83, 0.187941
0.95, 0.184269, 0.17, 0.83, 0.183299
0.95, 0.178724, 0.17, 0.83, 0.183315
0.95, 0.185923, 0.17, 0.83, 0.184964
0.95, 0.180136, 0.17, 0.83, 0.183381
0.95, 0.182536, 0.17, 0.83, 0.183703
0.95, 0.187366, 0.17, 0.83, 0.187246
0.95, 0.181235, 0.17, 0.83, 0.182574
0.95, 0.181468, 0.17, 0.83, 0.182986
0.95, 0.186455, 0.17, 0.83, 0.185206
0.95, 0.17872, 0.17, 0.83, 0.183612
0.95, 0.187106, 0.17, 0.83, 0.184989
0.95, 0.187329, 0.17, 0.83, 0.191656
0.95, 0.176529, 0.17, 0.83, 0.177218
0.95, 0.192455, 0.17, 0.83, 0.189732
0.95, 0.185197, 0.17, 0.83, 0.186466
0.95, 0.188206, 0.17, 0.83, 0.185494
0.95, 0.182943, 0.17, 0.83, 0.183022
0.95, 0.186189, 0.17, 0.83, 0.186041
0.95, 0.19943, 0.18, 0.82, 0.201155
0.95, 0.194764, 0.18, 0.82, 0.195795
0.95, 0.201611, 0.18, 0.82, 0.197985
0.95, 0.197759, 0.18, 0.82, 0.195875
0.95, 0.194667, 0.18, 0.82, 0.194998
0.95, 0.18642, 0.18, 0.82, 0.193229
0.95, 0.193972, 0.18, 0.82, 0.198413
0.95, 0.199314, 0.18, 0.82, 0.198442
0.95, 0.192995, 0.18, 0.82, 0.197974
0.95, 0.195745, 0.18, 0.82, 0.199931
0.95, 0.189206, 0.18, 0.82, 0.192181
0.95, 0.197604, 0.18, 0.82, 0.196043
0.95, 0.198591, 0.18, 0.82, 0.197948
0.95, 0.19316, 0.18, 0.82, 0.196151
0.95, 0.201753, 0.18, 0.82, 0.199242
0.95, 0.19678, 0.18, 0.82, 0.193734
0.95, 0.199876, 0.18, 0.82, 0.201802
0.95, 0.195231, 0.18, 0.82, 0.196419
0.95, 0.195587, 0.18, 0.82, 0.191933
0.95, 0.197539, 0.18, 0.82, 0.19906
0.95, 0.191669, 0.18, 0.82, 0.199989
0.95, 0.202162, 0.18, 0.82, 0.200736
0.95, 0.197393, 0.18, 0.82, 0.196246
0.95, 0.199543, 0.18, 0.82, 0.199303
0.95, 0.195424, 0.18, 0.82, 0.198001
0.95, 0.206585, 0.19, 0.81, 0.209264
0.95, 0.210485, 0.19, 0.81, 0.211796
0.95, 0.205384, 0.19, 0.81, 0.208859
0.95, 0.208191, 0.19, 0.81, 0.212912
0.95, 0.21885, 0.19, 0.81, 0.217949
0.95, 0.213811, 0.19, 0.81, 0.212241
0.95, 0.205457, 0.19, 0.81, 0.21077
0.95, 0.199855, 0.19, 0.81, 0.199627
0.95, 0.213057, 0.19, 0.81, 0.214147
0.95, 0.201276, 0.19, 0.81, 0.207133
0.95, 0.213164, 0.19, 0.81, 0.212203
0.95, 0.205828, 0.19, 0.81, 0.205625
0.95, 0.2099, 0.19, 0.81, 0.211772
0.95, 0.218582, 0.19, 0.81, 0.217752
