# B5 Gamma Dynamic Simulation Results
# Strategy schedule: schedules/schedule_b5_gamma_reverse_aggressive.txt
# Gamma schedule: schedules/gamma_schedule_volatile.txt
# Hash rate range: 0.15 - 0.3 (15% - 30%) in 0.01 increments
InitialGamma, Miner0_ProfitFraction, Miner0_HashRate, Miner1_HashRate, Miner0_BlockFraction
0.95, 0.151333, 0.15, 0.85, 0.155254
0.95, 0.155562, 0.15, 0.85, 0.158
0.95, 0.154706, 0.15, 0.85, 0.157018
0.95, 0.16473, 0.15, 0.85, 0.163835
0.95, 0.167299, 0.15, 0.85, 0.165226
0.95, 0.159835, 0.15, 0.85, 0.162329
0.95, 0.154995, 0.15, 0.85, 0.157384
0.95, 0.15992, 0.15, 0.85, 0.165134
0.95, 0.163487, 0.15, 0.85, 0.160953
0.95, 0.158929, 0.15, 0.85, 0.158432
0.95, 0.165638, 0.15, 0.85, 0.159982
0.95, 0.161627, 0.15, 0.85, 0.157698
0.95, 0.154436, 0.15, 0.85, 0.16115
0.95, 0.154789, 0.15, 0.85, 0.153738
0.95, 0.165764, 0.15, 0.85, 0.168373
0.95, 0.158444, 0.15, 0.85, 0.158282
0.95, 0.159497, 0.15, 0.85, 0.15926
0.95, 0.15453, 0.15, 0.85, 0.154143
0.95, 0.160967, 0.15, 0.85, 0.161896
0.95, 0.155327, 0.15, 0.85, 0.15853
0.95, 0.14896, 0.15, 0.85, 0.155943
0.95, 0.164294, 0.15, 0.85, 0.164498
0.95, 0.151627, 0.15, 0.85, 0.158402
0.95, 0.162546, 0.15, 0.85, 0.16513
0.95, 0.159181, 0.15, 0.85, 0.157033
0.95, 0.168015, 0.16, 0.84, 0.167342
0.95, 0.176384, 0.16, 0.84, 0.177188
0.95, 0.168469, 0.16, 0.84, 0.167944
0.95, 0.175273, 0.16, 0.84, 0.17395
0.95, 0.167651, 0.16, 0.84, 0.169718
0.95, 0.175155, 0.16, 0.84, 0.170506
0.95, 0.163788, 0.16, 0.84, 0.168976
0.95, 0.171216, 0.16, 0.84, 0.173913
0.95, 0.168195, 0.16, 0.84, 0.171773
0.95, 0.172869, 0.16, 0.84, 0.171294
0.95, 0.166058, 0.16, 0.84, 0.168835
0.95, 0.169603, 0.16, 0.84, 0.172055
0.95, 0.166783, 0.16, 0.84, 0.167367
0.95, 0.17481, 0.16, 0.84, 0.174121
0.95, 0.167444, 0.16, 0.84, 0.169524
0.95, 0.173664, 0.16, 0.84, 0.173507
0.95, 0.164111, 0.16, 0.84, 0.166514
0.95, 0.170741, 0.16, 0.84, 0.169172
0.95, 0.163394, 0.16, 0.84, 0.167607
0.95, 0.165048, 0.16, 0.84, 0.167557
0.95, 0.176401, 0.16, 0.84, 0.175659
0.95, 0.173107, 0.16, 0.84, 0.17489
0.95, 0.165448, 0.16, 0.84, 0.169101
0.95, 0.167335, 0.16, 0.84, 0.171544
0.95, 0.166329, 0.16, 0.84, 0.170933
0.95, 0.187462, 0.17, 0.83, 0.186652
0.95, 0.188598, 0.17, 0.83, 0.19563
0.95, 0.192604, 0.17, 0.83, 0.188134
0.95, 0.179134, 0.17, 0.83, 0.18433
0.95, 0.185043, 0.17, 0.83, 0.184986
0.95, 0.194384, 0.17, 0.83, 0.188106
0.95, 0.189199, 0.17, 0.83, 0.192052
0.95, 0.182144, 0.17, 0.83, 0.181415
0.95, 0.188947, 0.17, 0.83, 0.183499
0.95, 0.179604, 0.17, 0.83, 0.181025
0.95, 0.171198, 0.17, 0.83, 0.175988
0.95, 0.174698, 0.17, 0.83, 0.18207
0.95, 0.185832, 0.17, 0.83, 0.184914
0.95, 0.18145, 0.17, 0.83, 0.186327
0.95, 0.179626, 0.17, 0.83, 0.181316
0.95, 0.182702, 0.17, 0.83, 0.186173
0.95, 0.189043, 0.17, 0.83, 0.186663
0.95, 0.168599, 0.17, 0.83, 0.1793
0.95, 0.181836, 0.17, 0.83, 0.182754
0.95, 0.184574, 0.17, 0.83, 0.184499
0.95, 0.187107, 0.17, 0.83, 0.184452
0.95, 0.180571, 0.17, 0.83, 0.179585
0.95, 0.178554, 0.17, 0.83, 0.173591
0.95, 0.180436, 0.17, 0.83, 0.182548
0.95, 0.181103, 0.17, 0.83, 0.181992
0.95, 0.196251, 0.18, 0.82, 0.197319
0.95, 0.193017, 0.18, 0.82, 0.192356
0.95, 0.197558, 0.18, 0.82, 0.196934
0.95, 0.196124, 0.18, 0.82, 0.198227
0.95, 0.190386, 0.18, 0.82, 0.191735
0.95, 0.199103, 0.18, 0.82, 0.198197
0.95, 0.191347, 0.18, 0.82, 0.190997
0.95, 0.197388, 0.18, 0.82, 0.194692
0.95, 0.191328, 0.18, 0.82, 0.198968
0.95, 0.188471, 0.18, 0.82, 0.193733
0.95, 0.193864, 0.18, 0.82, 0.198889
0.95, 0.189371, 0.18, 0.82, 0.192283
0.95, 0.19584, 0.18, 0.82, 0.194868
0.95, 0.191887, 0.18, 0.82, 0.196623
0.95, 0.194575, 0.18, 0.82, 0.193055
0.95, 0.198917, 0.18, 0.82, 0.198557
0.95, 0.198701, 0.18, 0.82, 0.19595
0.95, 0.191736, 0.18, 0.82, 0.187471
0.95, 0.193253, 0.18, 0.82, 0.194745
0.95, 0.192804, 0.18, 0.82, 0.190344
0.95, 0.196416, 0.18, 0.82, 0.196927
0.95, 0.198458, 0.18, 0.82, 0.199096
0.95, 0.193634, 0.18, 0.82, 0.195807
0.95, 0.185521, 0.18, 0.82, 0.192074
0.95, 0.210685, 0.18, 0.82, 0.205922
0.95, 0.208488, 0.19, 0.81, 0.209403
0.95, 0.199625, 0.19, 0.81, 0.205669
0.95, 0.197269, 0.19, 0.81, 0.204389
0.95, 0.204049, 0.19, 0.81, 0.20546
0.95, 0.213787, 0.19, 0.81, 0.211434
0.95, 0.208091, 0.19, 0.81, 0.211554
0.95, 0.207618, 0.19, 0.81, 0.207063
0.95, 0.209564, 0.19, 0.81, 0.210945
0.95, 0.211703, 0.19, 0.81, 0.210882
0.95, 0.218756, 0.19, 0.81, 0.213699
0.95, 0.20738, 0.19, 0.81, 0.207475
0.95, 0.203354, 0.19, 0.81, 0.206907
0.95, 0.207598, 0.19, 0.81, 0.210447
0.95, 0.205869, 0.19, 0.81, 0.208011
0.95, 0.202098, 0.19, 0.81, 0.205131
0.95, 0.205327, 0.19, 0.81, 0.207708
0.95, 0.215657, 0.19, 0.81, 0.219128
0.95, 0.2061, 0.19, 0.81, 0.209459
0.95, 0.206291, 0.19, 0.81, 0.208121
0.95, 0.207434, 0.19, 0.81, 0.20751
0.95, 0.205565, 0.19, 0.81, 0.208239
0.95, 0.209004, 0.19, 0.81, 0.206244
0.95, 0.209718, 0.19, 0.81, 0.209933
0.95, 0.206602, 0.19, 0.81, 0.207965
0.95, 0.200034, 0.19, 0.81, 0.20418
0.95, 0.225236, 0.2, 0.8, 0.227377
0.95, 0.223807, 0.2, 0.8, 0.22335
0.95, 0.221089, 0.2, 0.8, 0.22157
0.95, 0.21613, 0.2, 0.8, 0.223094
0.95, 0.217402, 0.2, 0.8, 0.218018
0.95, 0.21909, 0.2, 0.8, 0.224363
0.95, 0.224447, 0.2, 0.8, 0.226445
0.95, 0.221937, 0.2, 0.8, 0.22324
