# B5 Gamma Dynamic Simulation Results
# Strategy schedule: schedules/schedule_b5_pure_selfish_gamma.txt
# Gamma schedule: schedules/gamma_schedule_extreme.txt
# Hash rate range: 0.15 - 0.3 (15% - 30%) in 0.01 increments
InitialGamma, Miner0_ProfitFraction, Miner0_HashRate, Miner1_HashRate, Miner0_BlockFraction
1, 0.159164, 0.15, 0.85, 0.162081
1, 0.162893, 0.15, 0.85, 0.160627
1, 0.158396, 0.15, 0.85, 0.160369
1, 0.163322, 0.15, 0.85, 0.160601
1, 0.162528, 0.15, 0.85, 0.159193
1, 0.153384, 0.15, 0.85, 0.157603
1, 0.151638, 0.15, 0.85, 0.152003
1, 0.160495, 0.15, 0.85, 0.16076
1, 0.158707, 0.15, 0.85, 0.159533
1, 0.160535, 0.15, 0.85, 0.157529
1, 0.153751, 0.15, 0.85, 0.157784
1, 0.159625, 0.15, 0.85, 0.163108
1, 0.164336, 0.15, 0.85, 0.161412
1, 0.153537, 0.15, 0.85, 0.152879
1, 0.156661, 0.15, 0.85, 0.159236
1, 0.152867, 0.15, 0.85, 0.158365
1, 0.154297, 0.15, 0.85, 0.157227
1, 0.157481, 0.15, 0.85, 0.159342
1, 0.15878, 0.15, 0.85, 0.158872
1, 0.159948, 0.15, 0.85, 0.159052
1, 0.157564, 0.15, 0.85, 0.160589
1, 0.15469, 0.15, 0.85, 0.155179
1, 0.161331, 0.15, 0.85, 0.161898
1, 0.15548, 0.15, 0.85, 0.151617
1, 0.158227, 0.15, 0.85, 0.16025
1, 0.169755, 0.16, 0.84, 0.172556
1, 0.176969, 0.16, 0.84, 0.171137
1, 0.166111, 0.16, 0.84, 0.165883
1, 0.168456, 0.16, 0.84, 0.1723
1, 0.168293, 0.16, 0.84, 0.169275
1, 0.163596, 0.16, 0.84, 0.161436
1, 0.172604, 0.16, 0.84, 0.168548
1, 0.174732, 0.16, 0.84, 0.174178
1, 0.173086, 0.16, 0.84, 0.174134
1, 0.171902, 0.16, 0.84, 0.172093
1, 0.168613, 0.16, 0.84, 0.168037
1, 0.164991, 0.16, 0.84, 0.170203
1, 0.170233, 0.16, 0.84, 0.17101
1, 0.167575, 0.16, 0.84, 0.169208
1, 0.166625, 0.16, 0.84, 0.168816
1, 0.169976, 0.16, 0.84, 0.172494
1, 0.167957, 0.16, 0.84, 0.168919
1, 0.160318, 0.16, 0.84, 0.163506
1, 0.164674, 0.16, 0.84, 0.168003
1, 0.169139, 0.16, 0.84, 0.166713
1, 0.164607, 0.16, 0.84, 0.167249
1, 0.170084, 0.16, 0.84, 0.16751
1, 0.169607, 0.16, 0.84, 0.171718
1, 0.168553, 0.16, 0.84, 0.171586
1, 0.17216, 0.16, 0.84, 0.172241
1, 0.182498, 0.17, 0.83, 0.185042
1, 0.189749, 0.17, 0.83, 0.187753
1, 0.178273, 0.17, 0.83, 0.181241
1, 0.182323, 0.17, 0.83, 0.182841
1, 0.184818, 0.17, 0.83, 0.181813
1, 0.180187, 0.17, 0.83, 0.180879
1, 0.180659, 0.17, 0.83, 0.182253
1, 0.183326, 0.17, 0.83, 0.182934
1, 0.174729, 0.17, 0.83, 0.181907
1, 0.173351, 0.17, 0.83, 0.175477
1, 0.181701, 0.17, 0.83, 0.184153
1, 0.178414, 0.17, 0.83, 0.185029
1, 0.179877, 0.17, 0.83, 0.175394
1, 0.178903, 0.17, 0.83, 0.18085
1, 0.18213, 0.17, 0.83, 0.183707
1, 0.186012, 0.17, 0.83, 0.186926
1, 0.178417, 0.17, 0.83, 0.181919
1, 0.174566, 0.17, 0.83, 0.179812
1, 0.176329, 0.17, 0.83, 0.181455
1, 0.182717, 0.17, 0.83, 0.184852
1, 0.1868, 0.17, 0.83, 0.185143
1, 0.186058, 0.17, 0.83, 0.18439
1, 0.172029, 0.17, 0.83, 0.176124
1, 0.18329, 0.17, 0.83, 0.184968
1, 0.19208, 0.17, 0.83, 0.190047
1, 0.198159, 0.18, 0.82, 0.199812
1, 0.193708, 0.18, 0.82, 0.194083
1, 0.201186, 0.18, 0.82, 0.198429
1, 0.202661, 0.18, 0.82, 0.199941
1, 0.189879, 0.18, 0.82, 0.190659
1, 0.195201, 0.18, 0.82, 0.200502
1, 0.186426, 0.18, 0.82, 0.190217
1, 0.184897, 0.18, 0.82, 0.191679
1, 0.195623, 0.18, 0.82, 0.196645
