# B5 Gamma Dynamic Simulation Results
# Strategy schedule: schedules/schedule_b5_pure_selfish_gamma.txt
# Gamma schedule: schedules/gamma_schedule_rapid.txt
# Hash rate range: 0.15 - 0.3 (15% - 30%) in 0.01 increments
InitialGamma, Miner0_ProfitFraction, Miner0_HashRate, Miner1_HashRate, Miner0_BlockFraction
0.95, 0.156731, 0.15, 0.85, 0.15906
0.95, 0.154746, 0.15, 0.85, 0.1568
0.95, 0.159778, 0.15, 0.85, 0.157196
0.95, 0.158902, 0.15, 0.85, 0.161761
0.95, 0.160002, 0.15, 0.85, 0.159042
0.95, 0.156136, 0.15, 0.85, 0.156019
0.95, 0.155138, 0.15, 0.85, 0.157132
0.95, 0.153762, 0.15, 0.85, 0.158707
0.95, 0.149521, 0.15, 0.85, 0.1531
0.95, 0.162857, 0.15, 0.85, 0.163769
0.95, 0.161623, 0.15, 0.85, 0.157795
0.95, 0.154604, 0.15, 0.85, 0.155373
0.95, 0.155272, 0.15, 0.85, 0.157701
0.95, 0.154366, 0.15, 0.85, 0.157829
0.95, 0.15559, 0.15, 0.85, 0.157407
0.95, 0.160579, 0.15, 0.85, 0.160931
0.95, 0.159088, 0.15, 0.85, 0.157468
0.95, 0.160243, 0.15, 0.85, 0.164341
0.95, 0.158865, 0.15, 0.85, 0.158669
0.95, 0.155434, 0.15, 0.85, 0.154167
0.95, 0.154593, 0.15, 0.85, 0.154614
0.95, 0.153521, 0.15, 0.85, 0.159449
0.95, 0.159771, 0.15, 0.85, 0.156635
0.95, 0.157012, 0.15, 0.85, 0.159059
0.95, 0.162683, 0.15, 0.85, 0.161546
0.95, 0.166716, 0.16, 0.84, 0.165228
0.95, 0.170237, 0.16, 0.84, 0.174309
0.95, 0.169901, 0.16, 0.84, 0.168866
0.95, 0.171221, 0.16, 0.84, 0.169241
0.95, 0.175598, 0.16, 0.84, 0.170886
0.95, 0.173707, 0.16, 0.84, 0.171698
0.95, 0.174652, 0.16, 0.84, 0.174667
0.95, 0.170294, 0.16, 0.84, 0.165998
0.95, 0.179436, 0.16, 0.84, 0.176491
0.95, 0.1717, 0.16, 0.84, 0.17327
0.95, 0.167785, 0.16, 0.84, 0.167156
0.95, 0.164513, 0.16, 0.84, 0.1668
0.95, 0.171647, 0.16, 0.84, 0.169932
0.95, 0.174847, 0.16, 0.84, 0.169674
0.95, 0.168929, 0.16, 0.84, 0.172465
0.95, 0.175422, 0.16, 0.84, 0.175506
0.95, 0.167955, 0.16, 0.84, 0.170003
0.95, 0.17367, 0.16, 0.84, 0.174036
0.95, 0.16707, 0.16, 0.84, 0.168672
0.95, 0.17317, 0.16, 0.84, 0.171469
0.95, 0.170067, 0.16, 0.84, 0.172244
0.95, 0.162232, 0.16, 0.84, 0.165266
0.95, 0.164702, 0.16, 0.84, 0.164777
0.95, 0.173765, 0.16, 0.84, 0.171299
0.95, 0.173348, 0.16, 0.84, 0.173757
0.95, 0.18576, 0.17, 0.83, 0.190137
0.95, 0.188175, 0.17, 0.83, 0.189994
