# B5 Gamma Dynamic Simulation Results
# Strategy schedule: schedules/schedule_b5_pure_selfish_gamma.txt
# Gamma schedule: schedules/gamma_schedule_slow_drift.txt
# Hash rate range: 0.15 - 0.3 (15% - 30%) in 0.01 increments
InitialGamma, Miner0_ProfitFraction, Miner0_HashRate, Miner1_HashRate, Miner0_BlockFraction
0.95, 0.149937, 0.15, 0.85, 0.153811
0.95, 0.149459, 0.15, 0.85, 0.151463
0.95, 0.153124, 0.15, 0.85, 0.151022
0.95, 0.15136, 0.15, 0.85, 0.153583
0.95, 0.155761, 0.15, 0.85, 0.153719
0.95, 0.153644, 0.15, 0.85, 0.157362
0.95, 0.15349, 0.15, 0.85, 0.156222
0.95, 0.15825, 0.15, 0.85, 0.152688
0.95, 0.154027, 0.15, 0.85, 0.158445
0.95, 0.1539, 0.15, 0.85, 0.153355
0.95, 0.160245, 0.15, 0.85, 0.162997
0.95, 0.157867, 0.15, 0.85, 0.156291
0.95, 0.158243, 0.15, 0.85, 0.155853
0.95, 0.15464, 0.15, 0.85, 0.159762
0.95, 0.142723, 0.15, 0.85, 0.1483
0.95, 0.156492, 0.15, 0.85, 0.153468
0.95, 0.153651, 0.15, 0.85, 0.153318
0.95, 0.159573, 0.15, 0.85, 0.155397
0.95, 0.160185, 0.15, 0.85, 0.156406
0.95, 0.150067, 0.15, 0.85, 0.149795
0.95, 0.154194, 0.15, 0.85, 0.152564
0.95, 0.163923, 0.15, 0.85, 0.160158
0.95, 0.155825, 0.15, 0.85, 0.156578
0.95, 0.150832, 0.15, 0.85, 0.155258
0.95, 0.158546, 0.15, 0.85, 0.158235
0.95, 0.165765, 0.16, 0.84, 0.164706
0.95, 0.167631, 0.16, 0.84, 0.171972
0.95, 0.168033, 0.16, 0.84, 0.169567
0.95, 0.167114, 0.16, 0.84, 0.168164
0.95, 0.169484, 0.16, 0.84, 0.16735
0.95, 0.171284, 0.16, 0.84, 0.172783
0.95, 0.16743, 0.16, 0.84, 0.170272
0.95, 0.157764, 0.16, 0.84, 0.163393
0.95, 0.168799, 0.16, 0.84, 0.168327
0.95, 0.167813, 0.16, 0.84, 0.166092
0.95, 0.170306, 0.16, 0.84, 0.172981
0.95, 0.165839, 0.16, 0.84, 0.165357
0.95, 0.16653, 0.16, 0.84, 0.1659
0.95, 0.166353, 0.16, 0.84, 0.166955
0.95, 0.170495, 0.16, 0.84, 0.169295
0.95, 0.16562, 0.16, 0.84, 0.169213
0.95, 0.161566, 0.16, 0.84, 0.16389
0.95, 0.166467, 0.16, 0.84, 0.16504
0.95, 0.176586, 0.16, 0.84, 0.174036
0.95, 0.158213, 0.16, 0.84, 0.163631
0.95, 0.171068, 0.16, 0.84, 0.170479
0.95, 0.166549, 0.16, 0.84, 0.167877
0.95, 0.163992, 0.16, 0.84, 0.166363
0.95, 0.170268, 0.16, 0.84, 0.17036
0.95, 0.166982, 0.16, 0.84, 0.166989
0.95, 0.179998, 0.17, 0.83, 0.184942
0.95, 0.179665, 0.17, 0.83, 0.176934
0.95, 0.171102, 0.17, 0.83, 0.173841
0.95, 0.18104, 0.17, 0.83, 0.180303
0.95, 0.173832, 0.17, 0.83, 0.175799
0.95, 0.177485, 0.17, 0.83, 0.184156
0.95, 0.175495, 0.17, 0.83, 0.179464
0.95, 0.176975, 0.17, 0.83, 0.179998
0.95, 0.182222, 0.17, 0.83, 0.182442
0.95, 0.181308, 0.17, 0.83, 0.181089
0.95, 0.170969, 0.17, 0.83, 0.176884
0.95, 0.181874, 0.17, 0.83, 0.181997
0.95, 0.176523, 0.17, 0.83, 0.178623
0.95, 0.18068, 0.17, 0.83, 0.182729
0.95, 0.175043, 0.17, 0.83, 0.176921
0.95, 0.181767, 0.17, 0.83, 0.185076
0.95, 0.175555, 0.17, 0.83, 0.1782
0.95, 0.176985, 0.17, 0.83, 0.17849
0.95, 0.181194, 0.17, 0.83, 0.184293
0.95, 0.180561, 0.17, 0.83, 0.182046
0.95, 0.179746, 0.17, 0.83, 0.179413
0.95, 0.179256, 0.17, 0.83, 0.181192
0.95, 0.179466, 0.17, 0.83, 0.183417
0.95, 0.181429, 0.17, 0.83, 0.181292
0.95, 0.182346, 0.17, 0.83, 0.184916
0.95, 0.193204, 0.18, 0.82, 0.194314
0.95, 0.187406, 0.18, 0.82, 0.191703
0.95, 0.186398, 0.18, 0.82, 0.189391
0.95, 0.186702, 0.18, 0.82, 0.187928
0.95, 0.193147, 0.18, 0.82, 0.189101
0.95, 0.191263, 0.18, 0.82, 0.192651
0.95, 0.191682, 0.18, 0.82, 0.195921
0.95, 0.198205, 0.18, 0.82, 0.197091
0.95, 0.18964, 0.18, 0.82, 0.192851
0.95, 0.194064, 0.18, 0.82, 0.194834
0.95, 0.188258, 0.18, 0.82, 0.194801
0.95, 0.188526, 0.18, 0.82, 0.191906
0.95, 0.197111, 0.18, 0.82, 0.194769
0.95, 0.189133, 0.18, 0.82, 0.190936
0.95, 0.191645, 0.18, 0.82, 0.192098
0.95, 0.195865, 0.18, 0.82, 0.195288
0.95, 0.189496, 0.18, 0.82, 0.187072
0.95, 0.196967, 0.18, 0.82, 0.197818
0.95, 0.196299, 0.18, 0.82, 0.196895
0.95, 0.187905, 0.18, 0.82, 0.1903
0.95, 0.190037, 0.18, 0.82, 0.191295
0.95, 0.191274, 0.18, 0.82, 0.190117
0.95, 0.195309, 0.18, 0.82, 0.189539
0.95, 0.19118, 0.18, 0.82, 0.195243
0.95, 0.193084, 0.18, 0.82, 0.189349
0.95, 0.205221, 0.19, 0.81, 0.210981
0.95, 0.207901, 0.19, 0.81, 0.20607
0.95, 0.20044, 0.19, 0.81, 0.20629
0.95, 0.202204, 0.19, 0.81, 0.206963
0.95, 0.212737, 0.19, 0.81, 0.213505
0.95, 0.20464, 0.19, 0.81, 0.204944
0.95, 0.202516, 0.19, 0.81, 0.205375
0.95, 0.204168, 0.19, 0.81, 0.210378
0.95, 0.200153, 0.19, 0.81, 0.201459
0.95, 0.198322, 0.19, 0.81, 0.20418
