# B5 Gamma Dynamic Simulation Results
# Strategy schedule: schedules/schedule_b5_pure_selfish.txt
# Gamma schedule: schedules/gamma_schedule_volatile.txt
# Hash rate range: 0.15 - 0.3 (15% - 30%) in 0.01 increments
InitialGamma, Miner0_ProfitFraction, Miner0_HashRate, Miner1_HashRate, Miner0_BlockFraction
0.95, 0.161512, 0.15, 0.85, 0.160536
0.95, 0.161772, 0.15, 0.85, 0.161329
0.95, 0.152407, 0.15, 0.85, 0.155355
0.95, 0.150368, 0.15, 0.85, 0.152954
0.95, 0.162049, 0.15, 0.85, 0.164265
0.95, 0.15814, 0.15, 0.85, 0.156005
0.95, 0.157523, 0.15, 0.85, 0.160021
0.95, 0.162891, 0.15, 0.85, 0.15957
0.95, 0.155639, 0.15, 0.85, 0.15794
0.95, 0.156134, 0.15, 0.85, 0.15722
0.95, 0.159594, 0.15, 0.85, 0.159838
0.95, 0.156834, 0.15, 0.85, 0.156304
0.95, 0.166347, 0.15, 0.85, 0.163803
0.95, 0.166394, 0.15, 0.85, 0.166542
0.95, 0.1594, 0.15, 0.85, 0.160845
0.95, 0.153987, 0.15, 0.85, 0.158627
0.95, 0.163765, 0.15, 0.85, 0.162329
0.95, 0.162874, 0.15, 0.85, 0.161189
0.95, 0.158335, 0.15, 0.85, 0.161067
0.95, 0.159371, 0.15, 0.85, 0.156722
0.95, 0.15075, 0.15, 0.85, 0.155984
0.95, 0.159171, 0.15, 0.85, 0.157713
0.95, 0.156087, 0.15, 0.85, 0.155923
0.95, 0.158111, 0.15, 0.85, 0.158406
0.95, 0.157992, 0.15, 0.85, 0.159046
0.95, 0.169861, 0.16, 0.84, 0.168664
0.95, 0.168227, 0.16, 0.84, 0.170914
0.95, 0.174732, 0.16, 0.84, 0.174361
0.95, 0.170072, 0.16, 0.84, 0.172847
0.95, 0.169009, 0.16, 0.84, 0.16969
0.95, 0.173636, 0.16, 0.84, 0.173534
0.95, 0.160519, 0.16, 0.84, 0.165913
0.95, 0.166416, 0.16, 0.84, 0.167512
0.95, 0.174644, 0.16, 0.84, 0.173861
0.95, 0.173885, 0.16, 0.84, 0.175634
0.95, 0.16734, 0.16, 0.84, 0.16859
0.95, 0.17457, 0.16, 0.84, 0.174162
0.95, 0.167224, 0.16, 0.84, 0.170702
0.95, 0.173513, 0.16, 0.84, 0.173036
0.95, 0.170979, 0.16, 0.84, 0.170809
0.95, 0.175103, 0.16, 0.84, 0.173687
0.95, 0.178226, 0.16, 0.84, 0.178153
0.95, 0.171083, 0.16, 0.84, 0.171952
0.95, 0.165842, 0.16, 0.84, 0.167268
0.95, 0.168802, 0.16, 0.84, 0.171962
0.95, 0.16722, 0.16, 0.84, 0.173453
0.95, 0.171684, 0.16, 0.84, 0.170186
0.95, 0.171841, 0.16, 0.84, 0.171195
0.95, 0.170404, 0.16, 0.84, 0.166208
0.95, 0.175603, 0.16, 0.84, 0.175348
0.95, 0.186505, 0.17, 0.83, 0.187034
0.95, 0.177042, 0.17, 0.83, 0.18054
0.95, 0.184686, 0.17, 0.83, 0.184471
0.95, 0.189951, 0.17, 0.83, 0.189609
0.95, 0.186044, 0.17, 0.83, 0.18694
0.95, 0.187531, 0.17, 0.83, 0.191002
0.95, 0.179084, 0.17, 0.83, 0.181681
0.95, 0.187766, 0.17, 0.83, 0.190952
0.95, 0.186127, 0.17, 0.83, 0.188377
0.95, 0.178264, 0.17, 0.83, 0.181185
0.95, 0.178638, 0.17, 0.83, 0.177838
0.95, 0.181882, 0.17, 0.83, 0.184029
0.95, 0.17829, 0.17, 0.83, 0.179933
0.95, 0.183779, 0.17, 0.83, 0.182236
0.95, 0.186317, 0.17, 0.83, 0.18805
0.95, 0.18637, 0.17, 0.83, 0.185767
0.95, 0.178656, 0.17, 0.83, 0.182215
