# B5 Gamma Dynamic Simulation Results
# Strategy schedule: schedules/schedule_b5_gamma_stubborn_only.txt
# Gamma schedule: schedules/gamma_schedule_volatile.txt
# Hash rate range: 0.15 - 0.3 (15% - 30%) in 0.01 increments
InitialGamma, Miner0_ProfitFraction, Miner0_HashRate, Miner1_HashRate, Miner0_BlockFraction
0.95, 0.154855, 0.15, 0.85, 0.158908
0.95, 0.154912, 0.15, 0.85, 0.156397
0.95, 0.156276, 0.15, 0.85, 0.157234
0.95, 0.156623, 0.15, 0.85, 0.155414
0.95, 0.156994, 0.15, 0.85, 0.156566
0.95, 0.160711, 0.15, 0.85, 0.163541
0.95, 0.159158, 0.15, 0.85, 0.162372
0.95, 0.161956, 0.15, 0.85, 0.163178
0.95, 0.159597, 0.15, 0.85, 0.16115
0.95, 0.158013, 0.15, 0.85, 0.158761
0.95, 0.156537, 0.15, 0.85, 0.160253
0.95, 0.161257, 0.15, 0.85, 0.158223
0.95, 0.156339, 0.15, 0.85, 0.160869
0.95, 0.16184, 0.15, 0.85, 0.162182
0.95, 0.157506, 0.15, 0.85, 0.155947
0.95, 0.157095, 0.15, 0.85, 0.156314
0.95, 0.156688, 0.15, 0.85, 0.158767
0.95, 0.160288, 0.15, 0.85, 0.156035
0.95, 0.149166, 0.15, 0.85, 0.151524
0.95, 0.156693, 0.15, 0.85, 0.15859
0.95, 0.165462, 0.15, 0.85, 0.164607
0.95, 0.159488, 0.15, 0.85, 0.160406
0.95, 0.154601, 0.15, 0.85, 0.159463
0.95, 0.152744, 0.15, 0.85, 0.155791
0.95, 0.156568, 0.15, 0.85, 0.155778
0.95, 0.169309, 0.16, 0.84, 0.17373
0.95, 0.167297, 0.16, 0.84, 0.169917
0.95, 0.174264, 0.16, 0.84, 0.174987
0.95, 0.172976, 0.16, 0.84, 0.174491
0.95, 0.173023, 0.16, 0.84, 0.176046
0.95, 0.170846, 0.16, 0.84, 0.17064
0.95, 0.170626, 0.16, 0.84, 0.169138
0.95, 0.173544, 0.16, 0.84, 0.173251
0.95, 0.169751, 0.16, 0.84, 0.169971
0.95, 0.170024, 0.16, 0.84, 0.175022
0.95, 0.173703, 0.16, 0.84, 0.174367
0.95, 0.169714, 0.16, 0.84, 0.171816
0.95, 0.171135, 0.16, 0.84, 0.174843
0.95, 0.171159, 0.16, 0.84, 0.170757
0.95, 0.167714, 0.16, 0.84, 0.168769
0.95, 0.167018, 0.16, 0.84, 0.16841
0.95, 0.182002, 0.16, 0.84, 0.177737
0.95, 0.166691, 0.16, 0.84, 0.166561
0.95, 0.166865, 0.16, 0.84, 0.169748
0.95, 0.167789, 0.16, 0.84, 0.170274
0.95, 0.16991, 0.16, 0.84, 0.169706
0.95, 0.160109, 0.16, 0.84, 0.163756
0.95, 0.167835, 0.16, 0.84, 0.172245
0.95, 0.164698, 0.16, 0.84, 0.167616
0.95, 0.17087, 0.16, 0.84, 0.172892
0.95, 0.178363, 0.17, 0.83, 0.182911
0.95, 0.177952, 0.17, 0.83, 0.185443
0.95, 0.177697, 0.17, 0.83, 0.181345
0.95, 0.183135, 0.17, 0.83, 0.186034
0.95, 0.190704, 0.17, 0.83, 0.186375
0.95, 0.177699, 0.17, 0.83, 0.179167
0.95, 0.185433, 0.17, 0.83, 0.185057
0.95, 0.183216, 0.17, 0.83, 0.184734
0.95, 0.181228, 0.17, 0.83, 0.185674
0.95, 0.172473, 0.17, 0.83, 0.181201
0.95, 0.190221, 0.17, 0.83, 0.190295
0.95, 0.192763, 0.17, 0.83, 0.189562
0.95, 0.176939, 0.17, 0.83, 0.184684
0.95, 0.182106, 0.17, 0.83, 0.184701
0.95, 0.186757, 0.17, 0.83, 0.191652
0.95, 0.186254, 0.17, 0.83, 0.185706
0.95, 0.185362, 0.17, 0.83, 0.185659
0.95, 0.175292, 0.17, 0.83, 0.177212
0.95, 0.174275, 0.17, 0.83, 0.176824
0.95, 0.186623, 0.17, 0.83, 0.182022
0.95, 0.18506, 0.17, 0.83, 0.186673
0.95, 0.175035, 0.17, 0.83, 0.178357
0.95, 0.179585, 0.17, 0.83, 0.183458
0.95, 0.183022, 0.17, 0.83, 0.183134
0.95, 0.187229, 0.17, 0.83, 0.188858
0.95, 0.197626, 0.18, 0.82, 0.1974
0.95, 0.19759, 0.18, 0.82, 0.199063
0.95, 0.196522, 0.18, 0.82, 0.196872
0.95, 0.194604, 0.18, 0.82, 0.193269
0.95, 0.198798, 0.18, 0.82, 0.199734
0.95, 0.207923, 0.18, 0.82, 0.201611
0.95, 0.19264, 0.18, 0.82, 0.197197
0.95, 0.197672, 0.18, 0.82, 0.20071
0.95, 0.194938, 0.18, 0.82, 0.19249
0.95, 0.190826, 0.18, 0.82, 0.194092
0.95, 0.196401, 0.18, 0.82, 0.195468
0.95, 0.195226, 0.18, 0.82, 0.193987
0.95, 0.192482, 0.18, 0.82, 0.196548
0.95, 0.19907, 0.18, 0.82, 0.200359
0.95, 0.201286, 0.18, 0.82, 0.198575
0.95, 0.201578, 0.18, 0.82, 0.200206
0.95, 0.198279, 0.18, 0.82, 0.20007
0.95, 0.205261, 0.18, 0.82, 0.205953
0.95, 0.191816, 0.18, 0.82, 0.192479
0.95, 0.197193, 0.18, 0.82, 0.195965
0.95, 0.195855, 0.18, 0.82, 0.197745
0.95, 0.193397, 0.18, 0.82, 0.19978
0.95, 0.194153, 0.18, 0.82, 0.193007
0.95, 0.199096, 0.18, 0.82, 0.198823
0.95, 0.196128, 0.18, 0.82, 0.193305
0.95, 0.204474, 0.19, 0.81, 0.207951
0.95, 0.207151, 0.19, 0.81, 0.207761
0.95, 0.206289, 0.19, 0.81, 0.214402
0.95, 0.205041, 0.19, 0.81, 0.209839
0.95, 0.20604, 0.19, 0.81, 0.208634
0.95, 0.211221, 0.19, 0.81, 0.210563
0.95, 0.216663, 0.19, 0.81, 0.208928
0.95, 0.213181, 0.19, 0.81, 0.216118
0.95, 0.211937, 0.19, 0.81, 0.213982
0.95, 0.20616, 0.19, 0.81, 0.205676
0.95, 0.200527, 0.19, 0.81, 0.20098
0.95, 0.204698, 0.19, 0.81, 0.208355
0.95, 0.207082, 0.19, 0.81, 0.213667
0.95, 0.207629, 0.19, 0.81, 0.204831
0.95, 0.213153, 0.19, 0.81, 0.213724
0.95, 0.206526, 0.19, 0.81, 0.212803
0.95, 0.211853, 0.19, 0.81, 0.212866
0.95, 0.207275, 0.19, 0.81, 0.210499
0.95, 0.196864, 0.19, 0.81, 0.206877
0.95, 0.21519, 0.19, 0.81, 0.213808
0.95, 0.206003, 0.19, 0.81, 0.213176
0.95, 0.212223, 0.19, 0.81, 0.215285
0.95, 0.209324, 0.19, 0.81, 0.207567
0.95, 0.212851, 0.19, 0.81, 0.211076
0.95, 0.209363, 0.19, 0.81, 0.209946
0.95, 0.217943, 0.2, 0.8, 0.218541
0.95, 0.2262, 0.2, 0.8, 0.223978
0.95, 0.223093, 0.2, 0.8, 0.225454
0.95, 0.220276, 0.2, 0.8, 0.222365
0.95, 0.22195, 0.2, 0.8, 0.221214
0.95, 0.22248, 0.2, 0.8, 0.221041
0.95, 0.21809, 0.2, 0.8, 0.22197
0.95, 0.225408, 0.2, 0.8, 0.226568
0.95, 0.22268, 0.2, 0.8, 0.219608
0.95, 0.218622, 0.2, 0.8, 0.221291
0.95, 0.225222, 0.2, 0.8, 0.223942
0.95, 0.216507, 0.2, 0.8, 0.222668
0.95, 0.229903, 0.2, 0.8, 0.228622
0.95, 0.218375, 0.2, 0.8, 0.225675
0.95, 0.221102, 0.2, 0.8, 0.222713
0.95, 0.211588, 0.2, 0.8, 0.215162
0.95, 0.220915, 0.2, 0.8, 0.227491
0.95, 0.216146, 0.2, 0.8, 0.217944
0.95, 0.224904, 0.2, 0.8, 0.22709
0.95, 0.216023, 0.2, 0.8, 0.220152
0.95, 0.220756, 0.2, 0.8, 0.226945
0.95, 0.229809, 0.2, 0.8, 0.228746
0.95, 0.219424, 0.2, 0.8, 0.222966
0.95, 0.217549, 0.2, 0.8, 0.219348
0.95, 0.223245, 0.2, 0.8, 0.221844
0.95, 0.234127, 0.21, 0.79, 0.240617
0.95, 0.236792, 0.21, 0.79, 0.239628
0.95, 0.237021, 0.21, 0.79, 0.235518
0.95, 0.238891, 0.21, 0.79, 0.241634
0.95, 0.236612, 0.21, 0.79, 0.236323
0.95, 0.236027, 0.21, 0.79, 0.238723
0.95, 0.238002, 0.21, 0.79, 0.240295
0.95, 0.231564, 0.21, 0.79, 0.23315
0.95, 0.222861, 0.21, 0.79, 0.229925
0.95, 0.232584, 0.21, 0.79, 0.241012
0.95, 0.234774, 0.21, 0.79, 0.236759
0.95, 0.234995, 0.21, 0.79, 0.239021
0.95, 0.234108, 0.21, 0.79, 0.238419
0.95, 0.236852, 0.21, 0.79, 0.238179
0.95, 0.231564, 0.21, 0.79, 0.239197
0.95, 0.23627, 0.21, 0.79, 0.238033
0.95, 0.236606, 0.21, 0.79, 0.237406
