# B5 Gamma Dynamic Simulation Results
# Strategy schedule: schedules/schedule_b5_stubborn_lead_trail_1000.txt
# Gamma schedule: schedules/gamma_schedule_volatile.txt
# Hash rate range: 0.15 - 0.3 (15% - 30%) in 0.01 increments
InitialGamma, Miner0_ProfitFraction, Miner0_HashRate, Miner1_HashRate, Miner0_BlockFraction
0.95, 0.1633, 0.15, 0.85, 0.160855
0.95, 0.161592, 0.15, 0.85, 0.155391
0.95, 0.166075, 0.15, 0.85, 0.161014
0.95, 0.169381, 0.15, 0.85, 0.166923
0.95, 0.157128, 0.15, 0.85, 0.154638
0.95, 0.161426, 0.15, 0.85, 0.161689
0.95, 0.162202, 0.15, 0.85, 0.161749
0.95, 0.152822, 0.15, 0.85, 0.157384
0.95, 0.152012, 0.15, 0.85, 0.160503
0.95, 0.155166, 0.15, 0.85, 0.155731
0.95, 0.168415, 0.15, 0.85, 0.162905
0.95, 0.16406, 0.15, 0.85, 0.160275
0.95, 0.163723, 0.15, 0.85, 0.159271
0.95, 0.157293, 0.15, 0.85, 0.153109
0.95, 0.155859, 0.15, 0.85, 0.155827
0.95, 0.159069, 0.15, 0.85, 0.160597
0.95, 0.160359, 0.15, 0.85, 0.161296
0.95, 0.162203, 0.15, 0.85, 0.159035
0.95, 0.159229, 0.15, 0.85, 0.159541
0.95, 0.164761, 0.15, 0.85, 0.162215
0.95, 0.165368, 0.15, 0.85, 0.161644
0.95, 0.149228, 0.15, 0.85, 0.153173
0.95, 0.159711, 0.15, 0.85, 0.161036
0.95, 0.151934, 0.15, 0.85, 0.156259
0.95, 0.156571, 0.15, 0.85, 0.15781
0.95, 0.167874, 0.16, 0.84, 0.170064
0.95, 0.164927, 0.16, 0.84, 0.167391
0.95, 0.177259, 0.16, 0.84, 0.175032
0.95, 0.176358, 0.16, 0.84, 0.172138
0.95, 0.168378, 0.16, 0.84, 0.167754
0.95, 0.174747, 0.16, 0.84, 0.17227
0.95, 0.171021, 0.16, 0.84, 0.168994
0.95, 0.173447, 0.16, 0.84, 0.169532
0.95, 0.165998, 0.16, 0.84, 0.1697
0.95, 0.170523, 0.16, 0.84, 0.173903
0.95, 0.161924, 0.16, 0.84, 0.165055
0.95, 0.181571, 0.16, 0.84, 0.174062
0.95, 0.186469, 0.16, 0.84, 0.180124
0.95, 0.175803, 0.16, 0.84, 0.172248
0.95, 0.169422, 0.16, 0.84, 0.168627
0.95, 0.178834, 0.16, 0.84, 0.177817
0.95, 0.173444, 0.16, 0.84, 0.171178
0.95, 0.16527, 0.16, 0.84, 0.166176
0.95, 0.173891, 0.16, 0.84, 0.175332
0.95, 0.170914, 0.16, 0.84, 0.1695
0.95, 0.173943, 0.16, 0.84, 0.173891
0.95, 0.170807, 0.16, 0.84, 0.16957
0.95, 0.170711, 0.16, 0.84, 0.169949
0.95, 0.171982, 0.16, 0.84, 0.172318
0.95, 0.180146, 0.16, 0.84, 0.175881
0.95, 0.185655, 0.17, 0.83, 0.181813
0.95, 0.180704, 0.17, 0.83, 0.181113
0.95, 0.1813, 0.17, 0.83, 0.184194
0.95, 0.190338, 0.17, 0.83, 0.18684
0.95, 0.192421, 0.17, 0.83, 0.186657
0.95, 0.186936, 0.17, 0.83, 0.183173
0.95, 0.179592, 0.17, 0.83, 0.180941
0.95, 0.189614, 0.17, 0.83, 0.185989
0.95, 0.17803, 0.17, 0.83, 0.183399
0.95, 0.186499, 0.17, 0.83, 0.183612
0.95, 0.185744, 0.17, 0.83, 0.184476
0.95, 0.184069, 0.17, 0.83, 0.18142
0.95, 0.193308, 0.17, 0.83, 0.193149
0.95, 0.193477, 0.17, 0.83, 0.192396
0.95, 0.190956, 0.17, 0.83, 0.186098
0.95, 0.184449, 0.17, 0.83, 0.181903
0.95, 0.184438, 0.17, 0.83, 0.182412
0.95, 0.187121, 0.17, 0.83, 0.186332
0.95, 0.178667, 0.17, 0.83, 0.179415
0.95, 0.185363, 0.17, 0.83, 0.187985
0.95, 0.189293, 0.17, 0.83, 0.183578
0.95, 0.18502, 0.17, 0.83, 0.182841
0.95, 0.190987, 0.17, 0.83, 0.185159
0.95, 0.183867, 0.17, 0.83, 0.182314
0.95, 0.196792, 0.17, 0.83, 0.194849
0.95, 0.196797, 0.18, 0.82, 0.198385
0.95, 0.194107, 0.18, 0.82, 0.197453
0.95, 0.197587, 0.18, 0.82, 0.196207
0.95, 0.202687, 0.18, 0.82, 0.200047
0.95, 0.198615, 0.18, 0.82, 0.201112
0.95, 0.191656, 0.18, 0.82, 0.197146
0.95, 0.196538, 0.18, 0.82, 0.197163
0.95, 0.187677, 0.18, 0.82, 0.189721
0.95, 0.189842, 0.18, 0.82, 0.190096
0.95, 0.196102, 0.18, 0.82, 0.194496
0.95, 0.193645, 0.18, 0.82, 0.199272
0.95, 0.195083, 0.18, 0.82, 0.196553
0.95, 0.197769, 0.18, 0.82, 0.194376
0.95, 0.189412, 0.18, 0.82, 0.189885
0.95, 0.194363, 0.18, 0.82, 0.192826
