# B5 Gamma Dynamic Simulation Results
# Strategy schedule: schedules/schedule_b5_honest_selfish_asymmetric_3000_1000.txt
# Gamma schedule: schedules/gamma_schedule_volatile.txt
# Hash rate range: 0.15 - 0.3 (15% - 30%) in 0.01 increments
InitialGamma, Miner0_ProfitFraction, Miner0_HashRate, Miner1_HashRate, Miner0_BlockFraction
0.95, 0.155504, 0.15, 0.85, 0.155857
0.95, 0.151183, 0.15, 0.85, 0.153714
0.95, 0.152653, 0.15, 0.85, 0.156828
0.95, 0.148414, 0.15, 0.85, 0.155393
0.95, 0.149126, 0.15, 0.85, 0.154564
0.95, 0.162181, 0.15, 0.85, 0.159021
0.95, 0.157533, 0.15, 0.85, 0.157404
0.95, 0.16309, 0.15, 0.85, 0.161906
0.95, 0.155144, 0.15, 0.85, 0.155921
0.95, 0.159106, 0.15, 0.85, 0.160143
0.95, 0.150864, 0.15, 0.85, 0.153259
0.95, 0.149339, 0.15, 0.85, 0.150616
0.95, 0.148837, 0.15, 0.85, 0.152216
0.95, 0.153805, 0.15, 0.85, 0.155684
0.95, 0.154707, 0.15, 0.85, 0.155962
0.95, 0.153776, 0.15, 0.85, 0.156726
0.95, 0.14991, 0.15, 0.85, 0.152577
0.95, 0.152789, 0.15, 0.85, 0.152797
0.95, 0.155199, 0.15, 0.85, 0.156191
0.95, 0.155797, 0.15, 0.85, 0.155187
0.95, 0.150787, 0.15, 0.85, 0.150668
0.95, 0.15637, 0.15, 0.85, 0.15475
0.95, 0.151419, 0.15, 0.85, 0.154744
0.95, 0.161164, 0.15, 0.85, 0.159875
0.95, 0.166247, 0.15, 0.85, 0.160924
0.95, 0.169848, 0.16, 0.84, 0.167202
0.95, 0.165941, 0.16, 0.84, 0.165083
0.95, 0.169593, 0.16, 0.84, 0.165893
0.95, 0.16678, 0.16, 0.84, 0.169992
0.95, 0.166977, 0.16, 0.84, 0.167343
0.95, 0.170122, 0.16, 0.84, 0.170158
0.95, 0.171236, 0.16, 0.84, 0.166778
0.95, 0.16467, 0.16, 0.84, 0.164502
0.95, 0.175076, 0.16, 0.84, 0.171763
0.95, 0.164316, 0.16, 0.84, 0.165766
0.95, 0.159255, 0.16, 0.84, 0.163101
0.95, 0.168612, 0.16, 0.84, 0.172304
0.95, 0.17062, 0.16, 0.84, 0.170102
0.95, 0.1652, 0.16, 0.84, 0.167681
0.95, 0.160013, 0.16, 0.84, 0.161362
0.95, 0.170846, 0.16, 0.84, 0.168551
0.95, 0.174195, 0.16, 0.84, 0.172379
0.95, 0.168662, 0.16, 0.84, 0.170896
0.95, 0.16273, 0.16, 0.84, 0.16779
0.95, 0.170441, 0.16, 0.84, 0.171377
0.95, 0.169446, 0.16, 0.84, 0.171918
0.95, 0.163349, 0.16, 0.84, 0.164307
0.95, 0.171832, 0.16, 0.84, 0.170679
0.95, 0.162921, 0.16, 0.84, 0.166528
0.95, 0.164397, 0.16, 0.84, 0.169753
0.95, 0.178751, 0.17, 0.83, 0.1794
0.95, 0.177839, 0.17, 0.83, 0.178651
0.95, 0.177347, 0.17, 0.83, 0.180542
0.95, 0.184904, 0.17, 0.83, 0.184208
0.95, 0.180049, 0.17, 0.83, 0.178843
0.95, 0.179238, 0.17, 0.83, 0.179255
0.95, 0.178427, 0.17, 0.83, 0.177228
0.95, 0.176737, 0.17, 0.83, 0.178949
0.95, 0.1807, 0.17, 0.83, 0.177121
0.95, 0.176944, 0.17, 0.83, 0.17724
0.95, 0.179617, 0.17, 0.83, 0.180894
0.95, 0.178907, 0.17, 0.83, 0.178013
0.95, 0.181469, 0.17, 0.83, 0.179491
0.95, 0.187057, 0.17, 0.83, 0.184517
0.95, 0.182785, 0.17, 0.83, 0.179875
0.95, 0.17801, 0.17, 0.83, 0.177789
0.95, 0.183838, 0.17, 0.83, 0.183258
0.95, 0.176779, 0.17, 0.83, 0.182007
0.95, 0.182035, 0.17, 0.83, 0.182355
0.95, 0.177552, 0.17, 0.83, 0.17835
0.95, 0.182433, 0.17, 0.83, 0.185368
0.95, 0.190227, 0.17, 0.83, 0.183213
0.95, 0.174274, 0.17, 0.83, 0.176901
0.95, 0.181367, 0.17, 0.83, 0.182234
0.95, 0.182003, 0.17, 0.83, 0.179248
0.95, 0.190857, 0.18, 0.82, 0.192186
0.95, 0.196771, 0.18, 0.82, 0.1958
0.95, 0.19207, 0.18, 0.82, 0.197101
0.95, 0.194791, 0.18, 0.82, 0.193127
0.95, 0.199781, 0.18, 0.82, 0.194423
0.95, 0.189996, 0.18, 0.82, 0.19393
0.95, 0.193866, 0.18, 0.82, 0.189881
0.95, 0.186074, 0.18, 0.82, 0.19348
0.95, 0.189761, 0.18, 0.82, 0.19271
0.95, 0.187766, 0.18, 0.82, 0.187417
0.95, 0.195486, 0.18, 0.82, 0.192101
0.95, 0.202027, 0.18, 0.82, 0.19872
0.95, 0.1874, 0.18, 0.82, 0.189215
0.95, 0.203575, 0.18, 0.82, 0.192683
0.95, 0.186135, 0.18, 0.82, 0.187049
0.95, 0.191365, 0.18, 0.82, 0.194764
0.95, 0.193135, 0.18, 0.82, 0.189027
0.95, 0.185675, 0.18, 0.82, 0.189584
0.95, 0.197629, 0.18, 0.82, 0.195844
0.95, 0.192385, 0.18, 0.82, 0.19359
0.95, 0.195973, 0.18, 0.82, 0.195436
0.95, 0.191846, 0.18, 0.82, 0.190214
0.95, 0.186934, 0.18, 0.82, 0.19026
0.95, 0.194569, 0.18, 0.82, 0.190796
0.95, 0.194446, 0.18, 0.82, 0.190789
0.95, 0.204092, 0.19, 0.81, 0.208098
0.95, 0.204268, 0.19, 0.81, 0.20606
0.95, 0.208509, 0.19, 0.81, 0.207373
0.95, 0.200849, 0.19, 0.81, 0.202545
0.95, 0.202715, 0.19, 0.81, 0.208503
0.95, 0.212233, 0.19, 0.81, 0.205368
0.95, 0.209011, 0.19, 0.81, 0.203664
0.95, 0.196384, 0.19, 0.81, 0.202635
