# B5 Gamma Dynamic Simulation Results
# Strategy schedule: schedules/schedule_b5_gamma_triple_rotation.txt
# Gamma schedule: schedules/gamma_schedule_volatile.txt
# Hash rate range: 0.15 - 0.3 (15% - 30%) in 0.01 increments
InitialGamma, Miner0_ProfitFraction, Miner0_HashRate, Miner1_HashRate, Miner0_BlockFraction
0.95, 0.157465, 0.15, 0.85, 0.157952
0.95, 0.160352, 0.15, 0.85, 0.159271
0.95, 0.157428, 0.15, 0.85, 0.158599
0.95, 0.16147, 0.15, 0.85, 0.162408
0.95, 0.157554, 0.15, 0.85, 0.164876
0.95, 0.160883, 0.15, 0.85, 0.159975
0.95, 0.156542, 0.15, 0.85, 0.161518
0.95, 0.163762, 0.15, 0.85, 0.164235
0.95, 0.161677, 0.15, 0.85, 0.162631
0.95, 0.163857, 0.15, 0.85, 0.160657
0.95, 0.160067, 0.15, 0.85, 0.161507
0.95, 0.161493, 0.15, 0.85, 0.162484
0.95, 0.159745, 0.15, 0.85, 0.158978
0.95, 0.157519, 0.15, 0.85, 0.160947
0.95, 0.168196, 0.15, 0.85, 0.165799
0.95, 0.158804, 0.15, 0.85, 0.160078
0.95, 0.15358, 0.15, 0.85, 0.158098
0.95, 0.152224, 0.15, 0.85, 0.155494
0.95, 0.151489, 0.15, 0.85, 0.155803
0.95, 0.165274, 0.15, 0.85, 0.161652
0.95, 0.148301, 0.15, 0.85, 0.153683
0.95, 0.15032, 0.15, 0.85, 0.155708
0.95, 0.158493, 0.15, 0.85, 0.160059
0.95, 0.156657, 0.15, 0.85, 0.156263
0.95, 0.159899, 0.15, 0.85, 0.15938
0.95, 0.171146, 0.16, 0.84, 0.173124
0.95, 0.169805, 0.16, 0.84, 0.175455
0.95, 0.169547, 0.16, 0.84, 0.169278
0.95, 0.171487, 0.16, 0.84, 0.169944
0.95, 0.166961, 0.16, 0.84, 0.168002
0.95, 0.170028, 0.16, 0.84, 0.171406
0.95, 0.163115, 0.16, 0.84, 0.170054
0.95, 0.171804, 0.16, 0.84, 0.171229
0.95, 0.173461, 0.16, 0.84, 0.173091
0.95, 0.168881, 0.16, 0.84, 0.170034
0.95, 0.168231, 0.16, 0.84, 0.171617
0.95, 0.17154, 0.16, 0.84, 0.173037
0.95, 0.171461, 0.16, 0.84, 0.171711
0.95, 0.169928, 0.16, 0.84, 0.16916
0.95, 0.166352, 0.16, 0.84, 0.164391
0.95, 0.17124, 0.16, 0.84, 0.169852
0.95, 0.175893, 0.16, 0.84, 0.170647
0.95, 0.175548, 0.16, 0.84, 0.174647
0.95, 0.176969, 0.16, 0.84, 0.181227
0.95, 0.178768, 0.16, 0.84, 0.175522
0.95, 0.165803, 0.16, 0.84, 0.166067
0.95, 0.168171, 0.16, 0.84, 0.167457
0.95, 0.166112, 0.16, 0.84, 0.17098
0.95, 0.16681, 0.16, 0.84, 0.170734
0.95, 0.172915, 0.16, 0.84, 0.174872
0.95, 0.187198, 0.17, 0.83, 0.186154
0.95, 0.183586, 0.17, 0.83, 0.18622
0.95, 0.183047, 0.17, 0.83, 0.183926
0.95, 0.183057, 0.17, 0.83, 0.18574
0.95, 0.18431, 0.17, 0.83, 0.185887
0.95, 0.177739, 0.17, 0.83, 0.180102
0.95, 0.185253, 0.17, 0.83, 0.186843
0.95, 0.189075, 0.17, 0.83, 0.190086
0.95, 0.183613, 0.17, 0.83, 0.183527
0.95, 0.190553, 0.17, 0.83, 0.184854
0.95, 0.182489, 0.17, 0.83, 0.185817
0.95, 0.184528, 0.17, 0.83, 0.183556
0.95, 0.182165, 0.17, 0.83, 0.185012
0.95, 0.183438, 0.17, 0.83, 0.184349
0.95, 0.182367, 0.17, 0.83, 0.188554
0.95, 0.171986, 0.17, 0.83, 0.178114
0.95, 0.180845, 0.17, 0.83, 0.179706
0.95, 0.187839, 0.17, 0.83, 0.186962
0.95, 0.186658, 0.17, 0.83, 0.184665
0.95, 0.178592, 0.17, 0.83, 0.181506
0.95, 0.175975, 0.17, 0.83, 0.177031
0.95, 0.186084, 0.17, 0.83, 0.183652
0.95, 0.184085, 0.17, 0.83, 0.182174
