# B5 Deferred-Switch Dynamic Strategy Simulation Results
# Switches deferred until private chains are naturally published
# This avoids abandoning chains but may delay or skip switches
# Schedule file: schedules/schedule_b5_honest_selfish_1000.txt
Gamma, Miner0_ProfitFraction, Miner0_HashRate, Miner1_HashRate, Miner0_BlockFraction
0.8, 0.151997, 0.15, 0.85, 0.151598
0.8, 0.148988, 0.15, 0.85, 0.149162
0.8, 0.140576, 0.15, 0.85, 0.144692
0.8, 0.152839, 0.15, 0.85, 0.152656
0.8, 0.151374, 0.15, 0.85, 0.149823
0.8, 0.150806, 0.15, 0.85, 0.15232
0.8, 0.156845, 0.15, 0.85, 0.153995
0.8, 0.150555, 0.15, 0.85, 0.15337
0.8, 0.151733, 0.15, 0.85, 0.149327
0.8, 0.148036, 0.15, 0.85, 0.146662
0.8, 0.151574, 0.15, 0.85, 0.151493
0.8, 0.150712, 0.15, 0.85, 0.151457
0.8, 0.147553, 0.15, 0.85, 0.15047
0.8, 0.154468, 0.15, 0.85, 0.151608
0.8, 0.153241, 0.15, 0.85, 0.150693
0.8, 0.151807, 0.15, 0.85, 0.153004
0.8, 0.152293, 0.15, 0.85, 0.154311
0.8, 0.152714, 0.15, 0.85, 0.153629
0.8, 0.152221, 0.15, 0.85, 0.153043
0.8, 0.155734, 0.15, 0.85, 0.154641
0.8, 0.150238, 0.15, 0.85, 0.151893
0.8, 0.152334, 0.15, 0.85, 0.153749
0.8, 0.152641, 0.15, 0.85, 0.147971
0.8, 0.150323, 0.15, 0.85, 0.149206
0.8, 0.151586, 0.15, 0.85, 0.149973
0.8, 0.153117, 0.16, 0.84, 0.155361
0.8, 0.160255, 0.16, 0.84, 0.158454
0.8, 0.159679, 0.16, 0.84, 0.160339
0.8, 0.165059, 0.16, 0.84, 0.165836
0.8, 0.161327, 0.16, 0.84, 0.15934
0.8, 0.161477, 0.16, 0.84, 0.160279
0.8, 0.163676, 0.16, 0.84, 0.163115
0.8, 0.16262, 0.16, 0.84, 0.158328
0.8, 0.163364, 0.16, 0.84, 0.161688
0.8, 0.159491, 0.16, 0.84, 0.161058
0.8, 0.155587, 0.16, 0.84, 0.157259
0.8, 0.164447, 0.16, 0.84, 0.165392
0.8, 0.156618, 0.16, 0.84, 0.158604
0.8, 0.162226, 0.16, 0.84, 0.164023
0.8, 0.158231, 0.16, 0.84, 0.157923
0.8, 0.162393, 0.16, 0.84, 0.157502
0.8, 0.164531, 0.16, 0.84, 0.166181
0.8, 0.165298, 0.16, 0.84, 0.160281
0.8, 0.159909, 0.16, 0.84, 0.160667
0.8, 0.163727, 0.16, 0.84, 0.166738
0.8, 0.163055, 0.16, 0.84, 0.158591
