# B5 No-Abandon Dynamic Strategy Switching Simulation Results
# NO CHAIN ABANDONMENT - switches happen regardless of private chain state
# Schedule file: schedules/schedule_b5_honest_selfish_1000.txt
Gamma, Miner0_ProfitFraction, Miner0_HashRate, Miner1_HashRate, Miner0_BlockFraction
0.8, 0.15451, 0.15, 0.85, 0.152123
0.8, 0.152245, 0.15, 0.85, 0.155041
0.8, 0.142353, 0.15, 0.85, 0.146794
0.8, 0.153681, 0.15, 0.85, 0.154093
0.8, 0.15155, 0.15, 0.85, 0.151106
0.8, 0.144604, 0.15, 0.85, 0.147563
0.8, 0.15993, 0.15, 0.85, 0.156571
0.8, 0.145468, 0.15, 0.85, 0.148295
0.8, 0.150482, 0.15, 0.85, 0.148636
0.8, 0.145892, 0.15, 0.85, 0.146557
0.8, 0.150009, 0.15, 0.85, 0.15121
0.8, 0.15847, 0.15, 0.85, 0.154467
0.8, 0.153153, 0.15, 0.85, 0.15445
0.8, 0.15447, 0.15, 0.85, 0.153314
0.8, 0.151192, 0.15, 0.85, 0.150629
0.8, 0.158467, 0.15, 0.85, 0.153781
0.8, 0.153154, 0.15, 0.85, 0.14978
0.8, 0.146841, 0.15, 0.85, 0.148564
0.8, 0.1567, 0.15, 0.85, 0.154222
0.8, 0.150726, 0.15, 0.85, 0.148698
0.8, 0.156914, 0.15, 0.85, 0.153247
0.8, 0.146707, 0.15, 0.85, 0.145613
0.8, 0.146814, 0.15, 0.85, 0.149377
0.8, 0.155331, 0.15, 0.85, 0.152204
0.8, 0.152303, 0.15, 0.85, 0.155948
0.8, 0.153249, 0.16, 0.84, 0.156087
0.8, 0.161403, 0.16, 0.84, 0.161294
0.8, 0.165145, 0.16, 0.84, 0.165183
0.8, 0.160933, 0.16, 0.84, 0.162227
0.8, 0.16643, 0.16, 0.84, 0.164801
0.8, 0.156157, 0.16, 0.84, 0.160788
0.8, 0.160521, 0.16, 0.84, 0.158788
0.8, 0.163661, 0.16, 0.84, 0.162966
0.8, 0.163815, 0.16, 0.84, 0.166423
0.8, 0.164816, 0.16, 0.84, 0.166401
0.8, 0.158974, 0.16, 0.84, 0.162401
0.8, 0.151084, 0.16, 0.84, 0.157649
0.8, 0.162238, 0.16, 0.84, 0.162887
0.8, 0.161866, 0.16, 0.84, 0.158953
0.8, 0.165955, 0.16, 0.84, 0.163356
0.8, 0.161808, 0.16, 0.84, 0.16081
0.8, 0.161558, 0.16, 0.84, 0.163829
0.8, 0.159129, 0.16, 0.84, 0.16458
0.8, 0.158987, 0.16, 0.84, 0.16068
0.8, 0.166702, 0.16, 0.84, 0.166995
0.8, 0.163245, 0.16, 0.84, 0.16177
0.8, 0.163295, 0.16, 0.84, 0.158117
0.8, 0.154733, 0.16, 0.84, 0.158905
0.8, 0.16176, 0.16, 0.84, 0.156538
0.8, 0.160964, 0.16, 0.84, 0.160675
0.8, 0.177322, 0.17, 0.83, 0.176073
0.8, 0.175088, 0.17, 0.83, 0.172381
0.8, 0.179756, 0.17, 0.83, 0.182092
0.8, 0.168901, 0.17, 0.83, 0.170355
0.8, 0.165935, 0.17, 0.83, 0.171595
0.8, 0.176505, 0.17, 0.83, 0.179598
0.8, 0.175267, 0.17, 0.83, 0.176691
0.8, 0.172312, 0.17, 0.83, 0.172515
0.8, 0.166409, 0.17, 0.83, 0.168851
0.8, 0.176604, 0.17, 0.83, 0.173777
0.8, 0.171836, 0.17, 0.83, 0.173918
0.8, 0.170519, 0.17, 0.83, 0.169486
0.8, 0.179941, 0.17, 0.83, 0.17772
0.8, 0.164729, 0.17, 0.83, 0.169745
0.8, 0.172194, 0.17, 0.83, 0.173049
0.8, 0.180561, 0.17, 0.83, 0.177862
0.8, 0.173044, 0.17, 0.83, 0.170185
0.8, 0.171123, 0.17, 0.83, 0.174943
0.8, 0.175203, 0.17, 0.83, 0.173499
0.8, 0.171955, 0.17, 0.83, 0.170707
0.8, 0.169319, 0.17, 0.83, 0.173734
0.8, 0.173323, 0.17, 0.83, 0.176027
