# B5 Focused Dynamic Strategy Switching Simulation Results
# Schedule file: schedule_b5_honest_selfish_2500.txt
# Gamma (connectivity) range: 0.8 - 1.0 in 0.05 increments
# Hash rate range: 0.15 - 0.3 (15% - 30%) in 0.01 increments
Gamma, Miner0_ProfitFraction, Miner0_HashRate, Miner1_HashRate, Miner0_BlockFraction
0.8, 0.144834, 0.15, 0.85, 0.145836
0.8, 0.149335, 0.15, 0.85, 0.149444
0.8, 0.148301, 0.15, 0.85, 0.149366
0.8, 0.155121, 0.15, 0.85, 0.152507
0.8, 0.150329, 0.15, 0.85, 0.149862
0.8, 0.14954, 0.15, 0.85, 0.149492
0.8, 0.142933, 0.15, 0.85, 0.146577
0.8, 0.157385, 0.15, 0.85, 0.154198
0.8, 0.144136, 0.15, 0.85, 0.148208
0.8, 0.148445, 0.15, 0.85, 0.151052
0.8, 0.149511, 0.15, 0.85, 0.148556
0.8, 0.145503, 0.15, 0.85, 0.150555
0.8, 0.146301, 0.15, 0.85, 0.14932
0.8, 0.156236, 0.15, 0.85, 0.156604
0.8, 0.149246, 0.15, 0.85, 0.151092
0.8, 0.149287, 0.15, 0.85, 0.147496
0.8, 0.148375, 0.15, 0.85, 0.147294
0.8, 0.15259, 0.15, 0.85, 0.151201
0.8, 0.147294, 0.15, 0.85, 0.1485
0.8, 0.155106, 0.15, 0.85, 0.152735
0.8, 0.153497, 0.15, 0.85, 0.1522
0.8, 0.154299, 0.15, 0.85, 0.154887
0.8, 0.152134, 0.15, 0.85, 0.150005
0.8, 0.157533, 0.15, 0.85, 0.152994
0.8, 0.147278, 0.15, 0.85, 0.14954
0.8, 0.160573, 0.16, 0.84, 0.161531
0.8, 0.161908, 0.16, 0.84, 0.160656
0.8, 0.163413, 0.16, 0.84, 0.163889
0.8, 0.161404, 0.16, 0.84, 0.161509
0.8, 0.167195, 0.16, 0.84, 0.165654
0.8, 0.156977, 0.16, 0.84, 0.15819
0.8, 0.160166, 0.16, 0.84, 0.159289
0.8, 0.157831, 0.16, 0.84, 0.161304
0.8, 0.161257, 0.16, 0.84, 0.161268
0.8, 0.163082, 0.16, 0.84, 0.156828
0.8, 0.162892, 0.16, 0.84, 0.159776
0.8, 0.160268, 0.16, 0.84, 0.16003
0.8, 0.162558, 0.16, 0.84, 0.162706
0.8, 0.158618, 0.16, 0.84, 0.163091
0.8, 0.164936, 0.16, 0.84, 0.161545
0.8, 0.159017, 0.16, 0.84, 0.160943
0.8, 0.163637, 0.16, 0.84, 0.161766
0.8, 0.164791, 0.16, 0.84, 0.164526
0.8, 0.161804, 0.16, 0.84, 0.159588
0.8, 0.160338, 0.16, 0.84, 0.163096
0.8, 0.163797, 0.16, 0.84, 0.159626
0.8, 0.159335, 0.16, 0.84, 0.160993
0.8, 0.168952, 0.16, 0.84, 0.159132
0.8, 0.173447, 0.16, 0.84, 0.169583
0.8, 0.163454, 0.16, 0.84, 0.165081
0.8, 0.163067, 0.17, 0.83, 0.16611
0.8, 0.164907, 0.17, 0.83, 0.168109
0.8, 0.167442, 0.17, 0.83, 0.169976
0.8, 0.170338, 0.17, 0.83, 0.16956
0.8, 0.175222, 0.17, 0.83, 0.169788
0.8, 0.17507, 0.17, 0.83, 0.174573
0.8, 0.170671, 0.17, 0.83, 0.170372
0.8, 0.180043, 0.17, 0.83, 0.177177
0.8, 0.175165, 0.17, 0.83, 0.173467
0.8, 0.169837, 0.17, 0.83, 0.171359
0.8, 0.171632, 0.17, 0.83, 0.173799
0.8, 0.171541, 0.17, 0.83, 0.172194
0.8, 0.169887, 0.17, 0.83, 0.172976
0.8, 0.165122, 0.17, 0.83, 0.16951
0.8, 0.16519, 0.17, 0.83, 0.168589
0.8, 0.174101, 0.17, 0.83, 0.177856
0.8, 0.173773, 0.17, 0.83, 0.172714
0.8, 0.171194, 0.17, 0.83, 0.17419
0.8, 0.179772, 0.17, 0.83, 0.179413
0.8, 0.18293, 0.17, 0.83, 0.179208
0.8, 0.170009, 0.17, 0.83, 0.169871
0.8, 0.176196, 0.17, 0.83, 0.175474
0.8, 0.179949, 0.17, 0.83, 0.175037
0.8, 0.176356, 0.17, 0.83, 0.173556
0.8, 0.165219, 0.17, 0.83, 0.16855
0.8, 0.180326, 0.18, 0.82, 0.184763
0.8, 0.189246, 0.18, 0.82, 0.188417
0.8, 0.188063, 0.18, 0.82, 0.18507
0.8, 0.190458, 0.18, 0.82, 0.187733
0.8, 0.178615, 0.18, 0.82, 0.176881
0.8, 0.182216, 0.18, 0.82, 0.184039
0.8, 0.18032, 0.18, 0.82, 0.181656
0.8, 0.181925, 0.18, 0.82, 0.183531
0.8, 0.179786, 0.18, 0.82, 0.181079
0.8, 0.185958, 0.18, 0.82, 0.183324
0.8, 0.189435, 0.18, 0.82, 0.184977
0.8, 0.184984, 0.18, 0.82, 0.18344
0.8, 0.181446, 0.18, 0.82, 0.182473
0.8, 0.180745, 0.18, 0.82, 0.182883
0.8, 0.190366, 0.18, 0.82, 0.191871
0.8, 0.183691, 0.18, 0.82, 0.183158
0.8, 0.183766, 0.18, 0.82, 0.178332
0.8, 0.187503, 0.18, 0.82, 0.185759
0.8, 0.17828, 0.18, 0.82, 0.180814
0.8, 0.181238, 0.18, 0.82, 0.185999
0.8, 0.18229, 0.18, 0.82, 0.180887
0.8, 0.186559, 0.18, 0.82, 0.1868
0.8, 0.182584, 0.18, 0.82, 0.179536
0.8, 0.183037, 0.18, 0.82, 0.185263
0.8, 0.17926, 0.18, 0.82, 0.180518
0.8, 0.200247, 0.19, 0.81, 0.193998
0.8, 0.195667, 0.19, 0.81, 0.193659
0.8, 0.200211, 0.19, 0.81, 0.19513
0.8, 0.195261, 0.19, 0.81, 0.194139
0.8, 0.191474, 0.19, 0.81, 0.192137
0.8, 0.197518, 0.19, 0.81, 0.194714
0.8, 0.198419, 0.19, 0.81, 0.194497
0.8, 0.201818, 0.19, 0.81, 0.19987
0.8, 0.192048, 0.19, 0.81, 0.194042
0.8, 0.196409, 0.19, 0.81, 0.195992
