# B5 Focused Dynamic Strategy Switching Simulation Results
# Schedule file: schedule_b5_pure_fork.txt
# Gamma (connectivity) range: 0.8 - 1.0 in 0.05 increments
# Hash rate range: 0.15 - 0.3 (15% - 30%) in 0.01 increments
Gamma, Miner0_ProfitFraction, Miner0_HashRate, Miner1_HashRate, Miner0_BlockFraction
0.8, 0.157658, 0.15, 0.85, 0.153062
0.8, 0.151859, 0.15, 0.85, 0.152069
0.8, 0.152781, 0.15, 0.85, 0.148527
0.8, 0.14834, 0.15, 0.85, 0.147918
0.8, 0.146288, 0.15, 0.85, 0.151149
0.8, 0.149343, 0.15, 0.85, 0.150596
0.8, 0.150398, 0.15, 0.85, 0.151087
0.8, 0.147145, 0.15, 0.85, 0.15066
0.8, 0.145201, 0.15, 0.85, 0.149755
0.8, 0.143813, 0.15, 0.85, 0.14699
0.8, 0.148639, 0.15, 0.85, 0.151322
0.8, 0.149566, 0.15, 0.85, 0.14966
0.8, 0.150087, 0.15, 0.85, 0.149152
0.8, 0.146017, 0.15, 0.85, 0.144096
0.8, 0.145386, 0.15, 0.85, 0.147902
0.8, 0.146982, 0.15, 0.85, 0.146788
0.8, 0.149915, 0.15, 0.85, 0.150459
0.8, 0.153014, 0.15, 0.85, 0.150548
0.8, 0.149167, 0.15, 0.85, 0.147566
0.8, 0.150129, 0.15, 0.85, 0.150621
0.8, 0.1487, 0.15, 0.85, 0.152525
0.8, 0.149543, 0.15, 0.85, 0.151187
0.8, 0.153613, 0.15, 0.85, 0.150076
0.8, 0.150745, 0.15, 0.85, 0.14815
0.8, 0.151826, 0.15, 0.85, 0.15135
0.8, 0.165468, 0.16, 0.84, 0.162265
0.8, 0.160345, 0.16, 0.84, 0.160643
0.8, 0.159506, 0.16, 0.84, 0.157901
0.8, 0.166744, 0.16, 0.84, 0.168535
0.8, 0.159389, 0.16, 0.84, 0.160098
0.8, 0.158749, 0.16, 0.84, 0.1628
0.8, 0.158097, 0.16, 0.84, 0.157867
0.8, 0.173768, 0.16, 0.84, 0.168945
0.8, 0.156679, 0.16, 0.84, 0.162189
0.8, 0.164219, 0.16, 0.84, 0.165816
0.8, 0.16199, 0.16, 0.84, 0.162441
0.8, 0.164118, 0.16, 0.84, 0.161963
0.8, 0.159719, 0.16, 0.84, 0.157778
0.8, 0.166663, 0.16, 0.84, 0.163738
0.8, 0.169744, 0.16, 0.84, 0.166816
0.8, 0.161052, 0.16, 0.84, 0.16176
0.8, 0.162224, 0.16, 0.84, 0.163809
0.8, 0.165637, 0.16, 0.84, 0.165918
0.8, 0.163407, 0.16, 0.84, 0.159452
0.8, 0.159431, 0.16, 0.84, 0.165026
0.8, 0.157987, 0.16, 0.84, 0.15928
