# B5 Focused Dynamic Strategy Switching Simulation Results
# Schedule file: schedule_b5_pure_honest.txt
# Gamma (connectivity) range: 0.8 - 1.0 in 0.05 increments
# Hash rate range: 0.15 - 0.3 (15% - 30%) in 0.01 increments
Gamma, Miner0_ProfitFraction, Miner0_HashRate, Miner1_HashRate, Miner0_BlockFraction
0.8, 0.151928, 0.15, 0.85, 0.150867
0.8, 0.15086, 0.15, 0.85, 0.151929
0.8, 0.149813, 0.15, 0.85, 0.148643
0.8, 0.154884, 0.15, 0.85, 0.150406
0.8, 0.149979, 0.15, 0.85, 0.150329
0.8, 0.151348, 0.15, 0.85, 0.152014
0.8, 0.148057, 0.15, 0.85, 0.149796
0.8, 0.156575, 0.15, 0.85, 0.151058
0.8, 0.148382, 0.15, 0.85, 0.147019
0.8, 0.150193, 0.15, 0.85, 0.151984
0.8, 0.153146, 0.15, 0.85, 0.151066
0.8, 0.144414, 0.15, 0.85, 0.148378
0.8, 0.144036, 0.15, 0.85, 0.146793
0.8, 0.151866, 0.15, 0.85, 0.147504
0.8, 0.145498, 0.15, 0.85, 0.148423
0.8, 0.145003, 0.15, 0.85, 0.145376
0.8, 0.150241, 0.15, 0.85, 0.148288
0.8, 0.146273, 0.15, 0.85, 0.150055
0.8, 0.145985, 0.15, 0.85, 0.148251
0.8, 0.149094, 0.15, 0.85, 0.148991
0.8, 0.147506, 0.15, 0.85, 0.148534
0.8, 0.147279, 0.15, 0.85, 0.146581
0.8, 0.151655, 0.15, 0.85, 0.150229
0.8, 0.154036, 0.15, 0.85, 0.149673
0.8, 0.152486, 0.15, 0.85, 0.15272
0.8, 0.163725, 0.16, 0.84, 0.162762
0.8, 0.162418, 0.16, 0.84, 0.159254
0.8, 0.162967, 0.16, 0.84, 0.162022
0.8, 0.154237, 0.16, 0.84, 0.15854
0.8, 0.158296, 0.16, 0.84, 0.160495
0.8, 0.158833, 0.16, 0.84, 0.15931
0.8, 0.158798, 0.16, 0.84, 0.156969
0.8, 0.157712, 0.16, 0.84, 0.158509
0.8, 0.156861, 0.16, 0.84, 0.162912
0.8, 0.158448, 0.16, 0.84, 0.160792
0.8, 0.15588, 0.16, 0.84, 0.158164
0.8, 0.161162, 0.16, 0.84, 0.162296
0.8, 0.16277, 0.16, 0.84, 0.162251
0.8, 0.163866, 0.16, 0.84, 0.161627
0.8, 0.159383, 0.16, 0.84, 0.159049
0.8, 0.159487, 0.16, 0.84, 0.157842
0.8, 0.156752, 0.16, 0.84, 0.157671
0.8, 0.16275, 0.16, 0.84, 0.161056
0.8, 0.160269, 0.16, 0.84, 0.156606
0.8, 0.162601, 0.16, 0.84, 0.162479
0.8, 0.161231, 0.16, 0.84, 0.16279
0.8, 0.161901, 0.16, 0.84, 0.162434
0.8, 0.162632, 0.16, 0.84, 0.163948
0.8, 0.164526, 0.16, 0.84, 0.16218
0.8, 0.158502, 0.16, 0.84, 0.160459
0.8, 0.169024, 0.17, 0.83, 0.170726
0.8, 0.169751, 0.17, 0.83, 0.169478
0.8, 0.168595, 0.17, 0.83, 0.168489
0.8, 0.168111, 0.17, 0.83, 0.171903
0.8, 0.17686, 0.17, 0.83, 0.174977
0.8, 0.169923, 0.17, 0.83, 0.169045
0.8, 0.170873, 0.17, 0.83, 0.169723
0.8, 0.176187, 0.17, 0.83, 0.175649
0.8, 0.173557, 0.17, 0.83, 0.173065
0.8, 0.173938, 0.17, 0.83, 0.172065
0.8, 0.176432, 0.17, 0.83, 0.176586
0.8, 0.167417, 0.17, 0.83, 0.169512
0.8, 0.167093, 0.17, 0.83, 0.166153
0.8, 0.167386, 0.17, 0.83, 0.167954
0.8, 0.174192, 0.17, 0.83, 0.175938
0.8, 0.172486, 0.17, 0.83, 0.172711
0.8, 0.168885, 0.17, 0.83, 0.169981
0.8, 0.168776, 0.17, 0.83, 0.171585
0.8, 0.172692, 0.17, 0.83, 0.17106
0.8, 0.172318, 0.17, 0.83, 0.172416
0.8, 0.177582, 0.17, 0.83, 0.174853
0.8, 0.169132, 0.17, 0.83, 0.170131
0.8, 0.17486, 0.17, 0.83, 0.170802
0.8, 0.173697, 0.17, 0.83, 0.172734
0.8, 0.166983, 0.17, 0.83, 0.167868
0.8, 0.184339, 0.18, 0.82, 0.184517
0.8, 0.188088, 0.18, 0.82, 0.185111
0.8, 0.17748, 0.18, 0.82, 0.176429
0.8, 0.181508, 0.18, 0.82, 0.185142
0.8, 0.179246, 0.18, 0.82, 0.178296
0.8, 0.184628, 0.18, 0.82, 0.18149
0.8, 0.183516, 0.18, 0.82, 0.183338
0.8, 0.178708, 0.18, 0.82, 0.177447
0.8, 0.185393, 0.18, 0.82, 0.183534
0.8, 0.169599, 0.18, 0.82, 0.174422
0.8, 0.174486, 0.18, 0.82, 0.179536
0.8, 0.178578, 0.18, 0.82, 0.18003
0.8, 0.181724, 0.18, 0.82, 0.179147
0.8, 0.174139, 0.18, 0.82, 0.177716
0.8, 0.177539, 0.18, 0.82, 0.178354
0.8, 0.182089, 0.18, 0.82, 0.181302
0.8, 0.176459, 0.18, 0.82, 0.177323
0.8, 0.183915, 0.18, 0.82, 0.18149
0.8, 0.183368, 0.18, 0.82, 0.180863
0.8, 0.179405, 0.18, 0.82, 0.179602
0.8, 0.178639, 0.18, 0.82, 0.178607
0.8, 0.185591, 0.18, 0.82, 0.18624
0.8, 0.182559, 0.18, 0.82, 0.181671
0.8, 0.180955, 0.18, 0.82, 0.180987
0.8, 0.174234, 0.18, 0.82, 0.175215
0.8, 0.190204, 0.19, 0.81, 0.192821
0.8, 0.194072, 0.19, 0.81, 0.19223
0.8, 0.19129, 0.19, 0.81, 0.190595
0.8, 0.188161, 0.19, 0.81, 0.189705
0.8, 0.192167, 0.19, 0.81, 0.192166
0.8, 0.193987, 0.19, 0.81, 0.19445
0.8, 0.189507, 0.19, 0.81, 0.18987
0.8, 0.191083, 0.19, 0.81, 0.190243
0.8, 0.187604, 0.19, 0.81, 0.189305
0.8, 0.192116, 0.19, 0.81, 0.191713
0.8, 0.194791, 0.19, 0.81, 0.19183
0.8, 0.193634, 0.19, 0.81, 0.192575
0.8, 0.19538, 0.19, 0.81, 0.195166
0.8, 0.189381, 0.19, 0.81, 0.188072
0.8, 0.192493, 0.19, 0.81, 0.192078
0.8, 0.200542, 0.19, 0.81, 0.196961
0.8, 0.190927, 0.19, 0.81, 0.190963
0.8, 0.195607, 0.19, 0.81, 0.190008
0.8, 0.191434, 0.19, 0.81, 0.190792
0.8, 0.188997, 0.19, 0.81, 0.190866
0.8, 0.186722, 0.19, 0.81, 0.185915
0.8, 0.187968, 0.19, 0.81, 0.191613
0.8, 0.191425, 0.19, 0.81, 0.190512
0.8, 0.199764, 0.19, 0.81, 0.190916
0.8, 0.195046, 0.19, 0.81, 0.194606
0.8, 0.194246, 0.2, 0.8, 0.198714
0.8, 0.204311, 0.2, 0.8, 0.202232
0.8, 0.197253, 0.2, 0.8, 0.198413
0.8, 0.199148, 0.2, 0.8, 0.202004
0.8, 0.197658, 0.2, 0.8, 0.198921
0.8, 0.201652, 0.2, 0.8, 0.199467
0.8, 0.206991, 0.2, 0.8, 0.206302
0.8, 0.203979, 0.2, 0.8, 0.201
0.8, 0.201201, 0.2, 0.8, 0.200734
0.8, 0.205335, 0.2, 0.8, 0.204624
0.8, 0.198345, 0.2, 0.8, 0.200423
0.8, 0.197292, 0.2, 0.8, 0.198292
0.8, 0.195864, 0.2, 0.8, 0.200323
0.8, 0.20094, 0.2, 0.8, 0.203252
0.8, 0.194193, 0.2, 0.8, 0.195303
0.8, 0.194681, 0.2, 0.8, 0.19962
0.8, 0.189305, 0.2, 0.8, 0.195701
0.8, 0.204444, 0.2, 0.8, 0.202406
0.8, 0.198777, 0.2, 0.8, 0.201546
0.8, 0.206061, 0.2, 0.8, 0.201728
0.8, 0.207486, 0.2, 0.8, 0.205611
0.8, 0.202602, 0.2, 0.8, 0.199317
0.8, 0.198814, 0.2, 0.8, 0.198692
0.8, 0.204602, 0.2, 0.8, 0.202907
0.8, 0.198529, 0.2, 0.8, 0.200333
0.8, 0.205667, 0.21, 0.79, 0.209373
0.8, 0.213044, 0.21, 0.79, 0.210529
0.8, 0.213326, 0.21, 0.79, 0.212697
0.8, 0.210545, 0.21, 0.79, 0.207842
0.8, 0.216302, 0.21, 0.79, 0.213763
0.8, 0.204568, 0.21, 0.79, 0.207048
0.8, 0.213389, 0.21, 0.79, 0.214821
0.8, 0.209121, 0.21, 0.79, 0.20691
0.8, 0.210421, 0.21, 0.79, 0.212053
0.8, 0.210887, 0.21, 0.79, 0.212054
0.8, 0.209489, 0.21, 0.79, 0.207302
0.8, 0.216011, 0.21, 0.79, 0.210828
0.8, 0.20313, 0.21, 0.79, 0.208744
0.8, 0.213688, 0.21, 0.79, 0.211167
0.8, 0.212962, 0.21, 0.79, 0.21434
0.8, 0.204289, 0.21, 0.79, 0.20828
0.8, 0.210169, 0.21, 0.79, 0.210466
0.8, 0.20773, 0.21, 0.79, 0.205785
0.8, 0.205683, 0.21, 0.79, 0.209579
0.8, 0.217682, 0.21, 0.79, 0.213566
0.8, 0.212739, 0.21, 0.79, 0.210237
0.8, 0.210267, 0.21, 0.79, 0.209136
0.8, 0.200621, 0.21, 0.79, 0.20308
0.8, 0.207938, 0.21, 0.79, 0.209387
0.8, 0.205178, 0.21, 0.79, 0.205737
0.8, 0.218366, 0.22, 0.78, 0.222763
0.8, 0.222848, 0.22, 0.78, 0.220698
0.8, 0.216096, 0.22, 0.78, 0.217596
0.8, 0.221068, 0.22, 0.78, 0.221474
0.8, 0.222788, 0.22, 0.78, 0.220735
0.8, 0.221878, 0.22, 0.78, 0.221234
0.8, 0.214696, 0.22, 0.78, 0.218412
0.8, 0.224858, 0.22, 0.78, 0.224546
0.8, 0.2141, 0.22, 0.78, 0.217159
0.8, 0.225912, 0.22, 0.78, 0.222656
0.8, 0.215507, 0.22, 0.78, 0.218748
0.8, 0.220906, 0.22, 0.78, 0.223255
0.8, 0.213903, 0.22, 0.78, 0.218171
0.8, 0.219454, 0.22, 0.78, 0.220336
0.8, 0.216309, 0.22, 0.78, 0.219807
0.8, 0.219914, 0.22, 0.78, 0.220401
0.8, 0.21254, 0.22, 0.78, 0.212567
0.8, 0.216739, 0.22, 0.78, 0.217105
0.8, 0.223193, 0.22, 0.78, 0.221286
0.8, 0.214231, 0.22, 0.78, 0.215349
0.8, 0.222361, 0.22, 0.78, 0.219605
0.8, 0.217873, 0.22, 0.78, 0.219047
0.8, 0.225435, 0.22, 0.78, 0.223672
0.8, 0.217453, 0.22, 0.78, 0.219376
0.8, 0.226619, 0.22, 0.78, 0.22608
0.8, 0.230985, 0.23, 0.77, 0.233743
0.8, 0.227925, 0.23, 0.77, 0.233
0.8, 0.227106, 0.23, 0.77, 0.232351
0.8, 0.232435, 0.23, 0.77, 0.23291
0.8, 0.233049, 0.23, 0.77, 0.230131
0.8, 0.236089, 0.23, 0.77, 0.232947
0.8, 0.229338, 0.23, 0.77, 0.232006
0.8, 0.239875, 0.23, 0.77, 0.233554
0.8, 0.230259, 0.23, 0.77, 0.22848
0.8, 0.227813, 0.23, 0.77, 0.228875
0.8, 0.231663, 0.23, 0.77, 0.232087
0.8, 0.226091, 0.23, 0.77, 0.228476
