# B5 Focused Dynamic Strategy Switching Simulation Results
# Schedule file: schedule_b5_pure_selfish.txt
# Gamma (connectivity) range: 0.8 - 1.0 in 0.05 increments
# Hash rate range: 0.15 - 0.3 (15% - 30%) in 0.01 increments
Gamma, Miner0_ProfitFraction, Miner0_HashRate, Miner1_HashRate, Miner0_BlockFraction
0.8, 0.153005, 0.15, 0.85, 0.152309
0.8, 0.148843, 0.15, 0.85, 0.146662
0.8, 0.154554, 0.15, 0.85, 0.15544
0.8, 0.14906, 0.15, 0.85, 0.148953
0.8, 0.155255, 0.15, 0.85, 0.153816
0.8, 0.149234, 0.15, 0.85, 0.150472
0.8, 0.154567, 0.15, 0.85, 0.153433
0.8, 0.146895, 0.15, 0.85, 0.1485
0.8, 0.150397, 0.15, 0.85, 0.150865
0.8, 0.150105, 0.15, 0.85, 0.147979
0.8, 0.145609, 0.15, 0.85, 0.147704
0.8, 0.14677, 0.15, 0.85, 0.146419
0.8, 0.147646, 0.15, 0.85, 0.149512
0.8, 0.157315, 0.15, 0.85, 0.153924
0.8, 0.152389, 0.15, 0.85, 0.157165
0.8, 0.148088, 0.15, 0.85, 0.150121
0.8, 0.146888, 0.15, 0.85, 0.151332
0.8, 0.155482, 0.15, 0.85, 0.158493
0.8, 0.148265, 0.15, 0.85, 0.148872
0.8, 0.15003, 0.15, 0.85, 0.150868
0.8, 0.141557, 0.15, 0.85, 0.148847
0.8, 0.152247, 0.15, 0.85, 0.15095
0.8, 0.157243, 0.15, 0.85, 0.155847
0.8, 0.153892, 0.15, 0.85, 0.152508
0.8, 0.154945, 0.15, 0.85, 0.152759
0.8, 0.160199, 0.16, 0.84, 0.162887
0.8, 0.167964, 0.16, 0.84, 0.164493
0.8, 0.155994, 0.16, 0.84, 0.15942
0.8, 0.155331, 0.16, 0.84, 0.161563
0.8, 0.157744, 0.16, 0.84, 0.160948
0.8, 0.162941, 0.16, 0.84, 0.159493
0.8, 0.162667, 0.16, 0.84, 0.166101
0.8, 0.168144, 0.16, 0.84, 0.163492
0.8, 0.165468, 0.16, 0.84, 0.161602
0.8, 0.15538, 0.16, 0.84, 0.156364
0.8, 0.167265, 0.16, 0.84, 0.167325
0.8, 0.160125, 0.16, 0.84, 0.161716
0.8, 0.162214, 0.16, 0.84, 0.164323
0.8, 0.163983, 0.16, 0.84, 0.164016
0.8, 0.170277, 0.16, 0.84, 0.165498
0.8, 0.160389, 0.16, 0.84, 0.159479
0.8, 0.153993, 0.16, 0.84, 0.15512
0.8, 0.162332, 0.16, 0.84, 0.1635
0.8, 0.16251, 0.16, 0.84, 0.162925
0.8, 0.170372, 0.16, 0.84, 0.164554
0.8, 0.164231, 0.16, 0.84, 0.166468
0.8, 0.171181, 0.16, 0.84, 0.172611
0.8, 0.162832, 0.16, 0.84, 0.164003
0.8, 0.1627, 0.16, 0.84, 0.161071
0.8, 0.157974, 0.16, 0.84, 0.159595
0.8, 0.174689, 0.17, 0.83, 0.174831
0.8, 0.182272, 0.17, 0.83, 0.18092
0.8, 0.178993, 0.17, 0.83, 0.181386
0.8, 0.180899, 0.17, 0.83, 0.180197
0.8, 0.178706, 0.17, 0.83, 0.178719
0.8, 0.175655, 0.17, 0.83, 0.178833
0.8, 0.173852, 0.17, 0.83, 0.176773
0.8, 0.171802, 0.17, 0.83, 0.173004
0.8, 0.168479, 0.17, 0.83, 0.172819
0.8, 0.173563, 0.17, 0.83, 0.175412
0.8, 0.172938, 0.17, 0.83, 0.171115
0.8, 0.172109, 0.17, 0.83, 0.173446
0.8, 0.170817, 0.17, 0.83, 0.173304
0.8, 0.176382, 0.17, 0.83, 0.178831
0.8, 0.177992, 0.17, 0.83, 0.175147
0.8, 0.173063, 0.17, 0.83, 0.171525
0.8, 0.171051, 0.17, 0.83, 0.174548
0.8, 0.171382, 0.17, 0.83, 0.173017
0.8, 0.183589, 0.17, 0.83, 0.179347
0.8, 0.168248, 0.17, 0.83, 0.170224
0.8, 0.182681, 0.17, 0.83, 0.18106
0.8, 0.175667, 0.17, 0.83, 0.17528
0.8, 0.169216, 0.17, 0.83, 0.174299
0.8, 0.173896, 0.17, 0.83, 0.172496
0.8, 0.173285, 0.17, 0.83, 0.178559
0.8, 0.186804, 0.18, 0.82, 0.18595
0.8, 0.188389, 0.18, 0.82, 0.188876
0.8, 0.188123, 0.18, 0.82, 0.192361
0.8, 0.194378, 0.18, 0.82, 0.193169
0.8, 0.194746, 0.18, 0.82, 0.190571
0.8, 0.185082, 0.18, 0.82, 0.187973
