# B5 Focused Dynamic Strategy Switching Simulation Results
# Schedule file: schedule_b5_pure_stubborn_lead.txt
# Gamma (connectivity) range: 0.8 - 1.0 in 0.05 increments
# Hash rate range: 0.15 - 0.3 (15% - 30%) in 0.01 increments
Gamma, Miner0_ProfitFraction, Miner0_HashRate, Miner1_HashRate, Miner0_BlockFraction
0.8, 0.14752, 0.15, 0.85, 0.149623
0.8, 0.149149, 0.15, 0.85, 0.152395
0.8, 0.156668, 0.15, 0.85, 0.148648
0.8, 0.152364, 0.15, 0.85, 0.150649
0.8, 0.155067, 0.15, 0.85, 0.151973
0.8, 0.149017, 0.15, 0.85, 0.145878
0.8, 0.149669, 0.15, 0.85, 0.149348
0.8, 0.152517, 0.15, 0.85, 0.15235
0.8, 0.15411, 0.15, 0.85, 0.147711
0.8, 0.154603, 0.15, 0.85, 0.151421
0.8, 0.154479, 0.15, 0.85, 0.149695
0.8, 0.150808, 0.15, 0.85, 0.150295
0.8, 0.15561, 0.15, 0.85, 0.152385
0.8, 0.149051, 0.15, 0.85, 0.149988
0.8, 0.157554, 0.15, 0.85, 0.152423
0.8, 0.152863, 0.15, 0.85, 0.151404
0.8, 0.147587, 0.15, 0.85, 0.145754
0.8, 0.152, 0.15, 0.85, 0.150713
0.8, 0.150879, 0.15, 0.85, 0.15447
0.8, 0.150902, 0.15, 0.85, 0.146457
0.8, 0.157788, 0.15, 0.85, 0.1539
0.8, 0.156124, 0.15, 0.85, 0.151387
0.8, 0.156125, 0.15, 0.85, 0.151825
0.8, 0.152794, 0.15, 0.85, 0.14992
0.8, 0.157179, 0.15, 0.85, 0.153111
0.8, 0.158496, 0.16, 0.84, 0.160312
0.8, 0.172771, 0.16, 0.84, 0.165836
0.8, 0.168353, 0.16, 0.84, 0.163897
0.8, 0.176921, 0.16, 0.84, 0.169594
0.8, 0.167581, 0.16, 0.84, 0.163804
0.8, 0.164751, 0.16, 0.84, 0.162825
0.8, 0.169786, 0.16, 0.84, 0.167491
0.8, 0.166448, 0.16, 0.84, 0.166271
0.8, 0.156975, 0.16, 0.84, 0.155445
0.8, 0.173622, 0.16, 0.84, 0.167529
0.8, 0.167025, 0.16, 0.84, 0.163813
0.8, 0.165969, 0.16, 0.84, 0.166502
0.8, 0.168574, 0.16, 0.84, 0.164123
0.8, 0.174208, 0.16, 0.84, 0.168248
0.8, 0.170188, 0.16, 0.84, 0.170601
0.8, 0.163967, 0.16, 0.84, 0.159456
0.8, 0.166918, 0.16, 0.84, 0.164186
0.8, 0.175055, 0.16, 0.84, 0.164267
0.8, 0.170994, 0.16, 0.84, 0.166015
0.8, 0.169416, 0.16, 0.84, 0.172174
0.8, 0.168948, 0.16, 0.84, 0.16497
0.8, 0.17324, 0.16, 0.84, 0.167426
0.8, 0.164404, 0.16, 0.84, 0.161462
0.8, 0.16744, 0.16, 0.84, 0.158075
0.8, 0.170969, 0.16, 0.84, 0.165998
0.8, 0.189313, 0.17, 0.83, 0.183748
0.8, 0.179942, 0.17, 0.83, 0.173316
0.8, 0.174449, 0.17, 0.83, 0.173404
0.8, 0.184888, 0.17, 0.83, 0.178108
0.8, 0.178783, 0.17, 0.83, 0.178176
0.8, 0.17787, 0.17, 0.83, 0.177783
0.8, 0.172592, 0.17, 0.83, 0.166931
0.8, 0.183486, 0.17, 0.83, 0.178996
0.8, 0.176524, 0.17, 0.83, 0.173983
0.8, 0.17387, 0.17, 0.83, 0.171154
0.8, 0.180387, 0.17, 0.83, 0.175102
0.8, 0.185765, 0.17, 0.83, 0.181909
0.8, 0.175825, 0.17, 0.83, 0.173408
0.8, 0.181327, 0.17, 0.83, 0.177184
0.8, 0.178439, 0.17, 0.83, 0.17403
0.8, 0.181676, 0.17, 0.83, 0.180234
0.8, 0.178245, 0.17, 0.83, 0.174744
0.8, 0.178835, 0.17, 0.83, 0.177117
0.8, 0.176265, 0.17, 0.83, 0.176813
0.8, 0.178696, 0.17, 0.83, 0.174342
0.8, 0.181236, 0.17, 0.83, 0.176173
0.8, 0.172799, 0.17, 0.83, 0.171484
0.8, 0.178445, 0.17, 0.83, 0.171808
0.8, 0.180308, 0.17, 0.83, 0.176058
0.8, 0.182458, 0.17, 0.83, 0.175035
0.8, 0.195918, 0.18, 0.82, 0.190288
0.8, 0.185349, 0.18, 0.82, 0.180298
0.8, 0.192785, 0.18, 0.82, 0.191002
0.8, 0.194299, 0.18, 0.82, 0.186044
0.8, 0.190022, 0.18, 0.82, 0.182605
0.8, 0.192114, 0.18, 0.82, 0.192166
0.8, 0.194806, 0.18, 0.82, 0.19107
0.8, 0.19782, 0.18, 0.82, 0.192661
0.8, 0.195113, 0.18, 0.82, 0.191048
0.8, 0.187273, 0.18, 0.82, 0.189492
0.8, 0.194905, 0.18, 0.82, 0.192317
0.8, 0.186516, 0.18, 0.82, 0.1902
0.8, 0.180846, 0.18, 0.82, 0.18205
0.8, 0.191456, 0.18, 0.82, 0.188137
0.8, 0.189165, 0.18, 0.82, 0.184093
0.8, 0.202023, 0.18, 0.82, 0.19309
0.8, 0.194083, 0.18, 0.82, 0.184706
0.8, 0.188417, 0.18, 0.82, 0.186454
0.8, 0.190891, 0.18, 0.82, 0.192765
0.8, 0.196729, 0.18, 0.82, 0.188952
0.8, 0.188584, 0.18, 0.82, 0.188224
0.8, 0.193152, 0.18, 0.82, 0.190578
0.8, 0.190157, 0.18, 0.82, 0.191401
0.8, 0.195893, 0.18, 0.82, 0.18825
0.8, 0.185699, 0.18, 0.82, 0.184098
0.8, 0.199195, 0.19, 0.81, 0.201221
0.8, 0.207576, 0.19, 0.81, 0.205783
0.8, 0.213153, 0.19, 0.81, 0.204781
0.8, 0.212777, 0.19, 0.81, 0.204767
0.8, 0.216761, 0.19, 0.81, 0.209594
0.8, 0.207555, 0.19, 0.81, 0.204148
0.8, 0.203822, 0.19, 0.81, 0.195657
0.8, 0.205761, 0.19, 0.81, 0.202873
0.8, 0.203514, 0.19, 0.81, 0.200777
0.8, 0.201581, 0.19, 0.81, 0.1994
0.8, 0.204518, 0.19, 0.81, 0.202507
0.8, 0.205, 0.19, 0.81, 0.197419
0.8, 0.204886, 0.19, 0.81, 0.199255
0.8, 0.21026, 0.19, 0.81, 0.203886
0.8, 0.205774, 0.19, 0.81, 0.204208
0.8, 0.197631, 0.19, 0.81, 0.199566
0.8, 0.21411, 0.19, 0.81, 0.207388
0.8, 0.202262, 0.19, 0.81, 0.197832
0.8, 0.206143, 0.19, 0.81, 0.202503
0.8, 0.213823, 0.19, 0.81, 0.206436
0.8, 0.206907, 0.19, 0.81, 0.199881
0.8, 0.207283, 0.19, 0.81, 0.203882
0.8, 0.203632, 0.19, 0.81, 0.199988
0.8, 0.195095, 0.19, 0.81, 0.191356
0.8, 0.209509, 0.19, 0.81, 0.202647
0.8, 0.226793, 0.2, 0.8, 0.218007
0.8, 0.214677, 0.2, 0.8, 0.2153
0.8, 0.224699, 0.2, 0.8, 0.218946
0.8, 0.215605, 0.2, 0.8, 0.213403
0.8, 0.225491, 0.2, 0.8, 0.222921
0.8, 0.224928, 0.2, 0.8, 0.218985
0.8, 0.221241, 0.2, 0.8, 0.213495
0.8, 0.225561, 0.2, 0.8, 0.217563
0.8, 0.216425, 0.2, 0.8, 0.214536
0.8, 0.224662, 0.2, 0.8, 0.219013
0.8, 0.221199, 0.2, 0.8, 0.220685
0.8, 0.231717, 0.2, 0.8, 0.22116
0.8, 0.220131, 0.2, 0.8, 0.218585
0.8, 0.215668, 0.2, 0.8, 0.21365
0.8, 0.222003, 0.2, 0.8, 0.219358
0.8, 0.231467, 0.2, 0.8, 0.222614
0.8, 0.221875, 0.2, 0.8, 0.218442
0.8, 0.216519, 0.2, 0.8, 0.215244
0.8, 0.225711, 0.2, 0.8, 0.221684
0.8, 0.221746, 0.2, 0.8, 0.218335
0.8, 0.214964, 0.2, 0.8, 0.212778
0.8, 0.216498, 0.2, 0.8, 0.213259
0.8, 0.221816, 0.2, 0.8, 0.220135
0.8, 0.218912, 0.2, 0.8, 0.211077
0.8, 0.214493, 0.2, 0.8, 0.210093
0.8, 0.232402, 0.21, 0.79, 0.231259
0.8, 0.230566, 0.21, 0.79, 0.224408
0.8, 0.234908, 0.21, 0.79, 0.227866
0.8, 0.236394, 0.21, 0.79, 0.226583
0.8, 0.234783, 0.21, 0.79, 0.22689
0.8, 0.242868, 0.21, 0.79, 0.236876
