# B5 Focused Dynamic Strategy Switching Simulation Results
# Schedule file: schedule_b5_pure_stubborn_trail.txt
# Gamma (connectivity) range: 0.8 - 1.0 in 0.05 increments
# Hash rate range: 0.15 - 0.3 (15% - 30%) in 0.01 increments
Gamma, Miner0_ProfitFraction, Miner0_HashRate, Miner1_HashRate, Miner0_BlockFraction
0.8, 0.152565, 0.15, 0.85, 0.153815
0.8, 0.145708, 0.15, 0.85, 0.144569
0.8, 0.145891, 0.15, 0.85, 0.146654
0.8, 0.146633, 0.15, 0.85, 0.145939
0.8, 0.155571, 0.15, 0.85, 0.153191
0.8, 0.15797, 0.15, 0.85, 0.150717
0.8, 0.145029, 0.15, 0.85, 0.145073
0.8, 0.147963, 0.15, 0.85, 0.145998
0.8, 0.146486, 0.15, 0.85, 0.146471
0.8, 0.149476, 0.15, 0.85, 0.147205
0.8, 0.149986, 0.15, 0.85, 0.152138
0.8, 0.148923, 0.15, 0.85, 0.147933
0.8, 0.150157, 0.15, 0.85, 0.149456
0.8, 0.147432, 0.15, 0.85, 0.151179
0.8, 0.153713, 0.15, 0.85, 0.151383
0.8, 0.148374, 0.15, 0.85, 0.150346
0.8, 0.154015, 0.15, 0.85, 0.153938
0.8, 0.147253, 0.15, 0.85, 0.14751
0.8, 0.143469, 0.15, 0.85, 0.147054
0.8, 0.147682, 0.15, 0.85, 0.146357
0.8, 0.153824, 0.15, 0.85, 0.15002
0.8, 0.148406, 0.15, 0.85, 0.144835
0.8, 0.150953, 0.15, 0.85, 0.149863
0.8, 0.146472, 0.15, 0.85, 0.147459
0.8, 0.148545, 0.15, 0.85, 0.145799
0.8, 0.165292, 0.16, 0.84, 0.160872
0.8, 0.161033, 0.16, 0.84, 0.158734
0.8, 0.156559, 0.16, 0.84, 0.159982
0.8, 0.163018, 0.16, 0.84, 0.161747
0.8, 0.162539, 0.16, 0.84, 0.16054
0.8, 0.160474, 0.16, 0.84, 0.16571
0.8, 0.156237, 0.16, 0.84, 0.158778
0.8, 0.156838, 0.16, 0.84, 0.159192
0.8, 0.161233, 0.16, 0.84, 0.162236
0.8, 0.165952, 0.16, 0.84, 0.164649
0.8, 0.167975, 0.16, 0.84, 0.167066
0.8, 0.165036, 0.16, 0.84, 0.160197
0.8, 0.159568, 0.16, 0.84, 0.157504
0.8, 0.157385, 0.16, 0.84, 0.161626
0.8, 0.158425, 0.16, 0.84, 0.160776
0.8, 0.162266, 0.16, 0.84, 0.158319
0.8, 0.162537, 0.16, 0.84, 0.165578
0.8, 0.159993, 0.16, 0.84, 0.159542
0.8, 0.155156, 0.16, 0.84, 0.158234
0.8, 0.16583, 0.16, 0.84, 0.164056
0.8, 0.157692, 0.16, 0.84, 0.157843
0.8, 0.158853, 0.16, 0.84, 0.156551
0.8, 0.161255, 0.16, 0.84, 0.162725
0.8, 0.157684, 0.16, 0.84, 0.158353
0.8, 0.167149, 0.16, 0.84, 0.16205
0.8, 0.179542, 0.17, 0.83, 0.178334
0.8, 0.168521, 0.17, 0.83, 0.168411
0.8, 0.16681, 0.17, 0.83, 0.169745
0.8, 0.179687, 0.17, 0.83, 0.178023
0.8, 0.173888, 0.17, 0.83, 0.17395
0.8, 0.168062, 0.17, 0.83, 0.169946
