# B5 Focused Dynamic Strategy Switching Simulation Results
# Schedule file: schedule_b5_pure_stubborn_trail_fork.txt
# Gamma (connectivity) range: 0.8 - 1.0 in 0.05 increments
# Hash rate range: 0.15 - 0.3 (15% - 30%) in 0.01 increments
Gamma, Miner0_ProfitFraction, Miner0_HashRate, Miner1_HashRate, Miner0_BlockFraction
0.8, 0.14591, 0.15, 0.85, 0.146851
0.8, 0.150132, 0.15, 0.85, 0.152587
0.8, 0.152679, 0.15, 0.85, 0.148781
0.8, 0.148748, 0.15, 0.85, 0.150129
0.8, 0.148151, 0.15, 0.85, 0.149793
0.8, 0.145744, 0.15, 0.85, 0.148375
0.8, 0.148237, 0.15, 0.85, 0.150805
0.8, 0.148982, 0.15, 0.85, 0.149622
0.8, 0.147307, 0.15, 0.85, 0.151951
0.8, 0.142774, 0.15, 0.85, 0.142379
0.8, 0.14478, 0.15, 0.85, 0.146396
0.8, 0.150091, 0.15, 0.85, 0.150546
0.8, 0.138909, 0.15, 0.85, 0.141897
0.8, 0.140456, 0.15, 0.85, 0.142312
0.8, 0.155914, 0.15, 0.85, 0.150318
0.8, 0.146873, 0.15, 0.85, 0.147495
0.8, 0.149952, 0.15, 0.85, 0.147897
0.8, 0.149365, 0.15, 0.85, 0.151798
0.8, 0.145075, 0.15, 0.85, 0.143787
0.8, 0.14694, 0.15, 0.85, 0.147314
0.8, 0.151904, 0.15, 0.85, 0.148859
0.8, 0.154524, 0.15, 0.85, 0.155545
0.8, 0.155559, 0.15, 0.85, 0.155351
0.8, 0.141269, 0.15, 0.85, 0.144888
0.8, 0.144597, 0.15, 0.85, 0.145932
0.8, 0.15824, 0.16, 0.84, 0.157263
0.8, 0.150585, 0.16, 0.84, 0.158456
0.8, 0.162134, 0.16, 0.84, 0.157664
0.8, 0.159766, 0.16, 0.84, 0.159492
0.8, 0.154875, 0.16, 0.84, 0.158581
0.8, 0.158992, 0.16, 0.84, 0.161424
0.8, 0.160146, 0.16, 0.84, 0.164182
0.8, 0.151197, 0.16, 0.84, 0.155446
0.8, 0.148213, 0.16, 0.84, 0.153497
0.8, 0.160817, 0.16, 0.84, 0.163591
0.8, 0.156643, 0.16, 0.84, 0.159622
0.8, 0.160913, 0.16, 0.84, 0.162389
0.8, 0.162365, 0.16, 0.84, 0.162408
0.8, 0.161829, 0.16, 0.84, 0.165392
0.8, 0.147966, 0.16, 0.84, 0.155013
0.8, 0.162325, 0.16, 0.84, 0.161475
0.8, 0.156215, 0.16, 0.84, 0.15772
0.8, 0.167848, 0.16, 0.84, 0.167747
0.8, 0.150499, 0.16, 0.84, 0.155539
0.8, 0.148712, 0.16, 0.84, 0.155041
0.8, 0.157294, 0.16, 0.84, 0.15652
0.8, 0.156322, 0.16, 0.84, 0.156527
0.8, 0.160074, 0.16, 0.84, 0.162845
0.8, 0.158794, 0.16, 0.84, 0.162114
0.8, 0.158156, 0.16, 0.84, 0.160921
0.8, 0.168802, 0.17, 0.83, 0.17105
0.8, 0.166984, 0.17, 0.83, 0.170854
0.8, 0.171791, 0.17, 0.83, 0.173126
0.8, 0.170017, 0.17, 0.83, 0.174596
0.8, 0.173041, 0.17, 0.83, 0.175466
0.8, 0.170221, 0.17, 0.83, 0.172086
0.8, 0.169894, 0.17, 0.83, 0.172387
0.8, 0.16977, 0.17, 0.83, 0.172521
0.8, 0.174159, 0.17, 0.83, 0.175513
0.8, 0.168967, 0.17, 0.83, 0.173307
0.8, 0.162211, 0.17, 0.83, 0.169668
0.8, 0.164646, 0.17, 0.83, 0.170443
0.8, 0.169367, 0.17, 0.83, 0.171181
0.8, 0.170311, 0.17, 0.83, 0.170895
0.8, 0.168282, 0.17, 0.83, 0.170134
0.8, 0.17377, 0.17, 0.83, 0.174541
0.8, 0.180716, 0.17, 0.83, 0.179126
