# B5 Focused Dynamic Strategy Switching Simulation Results
# Schedule file: schedule_b5_selfish_petty_1000.txt
# Gamma (connectivity) range: 0.8 - 1.0 in 0.05 increments
# Hash rate range: 0.15 - 0.3 (15% - 30%) in 0.01 increments
Gamma, Miner0_ProfitFraction, Miner0_HashRate, Miner1_HashRate, Miner0_BlockFraction
0.8, 0.158993, 0.15, 0.85, 0.155749
0.8, 0.152751, 0.15, 0.85, 0.153549
0.8, 0.148851, 0.15, 0.85, 0.149101
0.8, 0.149837, 0.15, 0.85, 0.152368
0.8, 0.154641, 0.15, 0.85, 0.150861
0.8, 0.14887, 0.15, 0.85, 0.149175
0.8, 0.14808, 0.15, 0.85, 0.149251
0.8, 0.151278, 0.15, 0.85, 0.152058
0.8, 0.150406, 0.15, 0.85, 0.145356
0.8, 0.15368, 0.15, 0.85, 0.149148
0.8, 0.149406, 0.15, 0.85, 0.147948
0.8, 0.151961, 0.15, 0.85, 0.149006
0.8, 0.148319, 0.15, 0.85, 0.150538
0.8, 0.152063, 0.15, 0.85, 0.151339
0.8, 0.149794, 0.15, 0.85, 0.148802
0.8, 0.151244, 0.15, 0.85, 0.151463
0.8, 0.149106, 0.15, 0.85, 0.149163
0.8, 0.150169, 0.15, 0.85, 0.150905
0.8, 0.15102, 0.15, 0.85, 0.151702
0.8, 0.152448, 0.15, 0.85, 0.149936
0.8, 0.146487, 0.15, 0.85, 0.1463
0.8, 0.147201, 0.15, 0.85, 0.150486
0.8, 0.153873, 0.15, 0.85, 0.151428
0.8, 0.149751, 0.15, 0.85, 0.146608
0.8, 0.146901, 0.15, 0.85, 0.14546
0.8, 0.163168, 0.16, 0.84, 0.162887
0.8, 0.160566, 0.16, 0.84, 0.1615
0.8, 0.171999, 0.16, 0.84, 0.169956
0.8, 0.160392, 0.16, 0.84, 0.16175
0.8, 0.165242, 0.16, 0.84, 0.163593
0.8, 0.156673, 0.16, 0.84, 0.158724
0.8, 0.158247, 0.16, 0.84, 0.156971
0.8, 0.162215, 0.16, 0.84, 0.161851
0.8, 0.166862, 0.16, 0.84, 0.163937
0.8, 0.169745, 0.16, 0.84, 0.163224
0.8, 0.159252, 0.16, 0.84, 0.160028
0.8, 0.159414, 0.16, 0.84, 0.157375
0.8, 0.159046, 0.16, 0.84, 0.155155
0.8, 0.159862, 0.16, 0.84, 0.159521
0.8, 0.161229, 0.16, 0.84, 0.161193
0.8, 0.16603, 0.16, 0.84, 0.16423
0.8, 0.159975, 0.16, 0.84, 0.161446
0.8, 0.15595, 0.16, 0.84, 0.159199
0.8, 0.161497, 0.16, 0.84, 0.162777
0.8, 0.164246, 0.16, 0.84, 0.165323
0.8, 0.159828, 0.16, 0.84, 0.161973
0.8, 0.166147, 0.16, 0.84, 0.162655
0.8, 0.152899, 0.16, 0.84, 0.154118
0.8, 0.161445, 0.16, 0.84, 0.161926
0.8, 0.163067, 0.16, 0.84, 0.167099
0.8, 0.17722, 0.17, 0.83, 0.175235
0.8, 0.169804, 0.17, 0.83, 0.169916
0.8, 0.173701, 0.17, 0.83, 0.176957
0.8, 0.17788, 0.17, 0.83, 0.177185
0.8, 0.178442, 0.17, 0.83, 0.173605
0.8, 0.17417, 0.17, 0.83, 0.17362
0.8, 0.176005, 0.17, 0.83, 0.176461
0.8, 0.180929, 0.17, 0.83, 0.179391
0.8, 0.174148, 0.17, 0.83, 0.175195
0.8, 0.168343, 0.17, 0.83, 0.169792
0.8, 0.171462, 0.17, 0.83, 0.174889
0.8, 0.164077, 0.17, 0.83, 0.166533
0.8, 0.170521, 0.17, 0.83, 0.173333
0.8, 0.181754, 0.17, 0.83, 0.178785
0.8, 0.181116, 0.17, 0.83, 0.177365
0.8, 0.172613, 0.17, 0.83, 0.174146
0.8, 0.167481, 0.17, 0.83, 0.17156
0.8, 0.176368, 0.17, 0.83, 0.174292
0.8, 0.174225, 0.17, 0.83, 0.177871
0.8, 0.169263, 0.17, 0.83, 0.171119
0.8, 0.175729, 0.17, 0.83, 0.177558
0.8, 0.173352, 0.17, 0.83, 0.170589
0.8, 0.171429, 0.17, 0.83, 0.175197
0.8, 0.169752, 0.17, 0.83, 0.169773
0.8, 0.171694, 0.17, 0.83, 0.173384
0.8, 0.187477, 0.18, 0.82, 0.186156
0.8, 0.179695, 0.18, 0.82, 0.179034
0.8, 0.188044, 0.18, 0.82, 0.18929
0.8, 0.177902, 0.18, 0.82, 0.179024
0.8, 0.193331, 0.18, 0.82, 0.186295
0.8, 0.177204, 0.18, 0.82, 0.181838
0.8, 0.185867, 0.18, 0.82, 0.18164
0.8, 0.186194, 0.18, 0.82, 0.183011
0.8, 0.187419, 0.18, 0.82, 0.18727
0.8, 0.184908, 0.18, 0.82, 0.184103
0.8, 0.184655, 0.18, 0.82, 0.185432
0.8, 0.185888, 0.18, 0.82, 0.183345
0.8, 0.185006, 0.18, 0.82, 0.185477
0.8, 0.18881, 0.18, 0.82, 0.189652
0.8, 0.179029, 0.18, 0.82, 0.183046
0.8, 0.182277, 0.18, 0.82, 0.185098
0.8, 0.180553, 0.18, 0.82, 0.184429
0.8, 0.183091, 0.18, 0.82, 0.180427
0.8, 0.178133, 0.18, 0.82, 0.178018
0.8, 0.181091, 0.18, 0.82, 0.181462
0.8, 0.181978, 0.18, 0.82, 0.182238
0.8, 0.179088, 0.18, 0.82, 0.183143
0.8, 0.179384, 0.18, 0.82, 0.179979
0.8, 0.185122, 0.18, 0.82, 0.186359
0.8, 0.185072, 0.18, 0.82, 0.182417
0.8, 0.196015, 0.19, 0.81, 0.201493
0.8, 0.19688, 0.19, 0.81, 0.198241
0.8, 0.19837, 0.19, 0.81, 0.196775
0.8, 0.19622, 0.19, 0.81, 0.197725
0.8, 0.190463, 0.19, 0.81, 0.188506
0.8, 0.193958, 0.19, 0.81, 0.195121
0.8, 0.19349, 0.19, 0.81, 0.197804
0.8, 0.192778, 0.19, 0.81, 0.190225
0.8, 0.183171, 0.19, 0.81, 0.187416
