# B5 Focused Dynamic Strategy Switching Simulation Results
# Schedule file: schedule_b5_selfish_stubborn_lead_1000.txt
# Gamma (connectivity) range: 0.8 - 1.0 in 0.05 increments
# Hash rate range: 0.15 - 0.3 (15% - 30%) in 0.01 increments
Gamma, Miner0_ProfitFraction, Miner0_HashRate, Miner1_HashRate, Miner0_BlockFraction
0.8, 0.160192, 0.15, 0.85, 0.160073
0.8, 0.156398, 0.15, 0.85, 0.153501
0.8, 0.150657, 0.15, 0.85, 0.148155
0.8, 0.154663, 0.15, 0.85, 0.146731
0.8, 0.149487, 0.15, 0.85, 0.148761
0.8, 0.154358, 0.15, 0.85, 0.152949
0.8, 0.152682, 0.15, 0.85, 0.151048
0.8, 0.158064, 0.15, 0.85, 0.152555
0.8, 0.154486, 0.15, 0.85, 0.151139
0.8, 0.157198, 0.15, 0.85, 0.15502
0.8, 0.147219, 0.15, 0.85, 0.146172
0.8, 0.153226, 0.15, 0.85, 0.152176
0.8, 0.159122, 0.15, 0.85, 0.158507
0.8, 0.153386, 0.15, 0.85, 0.150753
0.8, 0.160551, 0.15, 0.85, 0.154838
0.8, 0.145631, 0.15, 0.85, 0.149611
0.8, 0.154357, 0.15, 0.85, 0.151472
0.8, 0.15169, 0.15, 0.85, 0.148965
0.8, 0.153867, 0.15, 0.85, 0.150247
0.8, 0.148196, 0.15, 0.85, 0.15078
0.8, 0.145057, 0.15, 0.85, 0.148066
0.8, 0.152835, 0.15, 0.85, 0.153283
0.8, 0.159267, 0.15, 0.85, 0.154888
0.8, 0.14479, 0.15, 0.85, 0.146205
0.8, 0.147375, 0.15, 0.85, 0.149018
0.8, 0.161023, 0.16, 0.84, 0.162037
0.8, 0.168062, 0.16, 0.84, 0.166399
0.8, 0.158629, 0.16, 0.84, 0.159852
0.8, 0.169772, 0.16, 0.84, 0.167942
0.8, 0.167879, 0.16, 0.84, 0.161173
0.8, 0.160161, 0.16, 0.84, 0.157384
0.8, 0.167049, 0.16, 0.84, 0.161918
0.8, 0.157429, 0.16, 0.84, 0.158407
0.8, 0.167443, 0.16, 0.84, 0.162033
0.8, 0.163706, 0.16, 0.84, 0.162842
0.8, 0.172868, 0.16, 0.84, 0.168888
0.8, 0.160945, 0.16, 0.84, 0.161417
