# B5 Focused Dynamic Strategy Switching Simulation Results
# Schedule file: schedule_b5_stubborn_lead_trail_1000.txt
# Gamma (connectivity) range: 0.8 - 1.0 in 0.05 increments
# Hash rate range: 0.15 - 0.3 (15% - 30%) in 0.01 increments
Gamma, Miner0_ProfitFraction, Miner0_HashRate, Miner1_HashRate, Miner0_BlockFraction
0.8, 0.15432, 0.15, 0.85, 0.152725
0.8, 0.165106, 0.15, 0.85, 0.157469
0.8, 0.15289, 0.15, 0.85, 0.149345
0.8, 0.150119, 0.15, 0.85, 0.150054
0.8, 0.146469, 0.15, 0.85, 0.146003
0.8, 0.147044, 0.15, 0.85, 0.144344
0.8, 0.16144, 0.15, 0.85, 0.155496
0.8, 0.159979, 0.15, 0.85, 0.157001
0.8, 0.14489, 0.15, 0.85, 0.144614
0.8, 0.153183, 0.15, 0.85, 0.153696
0.8, 0.155248, 0.15, 0.85, 0.152437
0.8, 0.15784, 0.15, 0.85, 0.156001
0.8, 0.146923, 0.15, 0.85, 0.147321
0.8, 0.149916, 0.15, 0.85, 0.149523
0.8, 0.152607, 0.15, 0.85, 0.150565
0.8, 0.150794, 0.15, 0.85, 0.146558
0.8, 0.146225, 0.15, 0.85, 0.143856
0.8, 0.153211, 0.15, 0.85, 0.14621
0.8, 0.158265, 0.15, 0.85, 0.15432
0.8, 0.146669, 0.15, 0.85, 0.148198
0.8, 0.150668, 0.15, 0.85, 0.150553
0.8, 0.156568, 0.15, 0.85, 0.151543
0.8, 0.153791, 0.15, 0.85, 0.154392
0.8, 0.153324, 0.15, 0.85, 0.149291
0.8, 0.150173, 0.15, 0.85, 0.14671
0.8, 0.161791, 0.16, 0.84, 0.16358
0.8, 0.163891, 0.16, 0.84, 0.160077
0.8, 0.158243, 0.16, 0.84, 0.159468
0.8, 0.160132, 0.16, 0.84, 0.160775
0.8, 0.162964, 0.16, 0.84, 0.160624
0.8, 0.162767, 0.16, 0.84, 0.163042
0.8, 0.163407, 0.16, 0.84, 0.161957
0.8, 0.170517, 0.16, 0.84, 0.164457
0.8, 0.168248, 0.16, 0.84, 0.165561
0.8, 0.165544, 0.16, 0.84, 0.164499
0.8, 0.159156, 0.16, 0.84, 0.161513
0.8, 0.17026, 0.16, 0.84, 0.164991
0.8, 0.165903, 0.16, 0.84, 0.165042
0.8, 0.161028, 0.16, 0.84, 0.162259
0.8, 0.166236, 0.16, 0.84, 0.160797
0.8, 0.170112, 0.16, 0.84, 0.169356
0.8, 0.160634, 0.16, 0.84, 0.156685
0.8, 0.173896, 0.16, 0.84, 0.16876
0.8, 0.167242, 0.16, 0.84, 0.162732
0.8, 0.158046, 0.16, 0.84, 0.161465
0.8, 0.164135, 0.16, 0.84, 0.158578
0.8, 0.165118, 0.16, 0.84, 0.163375
0.8, 0.165851, 0.16, 0.84, 0.164596
0.8, 0.166585, 0.16, 0.84, 0.165082
0.8, 0.170783, 0.16, 0.84, 0.167576
0.8, 0.181145, 0.17, 0.83, 0.17977
0.8, 0.169692, 0.17, 0.83, 0.170414
0.8, 0.185548, 0.17, 0.83, 0.183355
0.8, 0.177033, 0.17, 0.83, 0.172639
0.8, 0.174355, 0.17, 0.83, 0.170394
0.8, 0.172024, 0.17, 0.83, 0.173525
0.8, 0.186509, 0.17, 0.83, 0.181395
0.8, 0.166886, 0.17, 0.83, 0.166705
0.8, 0.173896, 0.17, 0.83, 0.172978
0.8, 0.174236, 0.17, 0.83, 0.171657
0.8, 0.178593, 0.17, 0.83, 0.17948
0.8, 0.17217, 0.17, 0.83, 0.17225
0.8, 0.167792, 0.17, 0.83, 0.168674
0.8, 0.182808, 0.17, 0.83, 0.179792
0.8, 0.180457, 0.17, 0.83, 0.177057
0.8, 0.179463, 0.17, 0.83, 0.178183
0.8, 0.179662, 0.17, 0.83, 0.174577
0.8, 0.175167, 0.17, 0.83, 0.172148
0.8, 0.167013, 0.17, 0.83, 0.167257
0.8, 0.178177, 0.17, 0.83, 0.17513
0.8, 0.168277, 0.17, 0.83, 0.163898
0.8, 0.178003, 0.17, 0.83, 0.175013
0.8, 0.175912, 0.17, 0.83, 0.176039
0.8, 0.177506, 0.17, 0.83, 0.17595
0.8, 0.178417, 0.17, 0.83, 0.175246
0.8, 0.186162, 0.18, 0.82, 0.185179
0.8, 0.196812, 0.18, 0.82, 0.190606
0.8, 0.185423, 0.18, 0.82, 0.184383
0.8, 0.184171, 0.18, 0.82, 0.182694
0.8, 0.194331, 0.18, 0.82, 0.191123
0.8, 0.188007, 0.18, 0.82, 0.188559
0.8, 0.182474, 0.18, 0.82, 0.180101
0.8, 0.193111, 0.18, 0.82, 0.188064
0.8, 0.189775, 0.18, 0.82, 0.185855
0.8, 0.189248, 0.18, 0.82, 0.187913
0.8, 0.185467, 0.18, 0.82, 0.184929
0.8, 0.190323, 0.18, 0.82, 0.186399
0.8, 0.193251, 0.18, 0.82, 0.191662
0.8, 0.192429, 0.18, 0.82, 0.18812
0.8, 0.190786, 0.18, 0.82, 0.186915
0.8, 0.189516, 0.18, 0.82, 0.187882
0.8, 0.18083, 0.18, 0.82, 0.176347
0.8, 0.191968, 0.18, 0.82, 0.189527
