# Dynamic Strategy Switching Simulation Results
# Schedule file: schedule_pure_selfish.txt
# Miner 0: selfish (0-6666), stubborn-trail (6667-13333), petty (13334-19999)
# Miner 1: default-selfish (0-19999)
Gamma, Miner0_ProfitFraction, Miner0_HashRate, Miner1_HashRate, Miner0_BlockFraction
0, 0, 0.005, 0.995, 0
0, 9.71597e-05, 0.005, 0.995, 0.000100609
0, 0, 0.005, 0.995, 0
0, 1.71663e-05, 0.005, 0.995, 0.000101271
0, 7.57468e-05, 0.005, 0.995, 0.000100231
0, 0, 0.005, 0.995, 0
0, 0.000202663, 0.005, 0.995, 0.000200914
0, 0, 0.005, 0.995, 0
0, 0.000552878, 0.005, 0.995, 0.000200965
0, 0.000125146, 0.005, 0.995, 0.000101735
0, 0.000107573, 0.005, 0.995, 0.000101911
0, 0, 0.005, 0.995, 0
0, 0.000211406, 0.005, 0.995, 0.000200934
0, 0.000138165, 0.005, 0.995, 0.00010238
0, 0.000218988, 0.005, 0.995, 0.000197638
0, 0.000250135, 0.005, 0.995, 0.000100583
0, 0.0002118, 0.005, 0.995, 0.00029991
0, 0, 0.005, 0.995, 0
0, 0.000229249, 0.005, 0.995, 0.000302939
0, 0, 0.005, 0.995, 0
0, 1.23328e-05, 0.005, 0.995, 9.98652e-05
0, 0.000293746, 0.005, 0.995, 0.000202419
0, 0.000113583, 0.005, 0.995, 0.000198985
0, 0, 0.005, 0.995, 0
0, 0.000237081, 0.005, 0.995, 0.000100614
0, 0.000663817, 0.01, 0.99, 0.000508053
0, 0.000763809, 0.01, 0.99, 0.000456691
0, 0.000601639, 0.01, 0.99, 0.00049724
0, 5.53304e-05, 0.01, 0.99, 0.000100447
0, 0.000939556, 0.01, 0.99, 0.000707857
0, 0.0002134, 0.01, 0.99, 0.000202799
0, 0.000189417, 0.01, 0.99, 0.000299715
0, 0.000554976, 0.01, 0.99, 0.000708466
0, 0.000586564, 0.01, 0.99, 0.000408622
0, 3.81659e-05, 0.01, 0.99, 0.000100918
0, 0.000794885, 0.01, 0.99, 0.000497488
0, 0.000393739, 0.01, 0.99, 0.000100857
0, 0.000184583, 0.01, 0.99, 0.000456158
0, 0.000672243, 0.01, 0.99, 0.000807265
0, 0.000240622, 0.01, 0.99, 0.00030033
0, 0.000282583, 0.01, 0.99, 0.00040568
0, 0.000479303, 0.01, 0.99, 0.000602319
0, 0.000382825, 0.01, 0.99, 0.000601052
0, 0.000144991, 0.01, 0.99, 0.000202583
0, 0.000612648, 0.01, 0.99, 0.000503905
0, 0.000812598, 0.01, 0.99, 0.000593237
0, 0.000660411, 0.01, 0.99, 0.000807551
0, 0.000231741, 0.01, 0.99, 0.000202603
0, 0.000252741, 0.01, 0.99, 0.000401828
0, 0.000172662, 0.01, 0.99, 0.000201654
0, 0.000635546, 0.015, 0.985, 0.000602258
0, 0.000238999, 0.015, 0.985, 0.000402414
0, 0.000639469, 0.015, 0.985, 0.00070843
0, 0.00142388, 0.015, 0.985, 0.00105242
0, 0.000505612, 0.015, 0.985, 0.000304337
0, 0.00118747, 0.015, 0.985, 0.00086921
0, 0.00118137, 0.015, 0.985, 0.00081984
0, 0.00091878, 0.015, 0.985, 0.000709651
0, 0.00173741, 0.015, 0.985, 0.00101513
0, 0.000439499, 0.015, 0.985, 0.000501153
0, 0.000484276, 0.015, 0.985, 0.000508414
0, 0.00177043, 0.015, 0.985, 0.00132316
0, 0.000754666, 0.015, 0.985, 0.000811524
0, 0.000652601, 0.015, 0.985, 0.000912363
0, 0.000938626, 0.015, 0.985, 0.000507949
0, 0.000898165, 0.015, 0.985, 0.00070593
0, 0.000790889, 0.015, 0.985, 0.000606581
0, 0.000709016, 0.015, 0.985, 0.000804424
0, 0.00122771, 0.015, 0.985, 0.000711129
0, 0.00151799, 0.015, 0.985, 0.00132356
0, 0.00108573, 0.015, 0.985, 0.00100397
0, 0.00119874, 0.015, 0.985, 0.000923266
0, 0.00168441, 0.015, 0.985, 0.00112693
0, 0.00107227, 0.015, 0.985, 0.00106464
0, 0.000294662, 0.015, 0.985, 0.000304538
0, 0.00121829, 0.02, 0.98, 0.000912686
0, 0.00195867, 0.02, 0.98, 0.00122844
0, 0.0017857, 0.02, 0.98, 0.00110904
0, 0.00210563, 0.02, 0.98, 0.00167922
0, 0.00190428, 0.02, 0.98, 0.00142748
0, 0.00181607, 0.02, 0.98, 0.0015282
0, 0.00148573, 0.02, 0.98, 0.00121611
0, 0.00134914, 0.02, 0.98, 0.00121982
0, 0.00240361, 0.02, 0.98, 0.00160764
0, 0.00184929, 0.02, 0.98, 0.00173523
0, 0.00160424, 0.02, 0.98, 0.00143354
0, 0.00262305, 0.02, 0.98, 0.00205255
0, 0.00237455, 0.02, 0.98, 0.00236346
0, 0.00134646, 0.02, 0.98, 0.00112636
0, 0.00323299, 0.02, 0.98, 0.00213675
0, 0.0019198, 0.02, 0.98, 0.00152921
0, 0.00160772, 0.02, 0.98, 0.0012253
0, 0.00268203, 0.02, 0.98, 0.00203791
0, 0.00126022, 0.02, 0.98, 0.00162709
0, 0.00145571, 0.02, 0.98, 0.00132911
0, 0.00229968, 0.02, 0.98, 0.00163641
0, 0.000755886, 0.02, 0.98, 0.00100402
0, 0.00187219, 0.02, 0.98, 0.00182251
0, 0.0016516, 0.02, 0.98, 0.0014468
0, 0.00187193, 0.02, 0.98, 0.00153077
0, 0.00194999, 0.025, 0.975, 0.00133354
0, 0.00261638, 0.025, 0.975, 0.00224158
0, 0.00305498, 0.025, 0.975, 0.00307503
0, 0.0029284, 0.025, 0.975, 0.00213969
0, 0.00276941, 0.025, 0.975, 0.00203428
0, 0.00315714, 0.025, 0.975, 0.00234706
0, 0.00212372, 0.025, 0.975, 0.00225329
0, 0.00227801, 0.025, 0.975, 0.00206462
0, 0.00304418, 0.025, 0.975, 0.00261632
0, 0.00246707, 0.025, 0.975, 0.00256713
0, 0.00321742, 0.025, 0.975, 0.0026047
0, 0.00208275, 0.025, 0.975, 0.00204918
0, 0.00238559, 0.025, 0.975, 0.00194762
0, 0.00247013, 0.025, 0.975, 0.00237358
0, 0.00245817, 0.025, 0.975, 0.00163708
0, 0.00196676, 0.025, 0.975, 0.00147268
0, 0.00386079, 0.025, 0.975, 0.00304692
0, 0.00384733, 0.025, 0.975, 0.00245889
0, 0.00392695, 0.025, 0.975, 0.00248332
0, 0.00264183, 0.025, 0.975, 0.00225133
0, 0.00272437, 0.025, 0.975, 0.00184483
0, 0.00262839, 0.025, 0.975, 0.001973
0, 0.0027387, 0.025, 0.975, 0.00213893
0, 0.00167891, 0.025, 0.975, 0.00172729
0, 0.00229499, 0.025, 0.975, 0.00165503
0, 0.00332833, 0.03, 0.97, 0.00327852
0, 0.00423759, 0.03, 0.97, 0.0031623
0, 0.00367248, 0.03, 0.97, 0.00351712
0, 0.00406327, 0.03, 0.97, 0.00370866
0, 0.00597765, 0.03, 0.97, 0.00459043
0, 0.00430402, 0.03, 0.97, 0.00444123
