# Dynamic Strategy Switching Simulation Results
# Schedule file: schedule_pure_stubborn_trail.txt
# Miner 0: selfish (0-6666), stubborn-trail (6667-13333), petty (13334-19999)
# Miner 1: default-selfish (0-19999)
Gamma, Miner0_ProfitFraction, Miner0_HashRate, Miner1_HashRate, Miner0_BlockFraction
0, 0, 0.005, 0.995, 0
0, 0.000210246, 0.005, 0.995, 0.000100543
0, 0.000155248, 0.005, 0.995, 0.000101276
0, 0.000375372, 0.005, 0.995, 0.000204061
0, 9.54138e-05, 0.005, 0.995, 9.95867e-05
0, 0, 0.005, 0.995, 0
0, 8.06638e-05, 0.005, 0.995, 0.000100462
0, 0, 0.005, 0.995, 0
0, 0, 0.005, 0.995, 0
0, 0, 0.005, 0.995, 0
0, 0.000388654, 0.005, 0.995, 0.000406483
0, 0.000103731, 0.005, 0.995, 0.000101174
0, 8.15804e-05, 0.005, 0.995, 0.000100659
0, 0.00010966, 0.005, 0.995, 0.000100356
0, 8.84104e-05, 0.005, 0.995, 9.92901e-05
0, 0.000151748, 0.005, 0.995, 0.000200753
0, 0.000122833, 0.005, 0.995, 0.000101276
0, 0, 0.005, 0.995, 0
0, 0.000269731, 0.005, 0.995, 0.00020203
0, 0.000219073, 0.005, 0.995, 0.000201918
0, 0.000131664, 0.005, 0.995, 0.000100659
0, 0.000373205, 0.005, 0.995, 0.000200773
0, 0.000223992, 0.005, 0.995, 0.000100492
0, 8.97497e-05, 0.005, 0.995, 9.98851e-05
0, 0, 0.005, 0.995, 0
0, 0.00143389, 0.01, 0.99, 0.000791883
0, 0.00047432, 0.01, 0.99, 0.00040349
0, 0.000888494, 0.01, 0.99, 0.000810086
0, 3.17497e-05, 0.01, 0.99, 0.000100578
0, 0.000834412, 0.01, 0.99, 0.00060738
0, 0.000533153, 0.01, 0.99, 0.000302694
0, 0.000130405, 0.01, 0.99, 0.000100969
0, 0.000151657, 0.01, 0.99, 0.000202214
0, 0.000477473, 0.01, 0.99, 0.000401586
0, 0.000570231, 0.01, 0.99, 0.000409857
0, 0.00131212, 0.01, 0.99, 0.000803939
0, 0.000728484, 0.01, 0.99, 0.000400701
0, 0.000771163, 0.01, 0.99, 0.000608211
0, 0.000562498, 0.01, 0.99, 0.000504159
0, 0.000586201, 0.01, 0.99, 0.000506817
0, 0.000346232, 0.01, 0.99, 0.00045909
0, 0.000190083, 0.01, 0.99, 0.000201511
0, 0.000461641, 0.01, 0.99, 0.000405927
0, 0.000206148, 0.01, 0.99, 0.00030303
0, 0.000414326, 0.01, 0.99, 0.000301811
0, 0.000528646, 0.01, 0.99, 0.000507924
0, 0.000137248, 0.01, 0.99, 0.00019986
0, 0.000456083, 0.01, 0.99, 0.000202614
0, 0.000690934, 0.01, 0.99, 0.000501807
0, 0.000792999, 0.01, 0.99, 0.000608859
0, 0.0013394, 0.015, 0.985, 0.00101683
0, 0.00093682, 0.015, 0.985, 0.000503981
0, 0.000559582, 0.015, 0.985, 0.000912918
0, 0.000384775, 0.015, 0.985, 0.000407789
0, 0.001028, 0.015, 0.985, 0.000811647
0, 0.00127563, 0.015, 0.985, 0.00100898
0, 0.000378907, 0.015, 0.985, 0.000405351
0, 0.000619024, 0.015, 0.985, 0.000701508
0, 0.00166758, 0.015, 0.985, 0.00132363
0, 0.00125669, 0.015, 0.985, 0.00101714
0, 0.00123463, 0.015, 0.985, 0.000919775
0, 0.00130206, 0.015, 0.985, 0.00126333
0, 0.00092133, 0.015, 0.985, 0.000719314
0, 0.000714561, 0.015, 0.985, 0.000800921
0, 0.000721454, 0.015, 0.985, 0.000619163
0, 0.000423235, 0.015, 0.985, 0.000820345
0, 0.000987172, 0.015, 0.985, 0.00121439
0, 0.00032281, 0.015, 0.985, 0.000306076
0, 0.00207147, 0.015, 0.985, 0.00111902
0, 0.00210916, 0.015, 0.985, 0.0015387
0, 0.000554409, 0.015, 0.985, 0.000609044
0, 0.000589479, 0.015, 0.985, 0.000507279
0, 0.000899503, 0.015, 0.985, 0.00102025
0, 0.00200495, 0.015, 0.985, 0.00132201
0, 0.00133987, 0.015, 0.985, 0.000819378
0, 0.00268677, 0.02, 0.98, 0.00173806
0, 0.00188009, 0.02, 0.98, 0.00144553
0, 0.00175408, 0.02, 0.98, 0.00161445
0, 0.00206113, 0.02, 0.98, 0.00182066
0, 0.00159105, 0.02, 0.98, 0.00195614
0, 0.00160378, 0.02, 0.98, 0.00152284
0, 0.00158699, 0.02, 0.98, 0.00164609
0, 0.00229686, 0.02, 0.98, 0.00221864
0, 0.00204206, 0.02, 0.98, 0.00189792
0, 0.00142474, 0.02, 0.98, 0.00133054
0, 0.00174877, 0.02, 0.98, 0.00218285
0, 0.00201905, 0.02, 0.98, 0.00137426
0, 0.00156609, 0.02, 0.98, 0.00112354
0, 0.00213046, 0.02, 0.98, 0.00178992
0, 0.00172832, 0.02, 0.98, 0.00161608
0, 0.00155736, 0.02, 0.98, 0.00102854
0, 0.00228598, 0.02, 0.98, 0.00184464
0, 0.0027004, 0.02, 0.98, 0.00199244
0, 0.00154093, 0.02, 0.98, 0.00093332
0, 0.0014095, 0.02, 0.98, 0.00133088
0, 0.00241984, 0.02, 0.98, 0.00172326
0, 0.00198855, 0.02, 0.98, 0.00122907
0, 0.00288064, 0.02, 0.98, 0.00215219
0, 0.00205644, 0.02, 0.98, 0.00142639
0, 0.00208959, 0.02, 0.98, 0.00152331
0, 0.00352741, 0.025, 0.975, 0.00341987
0, 0.00170279, 0.025, 0.975, 0.00171732
0, 0.00333223, 0.025, 0.975, 0.00245248
0, 0.00263385, 0.025, 0.975, 0.00213036
0, 0.00305517, 0.025, 0.975, 0.00225757
0, 0.00230221, 0.025, 0.975, 0.00180301
0, 0.00422556, 0.025, 0.975, 0.0032797
0, 0.00264098, 0.025, 0.975, 0.00216428
0, 0.0029481, 0.025, 0.975, 0.00204908
0, 0.00316874, 0.025, 0.975, 0.00236018
0, 0.00270876, 0.025, 0.975, 0.00296266
0, 0.00267572, 0.025, 0.975, 0.00205381
0, 0.00358946, 0.025, 0.975, 0.0027446
0, 0.00246428, 0.025, 0.975, 0.00195775
0, 0.00264209, 0.025, 0.975, 0.00194125
0, 0.00276408, 0.025, 0.975, 0.00276611
0, 0.00250583, 0.025, 0.975, 0.0024868
0, 0.00419985, 0.025, 0.975, 0.00306076
0, 0.00253022, 0.025, 0.975, 0.00200514
0, 0.00546912, 0.025, 0.975, 0.00375321
0, 0.00184223, 0.025, 0.975, 0.00152757
0, 0.002504, 0.025, 0.975, 0.00214757
0, 0.00323025, 0.025, 0.975, 0.0025087
0, 0.00334159, 0.025, 0.975, 0.00312045
0, 0.00312389, 0.025, 0.975, 0.00274611
0, 0.00430115, 0.03, 0.97, 0.00323808
0, 0.00583773, 0.03, 0.97, 0.00442386
0, 0.00505818, 0.03, 0.97, 0.00416153
0, 0.00497248, 0.03, 0.97, 0.00397604
0, 0.00348839, 0.03, 0.97, 0.00327584
0, 0.00496817, 0.03, 0.97, 0.00386484
0, 0.00555587, 0.03, 0.97, 0.00428785
0, 0.00294507, 0.03, 0.97, 0.00310955
0, 0.00271996, 0.03, 0.97, 0.00309885
0, 0.00682873, 0.03, 0.97, 0.00494637
0, 0.0030859, 0.03, 0.97, 0.00263105
0, 0.00429116, 0.03, 0.97, 0.00285671
0, 0.00323757, 0.03, 0.97, 0.00258692
0, 0.00347192, 0.03, 0.97, 0.00285408
0, 0.00484734, 0.03, 0.97, 0.00411116
0, 0.00503497, 0.03, 0.97, 0.00352186
0, 0.00276151, 0.03, 0.97, 0.00259255
0, 0.00407795, 0.03, 0.97, 0.0031398
0, 0.00527566, 0.03, 0.97, 0.00360163
0, 0.00459834, 0.03, 0.97, 0.00364375
0, 0.00371833, 0.03, 0.97, 0.0031218
0, 0.00438078, 0.03, 0.97, 0.00345283
0, 0.00369361, 0.03, 0.97, 0.00322413
