# Dynamic Strategy Switching Simulation Results
# Schedule file: schedule_selfish_to_stubborn.txt
# Miner 0: selfish (0-6666), stubborn-trail (6667-13333), petty (13334-19999)
# Miner 1: default-selfish (0-19999)
Gamma, Miner0_ProfitFraction, Miner0_HashRate, Miner1_HashRate, Miner0_BlockFraction
0, 0, 0.005, 0.995, 0
0, 0.000155499, 0.005, 0.995, 0.000100115
0, 0.000512328, 0.005, 0.995, 0.000248509
0, 0.000267159, 0.005, 0.995, 0.000100497
0, 0.000259404, 0.005, 0.995, 0.000199671
0, 0, 0.005, 0.995, 0
0, 0, 0.005, 0.995, 0
0, 0, 0.005, 0.995, 0
0, 2.82499e-05, 0.005, 0.995, 0.000100604
0, 6.40825e-05, 0.005, 0.995, 0.000101543
0, 0, 0.005, 0.995, 0
0, 0, 0.005, 0.995, 0
0, 0.00023924, 0.005, 0.995, 0.00010189
0, 0, 0.005, 0.995, 0
0, 0.000333744, 0.005, 0.995, 0.000302115
0, 0.000134662, 0.005, 0.995, 0.000101066
0, 0, 0.005, 0.995, 0
0, 0, 0.005, 0.995, 0
0, 0.000300744, 0.005, 0.995, 0.000200985
0, 0.000147663, 0.005, 0.995, 0.000101502
0, 0.000511554, 0.005, 0.995, 0.000299805
0, 0, 0.005, 0.995, 0
0, 0.000125135, 0.005, 0.995, 0.000203025
0, 0.000265247, 0.005, 0.995, 0.000200713
0, 0, 0.005, 0.995, 0
0, 0.000955803, 0.01, 0.99, 0.000603379
0, 0.000783397, 0.01, 0.99, 0.000200753
0, 0.000453447, 0.01, 0.99, 0.000302801
0, 0.000123332, 0.01, 0.99, 0.000100705
0, 0.000264572, 0.01, 0.99, 0.000202542
0, 0.000568749, 0.01, 0.99, 0.000305966
0, 0.00024458, 0.01, 0.99, 0.000199432
0, 0.000290652, 0.01, 0.99, 0.000202943
0, 0.0001355, 0.01, 0.99, 0.000200783
0, 0.00027414, 0.01, 0.99, 0.000301356
0, 0.000422727, 0.01, 0.99, 0.000405104
0, 0.00122155, 0.01, 0.99, 0.000501228
0, 0.000284064, 0.01, 0.99, 0.000202634
0, 7.88329e-05, 0.01, 0.99, 0.000102161
0, 0.000466733, 0.01, 0.99, 0.000304213
0, 0.00106675, 0.01, 0.99, 0.000505996
0, 0.000925737, 0.01, 0.99, 0.000504745
0, 0.000493572, 0.01, 0.99, 0.000407187
0, 0.000344493, 0.01, 0.99, 0.000302969
0, 0.000472415, 0.01, 0.99, 0.000404265
0, 0.00102371, 0.01, 0.99, 0.000702177
0, 0.000177242, 0.01, 0.99, 0.000300978
