BlockHeight, Miner0_Strategy, Miner0_CumulativeProfit, Miner0_CumulativeBlocks, Miner1_Strategy, Miner1_CumulativeProfit, Miner1_CumulativeBlocks
10, selfish, 2708332900, 2, default, 27916662200, 5
20, selfish, 5416665800, 4, default, 55833324400, 10
30, stubborn-trail, 8124998700, 6, default, 83749986600, 15
40, stubborn-trail, 10833331600, 8, default, 111666648800, 20
50, stubborn-trail, 13541664500, 10, default, 139583311000, 25
60, petty, 16249997400, 12, default, 167499973200, 30
70, petty, 18958330300, 14, default, 195416635400, 35
80, petty, 21666663200, 16, default, 223333297600, 40
90, petty, 24374996100, 18, default, 251249959800, 45
100, petty, 27083329000, 20, default, 279166622000, 50
