BlockHeight, Miner0_Strategy, Miner0_CumulativeProfit, Miner0_CumulativeBlocks, Miner1_Strategy, Miner1_CumulativeProfit, Miner1_CumulativeBlocks
10, selfish, 7104165530, 2, default, 16499997360, 4
20, selfish, 14208331060, 4, default, 32999994720, 8
30, stubborn-trail, 21312496590, 6, default, 49499992080, 12
40, stubborn-trail, 28416662120, 8, default, 65999989440, 16
50, stubborn-trail, 35520827650, 10, default, 82499986800, 20
60, petty, 42624993180, 12, default, 98999984160, 24
70, petty, 49729158710, 14, default, 115499981520, 28
80, petty, 56833324240, 16, default, 131999978880, 32
90, petty, 63937489770, 18, default, 148499976240, 36
100, petty, 71041655300, 20, default, 164999973600, 40
