Gamma, Classic Selfish Profit, Classic Selfish Hash Rate, Honest Hash Rate
0, 0, 0.005, 1
0, 0.000115905, 0.005, 0.999884
0, 4.64951e-05, 0.005, 0.999954
0, 8.57431e-05, 0.005, 0.999914
0, 7.42457e-05, 0.005, 0.999926
0, 0, 0.005, 1
0, 0, 0.005, 1
0, 0, 0.005, 1
0, 0.000153993, 0.005, 0.999846
0, 0, 0.005, 1
0, 0.000416973, 0.005, 0.999583
0, 0, 0.005, 1
0, 0, 0.005, 1
0, 0, 0.005, 1
0, 3.2166e-05, 0.005, 0.999968
0, 0.000134495, 0.005, 0.999866
0, 4.00815e-05, 0.005, 0.99996
0, 4.68263e-05, 0.005, 0.999953
0, 0, 0.005, 1
0, 0.000153724, 0.005, 0.999846
0, 0, 0.005, 1
0, 8.19994e-05, 0.005, 0.999918
0, 0.000146499, 0.005, 0.999854
0, 0.000406197, 0.005, 0.999594
0, 0, 0.005, 1
0, 0.000361914, 0.01, 0.999638
0, 0.000470249, 0.01, 0.99953
0, 0.000615077, 0.01, 0.999385
0, 0.000111581, 0.01, 0.999888
0, 0.000479492, 0.01, 0.999521
0, 0.000416249, 0.01, 0.999584
0, 0.00020108, 0.01, 0.999799
0, 6.44946e-05, 0.01, 0.999936
0, 0.000141832, 0.01, 0.999858
0, 0.000539146, 0.01, 0.999461
0, 9.54898e-05, 0.01, 0.999905
0, 0.000705821, 0.01, 0.999294
0, 0.000383915, 0.01, 0.999616
0, 0.000384388, 0.01, 0.999616
0, 0.000175998, 0.01, 0.999824
0, 2.01654e-05, 0.01, 0.99998
0, 0.000266908, 0.01, 0.999733
0, 0.000608744, 0.01, 0.999391
0, 0.000727354, 0.01, 0.999273
0, 0.000593554, 0.01, 0.999406
0, 0.000489488, 0.01, 0.999511
0, 0.000175802, 0.01, 0.999824
0, 0.00042524, 0.01, 0.999575
0, 0.000459343, 0.01, 0.999541
0, 0.00104489, 0.01, 0.998955
0, 0.000823067, 0.015, 0.999177
0, 0.00153065, 0.015, 0.998469
0, 0.00138334, 0.015, 0.998617
0, 0.000218156, 0.015, 0.999782
0, 0.000571571, 0.015, 0.999428
0, 0.0012575, 0.015, 0.998742
0, 0.000420656, 0.015, 0.999579
0, 0.000920825, 0.015, 0.999079
0, 0.00194795, 0.015, 0.998052
0, 0.000993646, 0.015, 0.999006
0, 0.00136491, 0.015, 0.998635
0, 0.00116131, 0.015, 0.998839
0, 0.00100424, 0.015, 0.998996
0, 0.00140753, 0.015, 0.998592
0, 0.00101749, 0.015, 0.998983
0, 0.00114097, 0.015, 0.998859
0, 0.00155981, 0.015, 0.99844
0, 0.00136398, 0.015, 0.998636
0, 0.00100066, 0.015, 0.998999
0, 0.000595496, 0.015, 0.999405
0, 0.00139574, 0.015, 0.998604
0, 0.000470635, 0.015, 0.999529
0, 0.00109655, 0.015, 0.998903
0, 0.000573605, 0.015, 0.999426
0, 0.000338065, 0.015, 0.999662
0, 0.001419, 0.02, 0.998581
0, 0.00209269, 0.02, 0.997907
0, 0.00279759, 0.02, 0.997202
0, 0.00136483, 0.02, 0.998635
0, 0.00274726, 0.02, 0.997253
0, 0.00198852, 0.02, 0.998011
0, 0.00293954, 0.02, 0.99706
0, 0.00216241, 0.02, 0.997838
0, 0.00217772, 0.02, 0.997822
0, 0.00161386, 0.02, 0.998386
0, 0.00134186, 0.02, 0.998658
0, 0.00263885, 0.02, 0.997361
0, 0.00168936, 0.02, 0.998311
0, 0.00145048, 0.02, 0.99855
0, 0.001545, 0.02, 0.998455
0, 0.00125057, 0.02, 0.998749
0, 0.00205542, 0.02, 0.997945
0, 0.00192052, 0.02, 0.998079
