Gamma, Classic Selfish Profit, Classic Selfish Hash Rate, Honest Hash Rate
0, 5.18313e-05, 0.005, 0.999948
0, 6.36584e-05, 0.005, 0.999936
0, 0.000216249, 0.005, 0.999784
0, 0, 0.005, 1
0, 0, 0.005, 1
0, 9.68289e-05, 0.005, 0.999903
0, 0, 0.005, 1
0, 0.000234497, 0.005, 0.999766
0, 3.08331e-05, 0.005, 0.999969
0, 0.000144, 0.005, 0.999856
0, 0, 0.005, 1
0, 5.641e-05, 0.005, 0.999944
0, 0, 0.005, 1
0, 9.80818e-05, 0.005, 0.999902
0, 0, 0.005, 1
0, 0, 0.005, 1
0, 8.34979e-05, 0.005, 0.999917
0, 0, 0.005, 1
0, 0, 0.005, 1
0, 0.000131653, 0.005, 0.999868
0, 0.000355405, 0.005, 0.999645
0, 0, 0.005, 1
0, 0.000211663, 0.005, 0.999788
0, 0.000147831, 0.005, 0.999852
0, 0.000408219, 0.005, 0.999592
0, 0.000552654, 0.01, 0.999447
0, 0.000629371, 0.01, 0.999371
0, 0.000238985, 0.01, 0.999761
0, 0.000706916, 0.01, 0.999293
0, 0.000539914, 0.01, 0.99946
0, 0.000368733, 0.01, 0.999631
0, 0.00111795, 0.01, 0.998882
0, 0.000712642, 0.01, 0.999287
0, 0.000338156, 0.01, 0.999662
0, 0.000250822, 0.01, 0.999749
0, 0.000162244, 0.01, 0.999838
0, 0.000382577, 0.01, 0.999617
0, 0.000576053, 0.01, 0.999424
0, 0.000122833, 0.01, 0.999877
0, 0.000636862, 0.01, 0.999363
0, 0.000154243, 0.01, 0.999846
0, 0.000645228, 0.01, 0.999355
0, 0.00034824, 0.01, 0.999652
0, 0.000330078, 0.01, 0.99967
0, 0.000423241, 0.01, 0.999577
0, 0.000531901, 0.01, 0.999468
0, 0.000385973, 0.01, 0.999614
0, 0.000232405, 0.01, 0.999768
0, 4.43331e-05, 0.01, 0.999956
0, 0.000338236, 0.01, 0.999662
0, 0.00107257, 0.015, 0.998927
0, 0.000723388, 0.015, 0.999277
0, 0.000895828, 0.015, 0.999104
0, 0.00039849, 0.015, 0.999602
0, 0.00126631, 0.015, 0.998734
0, 0.00119738, 0.015, 0.998803
0, 0.00136388, 0.015, 0.998636
0, 0.00109307, 0.015, 0.998907
0, 0.000568407, 0.015, 0.999432
0, 0.000597229, 0.015, 0.999403
0, 0.00157134, 0.015, 0.998429
0, 0.00100443, 0.015, 0.998996
0, 0.00104813, 0.015, 0.998952
0, 0.000944945, 0.015, 0.999055
0, 0.00128225, 0.015, 0.998718
0, 6.34128e-05, 0.015, 0.999937
0, 0.0010812, 0.015, 0.998919
0, 0.0020192, 0.015, 0.997981
0, 0.00139361, 0.015, 0.998606
0, 0.000733462, 0.015, 0.999267
0, 0.00137698, 0.015, 0.998623
0, 0.000956293, 0.015, 0.999044
0, 0.0025057, 0.015, 0.997494
0, 0.000658656, 0.015, 0.999341
0, 0.00100117, 0.015, 0.998999
0, 0.00165622, 0.02, 0.998344
0, 0.0023443, 0.02, 0.997656
0, 0.00110555, 0.02, 0.998894
0, 0.00205008, 0.02, 0.99795
0, 0.00157454, 0.02, 0.998425
0, 0.00148757, 0.02, 0.998512
0, 0.00156719, 0.02, 0.998433
0, 0.00229891, 0.02, 0.997701
0, 0.0029547, 0.02, 0.997045
0, 0.00220363, 0.02, 0.997796
0, 0.00164031, 0.02, 0.99836
0, 0.00124337, 0.02, 0.998757
0, 0.00173288, 0.02, 0.998267
0, 0.00244848, 0.02, 0.997552
0, 0.002007, 0.02, 0.997993
0, 0.00154653, 0.02, 0.998453
0, 0.00164546, 0.02, 0.998355
0, 0.00274594, 0.02, 0.997254
0, 0.00269114, 0.02, 0.997309
0, 0.00136482, 0.02, 0.998635
0, 0.00236919, 0.02, 0.997631
0, 0.00182733, 0.02, 0.998173
0, 0.00165986, 0.02, 0.99834
0, 0.00211162, 0.02, 0.997888
0, 0.0027091, 0.02, 0.997291
0, 0.00362336, 0.025, 0.996377
0, 0.0028988, 0.025, 0.997101
0, 0.00301274, 0.025, 0.996987
0, 0.00391035, 0.025, 0.99609
0, 0.00230067, 0.025, 0.997699
0, 0.00300636, 0.025, 0.996994
0, 0.00214459, 0.025, 0.997855
0, 0.00471311, 0.025, 0.995287
0, 0.00302332, 0.025, 0.996977
0, 0.00272907, 0.025, 0.997271
0, 0.00301303, 0.025, 0.996987
0, 0.00269624, 0.025, 0.997304
0, 0.00305721, 0.025, 0.996943
0, 0.00320219, 0.025, 0.996798
0, 0.00395299, 0.025, 0.996047
0, 0.00397634, 0.025, 0.996024
0, 0.00129014, 0.025, 0.99871
0, 0.00445575, 0.025, 0.995544
0, 0.00278072, 0.025, 0.997219
0, 0.00266966, 0.025, 0.99733
0, 0.00345644, 0.025, 0.996544
0, 0.00303289, 0.025, 0.996967
0, 0.00274925, 0.025, 0.997251
0, 0.00348269, 0.025, 0.996517
0, 0.00321224, 0.025, 0.996788
0, 0.00469593, 0.03, 0.995304
0, 0.0025671, 0.03, 0.997433
0, 0.00445779, 0.03, 0.995542
0, 0.00508355, 0.03, 0.994916
0, 0.00392367, 0.03, 0.996076
0, 0.00485672, 0.03, 0.995143
0, 0.00481294, 0.03, 0.995187
