HashRate,PureFixed,SwitchingFixed,PureVarying,SwitchingVarying,AdvantageFixed,AdvantageVarying,AdvantageDiff,PercentDiff,HashRateRange
0.15,0.159457552,0.15770943199999998,0.15869787999999999,0.15459776,-0.0017481200000000197,-0.004100119999999985,-0.0023519999999999652,-142.7080552386924,15-20%
0.16,0.172066528,0.169276216,0.1708174,0.16748311999999999,-0.0027903119999999892,-0.0033342800000000228,-0.0005439680000000335,-20.219513573148234,15-20%
0.17,0.18404192,0.1814622,0.18266188,0.18037156,-0.0025797200000000076,-0.0022903200000000123,0.0002893999999999952,11.670672495281496,15-20%
0.18,0.1970872,0.19372876,0.19614572,0.19281252,-0.0033584399999999903,-0.0033332000000000084,2.5239999999981944e-05,0.7746037981359797,15-20%
0.19,0.20926926399999998,0.205298496,0.20820108,0.20538088,-0.003970767999999986,-0.0028202000000000227,0.001150567999999963,29.724540452953192,15-20%
0.2,0.22274180799999999,0.21850222400000002,0.22117640000000002,0.21737856,-0.004239583999999963,-0.0037978400000000245,0.0004417439999999384,10.671217204432677,15-20%
0.21,0.235973648,0.229599264,0.23186424,0.22875631999999999,-0.006374384000000011,-0.003107920000000014,0.0032664639999999967,52.060313809291735,20-25%
0.22,0.24863772,0.242747496,0.24703312,0.24060331999999998,-0.0058902239999999995,-0.006429800000000013,-0.0005395760000000138,-9.31874138202622,20-25%
0.23,0.262066984,0.25579568799999997,0.26034444,0.25448432,-0.006271296000000037,-0.005860120000000024,0.0004111760000000131,6.662717199110375,20-25%
0.24,0.27564384000000003,0.269313328,0.2714896,0.26832284,-0.00633051200000001,-0.0031667599999999907,0.0031637520000000197,50.77836299809734,20-25%
0.25,0.289985312,0.28238345600000003,0.28881332,0.2811992,-0.007601855999999962,-0.007614120000000002,-1.2264000000039577e-05,-0.16347954426264166,20-25%
0.26,0.304441528,0.294624816,0.30230324,0.29526776,-0.009816712000000005,-0.007035479999999983,0.0027812320000000224,28.623180351543,25-30%
0.27,0.319883496,0.30860064,0.31732340000000003,0.30878892,-0.011282856000000008,-0.008534480000000011,0.002748375999999997,24.576691321072136,25-30%
0.28,0.333697896,0.32363544,0.33038516,0.32163200000000003,-0.010062455999999997,-0.008753159999999982,0.0013092960000000153,13.142301456588774,25-30%
0.29,0.35025361600000005,0.337265288,0.34772416,0.33438504,-0.012988328000000049,-0.013339119999999982,-0.00035079199999993316,-2.721780513344569,25-30%
0.3,0.36672234400000003,0.353068928,0.36487768000000004,0.35193904000000004,-0.01365341600000003,-0.012938640000000001,0.0007147760000000281,5.273770096040928,25-30%
